Everything I Am,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Everything I Am,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Bass (How Low Can You Go),Simon Harris,Electronic / Dance,Vocals / Lyrics,1988
How Low,Ludacris,Hip-Hop / Rap / R&B,Vocals / Lyrics,2009
I'm Back,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
Here We Go Again!,Portrait,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Guess Who's Back,Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,1997
Total Confusion (Confusion Mix),"A Homeboy, a Hippie & a Funki Dredd",Electronic / Dance,Vocals / Lyrics,1990
Concrete Jungle (1999),Bob Marley,Reggae / Dub,Vocals / Lyrics,1999
Concrete Jungle (1999),The Wailers,Reggae / Dub,Vocals / Lyrics,1999
Concrete Jungle (1999),Rakim,Reggae / Dub,Vocals / Lyrics,1999
Much More,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Much More,Yummy Bingham,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Showdown,Pendulum,Electronic / Dance,Vocals / Lyrics,2008
Safe 2 Say (The Incredible),Fat Joe,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
Undisputed,Prince,Rock / Pop,Vocals / Lyrics,1999
Undisputed,Chuck D,Rock / Pop,Vocals / Lyrics,1999
Plug Tunin',De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Black Steel in the Hour of Chaos,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,1988
Crossover,EPMD,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Egg Man,Beastie Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Everything I Am,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Everything I Am,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Bass (How Low Can You Go),Simon Harris,Electronic / Dance,Vocals / Lyrics,1988
How Low,Ludacris,Hip-Hop / Rap / R&B,Vocals / Lyrics,2009
I'm Back,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
Here We Go Again!,Portrait,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Guess Who's Back,Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,1997
Total Confusion (Confusion Mix),"A Homeboy, a Hippie & a Funki Dredd",Electronic / Dance,Vocals / Lyrics,1990
Concrete Jungle (1999),Bob Marley,Reggae / Dub,Vocals / Lyrics,1999
Concrete Jungle (1999),The Wailers,Reggae / Dub,Vocals / Lyrics,1999
Concrete Jungle (1999),Rakim,Reggae / Dub,Vocals / Lyrics,1999
Much More,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Much More,Yummy Bingham,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Showdown,Pendulum,Electronic / Dance,Vocals / Lyrics,2008
Safe 2 Say (The Incredible),Fat Joe,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
Undisputed,Prince,Rock / Pop,Vocals / Lyrics,1999
Undisputed,Chuck D,Rock / Pop,Vocals / Lyrics,1999
Plug Tunin',De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Black Steel in the Hour of Chaos,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,1988
Crossover,EPMD,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Egg Man,Beastie Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Get Ready 4 Action,Hommer,Electronic / Dance,Vocals / Lyrics,2012
Bits and Pieces (Return to the Classics),Kevin Sweeney,Rock / Pop,Vocals / Lyrics,2004
Tahong Ni Carla,DJ Red Core,Electronic / Dance,Vocals / Lyrics,2018
Tahong Ni Carla,Ivor B.,Electronic / Dance,Vocals / Lyrics,2018
The Digital Snitch Dropz,Awkward Silence,Electronic / Dance,Vocals / Lyrics,2014
Harmless Feather Bed,High Frequency Bandwidth,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Back to Black,Marla Mar,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Back to Black,The Good 'N' Plenty Cru,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Indication,DHHD,Electronic / Dance,Vocals / Lyrics,2003
Droppin' the Beats,Check 1-2 (Hip Hop),Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Ghetto Latino,Omega El Ctm,Hip-Hop / Rap / R&B,Vocals / Lyrics,2015
Reject Baller Bitch,Mel-Low,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Crooked Ass Cop,O.C.C.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Rainbow Noise,DJ Sailor Moon,Electronic / Dance,Vocals / Lyrics,2016
Can I Pick It Up,Gee Rock & Tha C.N.D. Coalition,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
My Bass,Bass T (MC),Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
My Bass,DJ Domination,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Chicken Head,Too Brown,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Dthaenemy,D1: Priority,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
