Thrift Shop,Macklemore,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Thrift Shop,Ryan Lewis,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Thrift Shop,Wanz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Paid in Full,Eric B. & Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,1987
Right Here,Justin Bieber,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Right Here,Drake,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Rockit,Herbie Hancock,Electronic / Dance,Vocals / Lyrics,1983
So Far...,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Finally Moving,Pretty Lights,Electronic / Dance,Vocals / Lyrics,2006
I'm a Slave 4 U,Britney Spears,Rock / Pop,Vocals / Lyrics,2001
Yo Perreo Sola,Bad Bunny,Hip-Hop / Rap / R&B,Vocals / Lyrics,2020
Yo Perreo Sola,Nesi,Hip-Hop / Rap / R&B,Vocals / Lyrics,2020
Hey Young World,Slick Rick,Hip-Hop / Rap / R&B,Vocals / Lyrics,1988
P.S.K. - What Does It Mean?,Schoolly D,Hip-Hop / Rap / R&B,Vocals / Lyrics,1985
Rhythm Rock Rapp,Daniel Sofer,Hip-Hop / Rap / R&B,Vocals / Lyrics,1984
Rhythm Rock Rapp,The Unknown DJ,Hip-Hop / Rap / R&B,Vocals / Lyrics,1984
Rhythm Rock Rapp,Dr. Dre,Hip-Hop / Rap / R&B,Vocals / Lyrics,1984
Lamborghini,Trenchcoat,Hip-Hop / Rap / R&B,Vocals / Lyrics,1987
Cure for the Itch,Linkin Park,Rock / Pop,Vocals / Lyrics,2000
Catchin' the Vibe,Quasimoto,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Pump Up the Volume,M|A|R|R|S,Electronic / Dance,Vocals / Lyrics,1987
Yeah Right,Vince Staples,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
Thrift Shop,Macklemore,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
