Fools Gold,The Stone Roses,Rock / Pop,Drums,1989
Frozen,Madonna,Rock / Pop,Drums,1998
Raw,Big Daddy Kane,Hip-Hop / Rap / R&B,Multiple Elements,1987
Wannabe,Spice Girls,Rock / Pop,Drums,1996
Lane Boy,Twenty One Pilots,Rock / Pop,Drums,2015
Everybody Everybody,Black Box,Electronic / Dance,Drums,1990
Everybody Everybody,Martha Wash,Electronic / Dance,Drums,1990
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Drums,1987
What to Do,Thomas Bangalter,Electronic / Dance,Drums,1995
Good Vibrations,Marky Mark and the Funky Bunch,Hip-Hop / Rap / R&B,Drums,1991
Good Vibrations,Loleatta Holloway,Hip-Hop / Rap / R&B,Drums,1991
Halcyon,Orbital,Electronic / Dance,Drums,1992
Charly (Alley Cat Mix),The Prodigy,Electronic / Dance,Drums,1991
Sehnsucht,Rammstein,Rock / Pop,Drums,1997
PAPAT4 (Pineal Mix),Aphex Twin,Electronic / Dance,Drums,2014
Sweet Harmony,Liquid,Electronic / Dance,Drums,1992
Radio Babylon,Meat Beat Manifesto,Electronic / Dance,Drums,1990
I'm Too Sexy,Right Said Fred,Rock / Pop,Drums,1991
Fools Gold,The Stone Roses,Rock / Pop,Drums,1989
Frozen,Madonna,Rock / Pop,Drums,1998
Raw,Big Daddy Kane,Hip-Hop / Rap / R&B,Multiple Elements,1987
Wannabe,Spice Girls,Rock / Pop,Drums,1996
Lane Boy,Twenty One Pilots,Rock / Pop,Drums,2015
Everybody Everybody,Black Box,Electronic / Dance,Drums,1990
Everybody Everybody,Martha Wash,Electronic / Dance,Drums,1990
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Drums,1987
What to Do,Thomas Bangalter,Electronic / Dance,Drums,1995
Good Vibrations,Marky Mark and the Funky Bunch,Hip-Hop / Rap / R&B,Drums,1991
Good Vibrations,Loleatta Holloway,Hip-Hop / Rap / R&B,Drums,1991
Halcyon,Orbital,Electronic / Dance,Drums,1992
Charly (Alley Cat Mix),The Prodigy,Electronic / Dance,Drums,1991
Sehnsucht,Rammstein,Rock / Pop,Drums,1997
PAPAT4 (Pineal Mix),Aphex Twin,Electronic / Dance,Drums,2014
Sweet Harmony,Liquid,Electronic / Dance,Drums,1992
Radio Babylon,Meat Beat Manifesto,Electronic / Dance,Drums,1990
I'm Too Sexy,Right Said Fred,Rock / Pop,Drums,1991
Magic Tonight (Dwarde Remix),Tim Reaper,Electronic / Dance,Drums,2018
Amber,T.Power,Electronic / Dance,Drums,1995
Whoomps !!!,DJ Gizmo,Electronic / Dance,Drums,1994
Whoomps !!!,The Dark Raver,Electronic / Dance,Drums,1994
Energize,Island Universe,Electronic / Dance,Drums,1993
100% Pure,Detox & the Mighty Atom,Electronic / Dance,Drums,1994
River Niger,Gappa G & Hyper Hypa,Electronic / Dance,Drums,1994
Energise,Unknown Artist (Withhold),Electronic / Dance,Drums,2020
Cautionary Tales,ASC,Electronic / Dance,Drums,2020
Mr. Wichtig (Ocean Drive Radio Mix),Tic Tac Toe,Electronic / Dance,Drums,1997
Full Circle,Eusebeia,Electronic / Dance,Drums,2020
Solitude,Persons Unknown,Electronic / Dance,Drums,2020
Uplifting Pad Business,Law (Drum and Bass),Electronic / Dance,Drums,2020
Uplifting Pad Business,Kola Nut,Electronic / Dance,Drums,2020
About Us,The Last Ronin,Electronic / Dance,Drums,2021
UK74R1825040,Aleksi Perälä,Electronic / Dance,Drums,2018
Motion Sickness (Downtown Mix),Persons Unknown,Electronic / Dance,Drums,2020
Shaku,Joakuim,Electronic / Dance,Drums,2021
Side a (ILL 005),Ill Behaviour,Electronic / Dance,Drums,2020
Voodoo Jobcenta Man,Smiley Maxx,Electronic / Dance,Drums,2014
UK74R1825050,Aleksi Perälä,Electronic / Dance,Drums,2018
Another Sunlight (Dead Man's Chest's Dutty Drums Version),Silent Dust,Electronic / Dance,Drums,2018
RAW,Dub-Liner,Electronic / Dance,Drums,2020
You Got to Slow Down (Enjoy Remix),Tek 9,Electronic / Dance,Drums,2020
Prince of Cambridge,Sonic,Electronic / Dance,Drums,2020
Feel,Guyver (Drum and Bass),Electronic / Dance,Drums,1995
Moon (Volatizer's Sunny Side Up Mix),Arck,Hip-Hop / Rap / R&B,Drums,2020
This Beat Kicks,DJ Gizmo,Electronic / Dance,Drums,1995
Slide,Gappa G & Hyper Hypa,Electronic / Dance,Drums,1995
Signal,Nino Brown (Drum and Bass),Electronic / Dance,Drums,1996
The Path,Gridzone,Electronic / Dance,Drums,2020
Proppa,Stagga,Electronic / Dance,Drums,2020
Your Ting,Skitty,Electronic / Dance,Drums,2016
Dance to the Speakers,Cooly Live,Hip-Hop / Rap / R&B,Drums,1992
I Got 5 on It,Marc Benjamin,Electronic / Dance,Drums,2020
I Got 5 on It,Malarkey,Electronic / Dance,Drums,2020
Protection (DJ Narcs Remix),DannyLO,Electronic / Dance,Drums,2012
Black,DJ SS,Electronic / Dance,Drums,1995
Intimidator,Skanna,Electronic / Dance,Drums,1992
Dreams of Earth,Nebula,Electronic / Dance,Drums,2017
Static Charge,ASC,Electronic / Dance,Drums,2020
Rapture,Wardown,Electronic / Dance,Drums,2020
Untitled (A1),Tomba (2),Electronic / Dance,Drums,1994
Ghost Story (Hardcore Bones Edit),DJ Gizmo,Electronic / Dance,Drums,1992
Mystic Dub,The Last Ronin,Electronic / Dance,Drums,2021
Emotions,The Last Ronin,Electronic / Dance,Drums,2021
Emotions,Sofi Mari,Electronic / Dance,Drums,2021
Fantasy,Cool Hand Flex,Electronic / Dance,Drums,1994
Watch 'N Me,I.S.P.,Hip-Hop / Rap / R&B,Multiple Elements,1992
Chicago,1.8.7,Electronic / Dance,Drums,2000
Red Sky,DJ Infinity & the Basics,Electronic / Dance,Drums,1994
Brivido,Ambra,Rock / Pop,Drums,1997
Total Domination,DJ Infinity & the Basics,Electronic / Dance,Drums,1994
Libertà Di Parola,AMNK,Hip-Hop / Rap / R&B,Drums,1993
The Dreamer,Intense,Electronic / Dance,Drums,1994
Return Voyage,DJ Pulse,Electronic / Dance,Drums,1995
Cali Aurora,Rufkraft,Electronic / Dance,Drums,2020
Gunman Dead,Bman,Electronic / Dance,Drums,2018
Slip,Gappa G & Hyper Hypa,Electronic / Dance,Drums,1995
Conquering,Acid Lab,Electronic / Dance,Drums,2013
Fading,Blade (Drum & Bass),Electronic / Dance,Drums,2020
True Force,Manaia Toa,Electronic / Dance,Drums,2018
Bokal Blood,Red Ant,Electronic / Dance,Drums,1994
Bokal Blood,DJ Fly,Electronic / Dance,Drums,1994
Reality,Tomba (2),Electronic / Dance,Drums,1994
Are You Gonna Be There,Shay Jones,Electronic / Dance,Drums,1991
Eyes Bleed Acid,Stazma the Junglechrist,Electronic / Dance,Multiple Elements,2013
Mission Control,Origin Unknown,Electronic / Dance,Drums,1995
Tears,Londy,Electronic / Dance,Drums,2013
Dubplate Special,MC Det,Electronic / Dance,Drums,2020
Knightsdale,The Meditator,Electronic / Dance,Drums,2020
Knightsdale,DJ Ink,Electronic / Dance,Drums,2020
Fugitive Version,Earl Grey (Solo Drum and Bass),Electronic / Dance,Drums,2020
Fugitive Version,Dead Man's Chest,Electronic / Dance,Drums,2020
Mystery Flute Business,Law (Drum and Bass),Electronic / Dance,Drums,2020
Mystery Flute Business,Kola Nut,Electronic / Dance,Drums,2020
Big Wheelin',Dub-Liner,Electronic / Dance,Drums,2020
Cream,Freegroove,Electronic / Dance,Drums,2020
Accidental Junglist,Sonic,Electronic / Dance,Drums,2020
Friend,Jesus Jones,Rock / Pop,Drums,2011
Globex Corp Vol. 8 A1,Dwarde,Electronic / Dance,Drums,2019
Globex Corp Vol. 8 A1,Tim Reaper,Electronic / Dance,Drums,2019
Tough (Deadboy Remix),Hoshina Anniversary,Electronic / Dance,Drums,2015
Go Get Stupid,DJ Gizmo,Electronic / Dance,Drums,1995
Dinner Time Jazz,Subject 13,Electronic / Dance,Drums,1997
2 Gether,Lemon D,Electronic / Dance,Drums,1993
True Playa'z Anthem,DJ Hype,Electronic / Dance,Drums,1996
Make Me Wanna Holler,1-5ive Posse,Hip-Hop / Rap / R&B,Drums,1992
Here to Stay,Midlife Crisis,Electronic / Dance,Drums,2020
Chance to Dance,Optical Haze,Electronic / Dance,Drums,1993
Silver Lining,Digital,Electronic / Dance,Drums,2015
Silver Lining,Response,Electronic / Dance,Drums,2015
Smoke Green,Jerry Flynn,Hip-Hop / Rap / R&B,Drums,1992
Journey's End (Polyphony),Future Loop Foundation,Electronic / Dance,Drums,1996
Let It Roll,Junki Munki,Electronic / Dance,Drums,2006
Bullshitters,The Runninz Kru,Electronic / Dance,Drums,1995
Mash Up the Place,Stazma the Junglechrist,Electronic / Dance,Drums,2013
Anti Repressant,Eusebeia,Electronic / Dance,Drums,2020
Anti Repressant,Arlow,Electronic / Dance,Drums,2020
Seventh Day,Jimmy J & Cru-L-T,Electronic / Dance,Drums,1994
Tranquility (Forces of Nature Remix),Aquasky,Electronic / Dance,Drums,1996
Runnin' From the Police,Jerry Flynn,Hip-Hop / Rap / R&B,Drums,1992
Final Dream,Griever,Electronic / Dance,Drums,2014
B2 Untitled,Force Mass Motion,Electronic / Dance,Drums,1992
Snareshot,Pastaman,Electronic / Dance,Drums,2018
The Barrington,Unknown Artist (Ruff Kut!),Electronic / Dance,Drums,1992
Namida,DJ Sailor Moon,Electronic / Dance,Drums,2013
Sound Ceased,Xedos,Electronic / Dance,Drums,1996
Roll It Up,Taunton Manor,Electronic / Dance,Multiple Elements,2015
Ain't No Sunshine,Illicit (Jungle),Electronic / Dance,Drums,2006
Drunken DSP,Stazma the Junglechrist,Electronic / Dance,Drums,2013
The Depths,John B,Electronic / Dance,Drums,2021
"On Beat, Off Beat",Omen Breaks,Electronic / Dance,Drums,2017
Time & Space,DJ Future,Electronic / Dance,Drums,2017
Soundbwoy Killah,Nkogliaz,Electronic / Dance,Drums,2005
Jah Fucking Jungle,Sum,Electronic / Dance,Drums,2020
Jah Fucking Jungle,Left Lucas,Electronic / Dance,Drums,2020
Untitled (AA2),Dark Mark,Electronic / Dance,Drums,1992
Apocalypso Kung Fu,Smiley Maxx,Electronic / Dance,Multiple Elements,2014
Calling Me Home,Freestylers,Electronic / Dance,Drums,2014
Calling Me Home,DV,Electronic / Dance,Drums,2014
XTC,Pressa (Breakbeat),Electronic / Dance,Drums,2020
Yo Yo Yo Mufucka Bitchez in Da Hood I Shot That Bitch Fo' Shizzle My Nizzle...,DJ Sailor Moon,Electronic / Dance,Drums,2013
Foundation,Acid Lab,Electronic / Dance,Drums,2013
"Mind, Body & Soul",Mystical,Electronic / Dance,Drums,1993
Poisonous Eye,C++,Electronic / Dance,Drums,2015
Mellow (Original Limit Mix),Deamonds,Electronic / Dance,Drums,2014
Cutting Loose,Foul Play,Electronic / Dance,Drums,1994
OHM Track,Borai,Electronic / Dance,Drums,2015
Perfect Picture,Donnie Murdo,Electronic / Dance,Drums,2020
In the Mood Part 2,Kid Lib,Electronic / Dance,Drums,2013
The Killer,Tango,Electronic / Dance,Drums,1993
The Killer,Ratty (Hardcore Producer),Electronic / Dance,Drums,1993
Take It Easy,Hyson,Electronic / Dance,Drums,2020
Take It Easy,Freegroove,Electronic / Dance,Drums,2020
Time Space Continuem,Intense,Electronic / Dance,Drums,1993
Whats Up,Majistrate,Electronic / Dance,Drums,1995
Best of My Love,Turbo B,Electronic / Dance,Drums,1993
Rappers Delight 1990,Rob Harvey,Hip-Hop / Rap / R&B,Drums,1990
Tell Me,Digital,Electronic / Dance,Drums,2019
Tell Me,Response,Electronic / Dance,Drums,2019
Bandsaw,Drumsound & Bassline Smith,Electronic / Dance,Drums,2004
To a Brighter Day (O' Happy Day) (Happiness Mix),Beatsystem,Electronic / Dance,Drums,1993
B-Boy Convention (Spirit Rmx),DJ Ink,Hip-Hop / Rap / R&B,Drums,2004
Rainbow Tune,Manaia Toa,Electronic / Dance,Drums,2019
Monkey Track 2 (El Pingon RRR Remix),Leskin,Electronic / Dance,Drums,2014
After Hours,DJ Lewi,Electronic / Dance,Drums,1995
After Hours,Daddy Freddy,Electronic / Dance,Drums,1995
Murdarah,Sumone,Electronic / Dance,Drums,2005
2 Deep,DJ Lee (Drum & Bass),Electronic / Dance,Drums,1994
2 Deep,DJ Gwange,Electronic / Dance,Drums,1994
Str8 Gangsta (Mac),Black A.G.,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
9MM (VIP Special),B.U.G.G. K.A.A.N.,Electronic / Dance,Drums,1995
"Lightning, Earthquake & Thunder",Abyss,Electronic / Dance,Drums,2015
Rugged and Raw,Stakka & K.Tee,Electronic / Dance,Drums,1995
Gira Que Gira,Lynda,Rock / Pop,Drums,1996
Wagamama (Dawn Patrol Mix),Monday Michiru,Hip-Hop / Rap / R&B,Drums,1991
Wagamama (Dawn Patrol Mix),Krush Posse,Hip-Hop / Rap / R&B,Drums,1991
Give It All 2 (Locked Groove),DJ Shark,Electronic / Dance,Drums,2015
Intelligence,The Essence (Drum and Bass),Electronic / Dance,Drums,1995
Plateau,Redshift,Electronic / Dance,Drums,2020
Nigerian Rhyme Shoota,Doomsday,Hip-Hop / Rap / R&B,Drums,1994
Snow Tires,Soichi Terada,Electronic / Dance,Drums,2016
Ganjah Smuggling,Truspin,Electronic / Dance,Drums,2013
2 Definitions,DJ Isaac,Electronic / Dance,Drums,1995
2 Definitions,DJ Pagan,Electronic / Dance,Drums,1995
Out West,The Soul Dawgs,Hip-Hop / Rap / R&B,Vocals / Lyrics,1999
Go Off,M. Doc,Hip-Hop / Rap / R&B,Drums,1991
All My Dreams,Spiralhead,Electronic / Dance,Drums,1998
Dolphins '97 (Game Version),The Surf Coasters,Rock / Pop,Drums,1997
Lone Wolf Persian,Persian,Electronic / Dance,Drums,2020
Lone Wolf Persian,DJ Texta,Electronic / Dance,Drums,2020
Highgrade Music,Hooverian Blur,Electronic / Dance,Drums,2020
Highgrade Music,Slarta John,Electronic / Dance,Drums,2020
Standard Affair,Addison Groove,Electronic / Dance,Drums,2016
Standard Affair,DJ Die,Electronic / Dance,Drums,2016
Dance All Nite (House Mix),Poison Clan,Electronic / Dance,Drums,1991
Step 2 Me,Dope Jam,Electronic / Dance,Drums,1995
Bon Voyager,JUICEB☮X,Hip-Hop / Rap / R&B,Drums,2017
What Goes On,Hired Gun (Chris Howell),Electronic / Dance,Drums,1995
Freak Out,Sumone,Electronic / Dance,Drums,2005
La Drogue Est Un Poison,Les Little,Hip-Hop / Rap / R&B,Drums,1992
We Enter (Optical Remix V.2.0),Ryme Tyme,Electronic / Dance,Drums,1999
Unodosthressquattro,The Goats,Hip-Hop / Rap / R&B,Drums,1992
Kinetic Pioneers,Future Loop Foundation,Electronic / Dance,Drums,1996
I Wish Time Didn't Matter,Special Request,Electronic / Dance,Drums,2020
Gone (PFM Remix),David Holmes,Electronic / Dance,Drums,1996
125th Street,Click 'N Cycle,Electronic / Dance,Drums,1996
Timeless Insight of Kaos (Remix),Kaos & Mystro,Hip-Hop / Rap / R&B,Drums,1990
Knock You Out,DJ Rectangle,Hip-Hop / Rap / R&B,Drums,1992
All Night Long,Glen White,Electronic / Dance,Drums,1992
Untitled (Side B),DJ Fokus,Electronic / Dance,Drums,1994
Space Mist,Luke Vibert,Electronic / Dance,Drums,2008
Space Mist,Voafose,Electronic / Dance,Drums,2008
Just a Little Hip Hop,The Dream Team,Electronic / Dance,Drums,1995
Can't Find My Tribe,Strugglin Souls,Hip-Hop / Rap / R&B,Drums,1992
True Romance,DJ Pulse,Electronic / Dance,Drums,1996
Renegade (SPL Remix),Mustard Pimp,Electronic / Dance,Drums,2015
Manic,Audio Assault,Electronic / Dance,Drums,1992
I Like It Funky,Silk Tymes Leather,Hip-Hop / Rap / R&B,Drums,1990
113.3,S.F.C.,Hip-Hop / Rap / R&B,Drums,1992
A Rougher Version,Dub-Liner,Electronic / Dance,Drums,2020
A Rougher Version,General T.K.,Electronic / Dance,Drums,2020
Ooh Boy,Ellis Dee,Electronic / Dance,Drums,1994
Ooh Boy,The Specialist,Electronic / Dance,Drums,1994
Sweet Sunshine,Ils & Solo,Electronic / Dance,Drums,1995
Pangs,J. Albert,Electronic / Dance,Drums,2016
I Know,Donyale Fredericks,Soundtrack / Library,Multiple Elements,1998
Can't Come Close,Natives in Black,Hip-Hop / Rap / R&B,Drums,1992
Borg Mind,Technical Itch,Electronic / Dance,Drums,2001
I'm Not Afraid,Earth Trax,Electronic / Dance,Drums,2020
Down With the Lites,Souljah,Electronic / Dance,Drums,1995
Detroit Murderous,Triplex (2),Hip-Hop / Rap / R&B,Drums,1991
Money Money Money,Black Machine,Electronic / Dance,Drums,1992
Gypsy Woman (DieMantle RaveYard Mix),Crystal Waters,Electronic / Dance,Drums,2017
Embrace (SPL Remix),Muffler,Electronic / Dance,Drums,2005
T.S.U.,Silk Tymes Leather,Hip-Hop / Rap / R&B,Drums,1990
Don't Think You Gonna Make It,Precise and the Boys,Hip-Hop / Rap / R&B,Drums,1992
Happiness,Freestylers,Electronic / Dance,Drums,2020
Time to Make the Floor Burn,Todd 1,Hip-Hop / Rap / R&B,Drums,1990
BX-18 Theme,Astral Pariah,Electronic / Dance,Drums,2017
Dream Tracking,DJ Kingsize,Electronic / Dance,Drums,2021
Portland (Tuff City Kids TB Mix),Sparky,Electronic / Dance,Drums,2014
Ghosties,Ghosties,Electronic / Dance,Drums,1991
Bliss,Source Direct,Electronic / Dance,Drums,1995
Double Sunset,DJ Shark,Electronic / Dance,Drums,2015
Vibeology (Ultimix),Paula Abdul,Rock / Pop,Drums,1991
All the Way,Scott Blackwell,Gospel,Multiple Elements,1992
All the Way,Sandra Stephens,Gospel,Multiple Elements,1992
All the Way,Allegra Parks,Gospel,Multiple Elements,1992
I Want U,Shalamar,Hip-Hop / Rap / R&B,Drums,1990
Skull Smasher,Moving Fusion,Electronic / Dance,Drums,2000
Floorquake (Dynamite Mix),"Doo Lally ""D""",Electronic / Dance,Drums,1991
Floorquake (Dynamite Mix),Hibrid,Electronic / Dance,Drums,1991
"A Beat Called Love (7"" Version)",The Grid,Electronic / Dance,Drums,1990
Gone,Globe (Producer),Electronic / Dance,Drums,1992
Gone,The Hardcore Massive,Electronic / Dance,Drums,1992
Sex Drive (Single Cut),Glam,Electronic / Dance,Drums,1994
Sex Drive (Single Cut),Pete Burns,Electronic / Dance,Drums,1994
So Groovy,Wendell Williams,Hip-Hop / Rap / R&B,Drums,1991
Leap Into the Light,Cirrus,Electronic / Dance,Drums,1997
Taste of the Bass,X-Tra Bass,Hip-Hop / Rap / R&B,Drums,1990
Incident on Main Street,Hoax,Electronic / Dance,Drums,1995
River,Yves Tomas,Electronic / Dance,Drums,2020
The Rhyme Goes On,Silk Tymes Leather,Hip-Hop / Rap / R&B,Drums,1990
Original Wootang,Dr Wootang,Electronic / Dance,Drums,1996
Twenty Four Ways,24k,Hip-Hop / Rap / R&B,Drums,1990
I Stąd Światło,Slums Attack,Hip-Hop / Rap / R&B,Drums,1999
Peace Sign (Ray Keith Remix),Shades of Rhythm,Electronic / Dance,Drums,1994
Montana,JMJ & Richie,Electronic / Dance,Drums,1997
Taxi Sadness,μ-Ziq,Electronic / Dance,Drums,2014
My Sound,Freestylers,Electronic / Dance,Drums,2021
My Sound,$pyda,Electronic / Dance,Drums,2021
C701,Nico (Drum & Bass),Electronic / Dance,Drums,1998
C701,Davis,Electronic / Dance,Drums,1998
Peak Dub,Special Request,Electronic / Dance,Drums,2015
It Is Done,16:16,Hip-Hop / Rap / R&B,Drums,1990
Só Por Ser,MGDRV,Hip-Hop / Rap / R&B,Drums,2021
Só Por Ser,Kruss,Hip-Hop / Rap / R&B,Drums,2021
Modulate,Corticyte,Electronic / Dance,Drums,2014
