Wet Dreamz,J. Cole,Hip-Hop / Rap / R&B,Drums,2014
Unbelievable,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Drums,1994
Top Billin',Audio Two,Hip-Hop / Rap / R&B,Drums,1987
The Message,Nas,Hip-Hop / Rap / R&B,Drums,1996
I Can,Nas,Hip-Hop / Rap / R&B,Drums,2002
I Get Around,2Pac,Hip-Hop / Rap / R&B,Drums,1993
I Get Around,Shock G,Hip-Hop / Rap / R&B,Drums,1993
I Get Around,Money-B,Hip-Hop / Rap / R&B,Drums,1993
Ring Ring Ring (Ha Ha Hey),De La Soul,Hip-Hop / Rap / R&B,Drums,1991
Around the Way Girl,LL Cool J,Hip-Hop / Rap / R&B,Drums,1990
The Chronic (Intro),Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
The Chronic (Intro),Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
My House,Flo Rida,Hip-Hop / Rap / R&B,Drums,2015
Rebirth of Slick (Cool Like Dat),Digable Planets,Hip-Hop / Rap / R&B,Drums,1992
Jump,Kris Kross,Hip-Hop / Rap / R&B,Drums,1992
That's the Way Love Goes,Janet Jackson,Hip-Hop / Rap / R&B,Drums,1993
The Bridge,MC Shan,Hip-Hop / Rap / R&B,Drums,1986
Fakin Jax,INI,Hip-Hop / Rap / R&B,Drums,1996
Fakin Jax,Pete Rock,Hip-Hop / Rap / R&B,Drums,1996
Pour Out a Little Liquor,Thug Life,Hip-Hop / Rap / R&B,Drums,1994
Wet Dreamz,J. Cole,Hip-Hop / Rap / R&B,Drums,2014
Unbelievable,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Drums,1994
Top Billin',Audio Two,Hip-Hop / Rap / R&B,Drums,1987
The Message,Nas,Hip-Hop / Rap / R&B,Drums,1996
I Can,Nas,Hip-Hop / Rap / R&B,Drums,2002
I Get Around,2Pac,Hip-Hop / Rap / R&B,Drums,1993
I Get Around,Shock G,Hip-Hop / Rap / R&B,Drums,1993
I Get Around,Money-B,Hip-Hop / Rap / R&B,Drums,1993
Ring Ring Ring (Ha Ha Hey),De La Soul,Hip-Hop / Rap / R&B,Drums,1991
Around the Way Girl,LL Cool J,Hip-Hop / Rap / R&B,Drums,1990
The Chronic (Intro),Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
The Chronic (Intro),Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
My House,Flo Rida,Hip-Hop / Rap / R&B,Drums,2015
Rebirth of Slick (Cool Like Dat),Digable Planets,Hip-Hop / Rap / R&B,Drums,1992
Jump,Kris Kross,Hip-Hop / Rap / R&B,Drums,1992
That's the Way Love Goes,Janet Jackson,Hip-Hop / Rap / R&B,Drums,1993
The Bridge,MC Shan,Hip-Hop / Rap / R&B,Drums,1986
Fakin Jax,INI,Hip-Hop / Rap / R&B,Drums,1996
Fakin Jax,Pete Rock,Hip-Hop / Rap / R&B,Drums,1996
Pour Out a Little Liquor,Thug Life,Hip-Hop / Rap / R&B,Drums,1994
We Can't Stand These Bitches,Criminal Nation,Hip-Hop / Rap / R&B,Drums,1992
Os Poderosos,Duck Jam E Nação Hip-Hop,Hip-Hop / Rap / R&B,Drums,1992
Les Vrais,Les Little,Hip-Hop / Rap / R&B,Drums,1992
Last Night a DJ Saved My Life,Cold Jam,Hip-Hop / Rap / R&B,Drums,1990
Last Night a DJ Saved My Life,Grace (2),Hip-Hop / Rap / R&B,Drums,1990
Buddah Nation (Vocal Mix),Buddah Nation,Hip-Hop / Rap / R&B,Drums,1995
Miss Me,Leikeli47,Hip-Hop / Rap / R&B,Drums,2017
Because of You (Extended Version),Martin David,Rock / Pop,Drums,1999
Something in the Air,Promised Land,Rock / Pop,Drums,1990
It's Alright Now,Mr. Majestic,Hip-Hop / Rap / R&B,Drums,1992
Hop Off the Bandwagon,Da Grip,Hip-Hop / Rap / R&B,Drums,1993
Nigga Out the Projects,1-5ive Posse,Hip-Hop / Rap / R&B,Drums,1992
I Gotta Get My Sag On,El Dogg,Hip-Hop / Rap / R&B,Drums,1994
The System,Juice With Soul,Hip-Hop / Rap / R&B,Drums,1993
"The Story of Glory of Castillo, Let's Go! (Rap)",M.C. War Flattop,Hip-Hop / Rap / R&B,Drums,1995
Catch a Riddle,Silent Majority (2),Hip-Hop / Rap / R&B,Drums,1994
"Oh, God (Remix)",Majar Leegue,Hip-Hop / Rap / R&B,Drums,1992
Dedykacja,Elita Kaliska,Hip-Hop / Rap / R&B,Drums,2004
Biker Shorts,16 on Wax,Hip-Hop / Rap / R&B,Drums,1992
Young Baby Boy,San Quinn,Hip-Hop / Rap / R&B,Drums,1993
Racas Differents,Codigo 13,Hip-Hop / Rap / R&B,Drums,1996
Git on the Mic,Romeo Rich,Hip-Hop / Rap / R&B,Drums,1992
Bad Meaning Bad,Pizo,Hip-Hop / Rap / R&B,Drums,1995
Special Thanks,Dangerous Dame,Hip-Hop / Rap / R&B,Drums,1992
The River of Dreams (Dub Mix),Annie Addams,Rock / Pop,Drums,1993
Da Real,KSquad,Hip-Hop / Rap / R&B,Drums,1994
Ruff - N - Tuff,Chapter 3,Hip-Hop / Rap / R&B,Drums,1993
Phlayva 4 Dem All,Da Phlayva,Hip-Hop / Rap / R&B,Drums,1993
Gotta Be the Bomb,Dangerous Dame,Hip-Hop / Rap / R&B,Drums,1992
Born Suspect,Juice With Soul,Hip-Hop / Rap / R&B,Drums,1993
Kill or Get Killed,Juice With Soul,Hip-Hop / Rap / R&B,Drums,1993
We're Here to Play,Tony Scott,Hip-Hop / Rap / R&B,Drums,1993
Freestyle Flowin,Diz,Hip-Hop / Rap / R&B,Drums,1994
Freestyle Flowin,DJ Swift,Hip-Hop / Rap / R&B,Drums,1994
The Future,Prison City Productions,Hip-Hop / Rap / R&B,Drums,1992
Smoked Out,Kurrupt Thoughtz,Hip-Hop / Rap / R&B,Drums,1994
Bop Scuchie,Reverend Baddo,Reggae / Dub,Drums,1993
Seyyed (Descendant of the Prophet),Revolution of the Mind,Hip-Hop / Rap / R&B,Drums,2007
N.P.T. Posse,LA Star,Hip-Hop / Rap / R&B,Drums,1990
Waada Na Tod,Bally Sagoo,Electronic / Dance,Drums,1994
Waada Na Tod,Ranjana Joglekar,Electronic / Dance,Drums,1994
Brother Wit' Soul,Pryme Tyme,Hip-Hop / Rap / R&B,Drums,1993
Lets Get It On,Lac Rippa,Hip-Hop / Rap / R&B,Drums,1995
Lets Get It On,Scrooge,Hip-Hop / Rap / R&B,Drums,1995
My Imagination,2 Too Many,Hip-Hop / Rap / R&B,Drums,1992
Passionate Stare,Crooks of Da Round Table,Hip-Hop / Rap / R&B,Drums,1998
Passionate Stare,Angel Duss,Hip-Hop / Rap / R&B,Drums,1998
First Move (Underground Demo),Fayze,Hip-Hop / Rap / R&B,Drums,1991
First Move (Underground Demo),Hitler,Hip-Hop / Rap / R&B,Drums,1991
Hazlo,Sweet (3),Hip-Hop / Rap / R&B,Drums,1990
Reject Baller Bitch,Mel-Low,Hip-Hop / Rap / R&B,Drums,1993
I Got Talent,Midrange,Hip-Hop / Rap / R&B,Drums,1988
Flat Feet,Bro. MOST,Hip-Hop / Rap / R&B,Hook / Riff,1991
Kickin' Real Shit,Gangsta Rhyme Posse,Hip-Hop / Rap / R&B,Drums,1993
Temptations,Shockmaster Laz,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Having Fun,K.J. An Da Fellas,Hip-Hop / Rap / R&B,Drums,1990
All Nyte,Dead Prezident$,Hip-Hop / Rap / R&B,Drums,1995
Portrait of a Killer,Criminal Behavior,Hip-Hop / Rap / R&B,Drums,1993
L'Ascensore,Ambra,Rock / Pop,Drums,1994
Take a Trip,D-Moe,Hip-Hop / Rap / R&B,Drums,1994
Stop the Crack,Sons of Soul,Hip-Hop / Rap / R&B,Drums,1991
Movin' Ya,U.G.O.,Hip-Hop / Rap / R&B,Drums,1992
Tap Skinz,Ali Dee,Hip-Hop / Rap / R&B,Drums,1993
The Dream,Step. G,Hip-Hop / Rap / R&B,Drums,1991
Mr. All a That (Chip Chop Remix),Moe Crazy,Hip-Hop / Rap / R&B,Drums,1993
1001 Noches,Gerardo,Hip-Hop / Rap / R&B,Drums,1994
Pass Days,Khayree,Hip-Hop / Rap / R&B,Drums,1997
