The Story of O.J.,Jay-Z,Hip-Hop / Rap / R&B,Drums,2017
Come Clean,Jeru the Damaja,Hip-Hop / Rap / R&B,Drums,1993
Owner of a Lonely Heart,Yes,Rock / Pop,Multiple Elements,1983
The New Style,Beastie Boys,Hip-Hop / Rap / R&B,Hook / Riff,1986
Beat Box,Art of Noise,Electronic / Dance,Multiple Elements,1983
Growin' Up in the Hood,Compton's Most Wanted,Hip-Hop / Rap / R&B,Drums,1991
Girl You Know It's True,Milli Vanilli,Rock / Pop,Sound Effect / Other,1988
The Full Retard,El-P,Hip-Hop / Rap / R&B,Sound Effect / Other,2012
AJ Scratch,Kurtis Blow,Hip-Hop / Rap / R&B,Sound Effect / Other,1984
Let's Talk About Sex,Salt-N-Pepa,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
Lick the Balls,Slick Rick,Hip-Hop / Rap / R&B,Sound Effect / Other,1988
The Floor (Raw With Bass),Johnny Gill,Hip-Hop / Rap / R&B,Sound Effect / Other,1993
Deathwish I,Sid & B-Tonn,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
Welcome to the Terrordome,Public Enemy,Hip-Hop / Rap / R&B,Drums,1989
Megablast,Public Enemy,Hip-Hop / Rap / R&B,Sound Effect / Other,1987
Come See Me,112,Hip-Hop / Rap / R&B,Hook / Riff,1996
Come See Me,Mr. Cheeks,Hip-Hop / Rap / R&B,Hook / Riff,1996
The Story of O.J.,Jay-Z,Hip-Hop / Rap / R&B,Drums,2017
Come Clean,Jeru the Damaja,Hip-Hop / Rap / R&B,Drums,1993
Owner of a Lonely Heart,Yes,Rock / Pop,Multiple Elements,1983
The New Style,Beastie Boys,Hip-Hop / Rap / R&B,Hook / Riff,1986
Beat Box,Art of Noise,Electronic / Dance,Multiple Elements,1983
Growin' Up in the Hood,Compton's Most Wanted,Hip-Hop / Rap / R&B,Drums,1991
Girl You Know It's True,Milli Vanilli,Rock / Pop,Sound Effect / Other,1988
The Full Retard,El-P,Hip-Hop / Rap / R&B,Sound Effect / Other,2012
AJ Scratch,Kurtis Blow,Hip-Hop / Rap / R&B,Sound Effect / Other,1984
Let's Talk About Sex,Salt-N-Pepa,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
Lick the Balls,Slick Rick,Hip-Hop / Rap / R&B,Sound Effect / Other,1988
The Floor (Raw With Bass),Johnny Gill,Hip-Hop / Rap / R&B,Sound Effect / Other,1993
Deathwish I,Sid & B-Tonn,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
Welcome to the Terrordome,Public Enemy,Hip-Hop / Rap / R&B,Drums,1989
Megablast,Public Enemy,Hip-Hop / Rap / R&B,Sound Effect / Other,1987
Come See Me,112,Hip-Hop / Rap / R&B,Hook / Riff,1996
Come See Me,Mr. Cheeks,Hip-Hop / Rap / R&B,Hook / Riff,1996
Tryin' to Stop Ya,Taalam,Hip-Hop / Rap / R&B,Drums,1992
Side A,Butchwax,Hip-Hop / Rap / R&B,Multiple Elements,1999
