Ghetto Symphony,A$AP Rocky,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Ghetto Symphony,Gunplay,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Ghetto Symphony,A$AP Ferg,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Born to Die,Lana Del Rey,Rock / Pop,Vocals / Lyrics,2011
99 Problems,Jay-Z,Hip-Hop / Rap / R&B,Drums,2003
Barry Bonds,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Barry Bonds,Lil Wayne,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Wouldn't Get Far,The Game,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
Wouldn't Get Far,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
It Ain't Hard to Tell,Nas,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Love Yourz,J. Cole,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
The People,Common,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
The People,Dwele,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Fire Squad,J. Cole,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
Terry,Action Bronson,Hip-Hop / Rap / R&B,Multiple Elements,2015
The Glory,Kanye West,Hip-Hop / Rap / R&B,Drums,2007
Gin and Juice,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1993
Gin and Juice,Daz Dillinger,Hip-Hop / Rap / R&B,Drums,1993
Lord Knows,Drake,Hip-Hop / Rap / R&B,Drums,2011
Lord Knows,Rick Ross,Hip-Hop / Rap / R&B,Drums,2011
No Stylist,French Montana,Hip-Hop / Rap / R&B,Vocals / Lyrics,2018
No Stylist,Drake,Hip-Hop / Rap / R&B,Vocals / Lyrics,2018
Stepson of the Clapper,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,2006
She Needs Me,Kendrick Lamar,Hip-Hop / Rap / R&B,Vocals / Lyrics,2009
She Needs Me,Javonte,Hip-Hop / Rap / R&B,Vocals / Lyrics,2009
Ghetto Symphony,A$AP Rocky,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Ghetto Symphony,Gunplay,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Ghetto Symphony,A$AP Ferg,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
