Bring Da Ruckus,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,1993
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Drums,2012
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Drums,2012
O.P.P.,Naughty by Nature,Hip-Hop / Rap / R&B,Drums,1991
Ego Trippin',Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,1986
Don't Believe the Hype,Public Enemy,Hip-Hop / Rap / R&B,Drums,1988
You Be Killin' 'Em,Fabolous,Hip-Hop / Rap / R&B,Multiple Elements,2010
DWYCK,Gang Starr,Hip-Hop / Rap / R&B,Drums,1992
DWYCK,Nice & Smooth,Hip-Hop / Rap / R&B,Drums,1992
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Drums,2000
My Life,50 Cent,Hip-Hop / Rap / R&B,Drums,2012
My Life,Eminem,Hip-Hop / Rap / R&B,Drums,2012
My Life,Adam Levine,Hip-Hop / Rap / R&B,Drums,2012
Code of the Streets,Gang Starr,Hip-Hop / Rap / R&B,Drums,1994
The Champ (Original Version),Ghostface Killah,Hip-Hop / Rap / R&B,Drums,2006
Black Balloons Reprise,Flying Lotus,Hip-Hop / Rap / R&B,Drums,2019
Black Balloons Reprise,Denzel Curry,Hip-Hop / Rap / R&B,Drums,2019
Knock the Hustle,Cozz,Hip-Hop / Rap / R&B,Drums,2014
All I Need,Method Man,Hip-Hop / Rap / R&B,Drums,1994
All I Need,Streetlife,Hip-Hop / Rap / R&B,Drums,1994
Delinquents Never Pray (Amen 2),DJ Delinquent,Hip-Hop / Rap / R&B,Drums,2009
Clan in Da Front,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,1993
Bring Da Ruckus,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,1993
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Drums,2012
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Drums,2012
O.P.P.,Naughty by Nature,Hip-Hop / Rap / R&B,Drums,1991
Ego Trippin',Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,1986
Don't Believe the Hype,Public Enemy,Hip-Hop / Rap / R&B,Drums,1988
You Be Killin' 'Em,Fabolous,Hip-Hop / Rap / R&B,Multiple Elements,2010
DWYCK,Gang Starr,Hip-Hop / Rap / R&B,Drums,1992
DWYCK,Nice & Smooth,Hip-Hop / Rap / R&B,Drums,1992
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Drums,2000
My Life,50 Cent,Hip-Hop / Rap / R&B,Drums,2012
My Life,Eminem,Hip-Hop / Rap / R&B,Drums,2012
My Life,Adam Levine,Hip-Hop / Rap / R&B,Drums,2012
Code of the Streets,Gang Starr,Hip-Hop / Rap / R&B,Drums,1994
The Champ (Original Version),Ghostface Killah,Hip-Hop / Rap / R&B,Drums,2006
Black Balloons Reprise,Flying Lotus,Hip-Hop / Rap / R&B,Drums,2019
Black Balloons Reprise,Denzel Curry,Hip-Hop / Rap / R&B,Drums,2019
Knock the Hustle,Cozz,Hip-Hop / Rap / R&B,Drums,2014
All I Need,Method Man,Hip-Hop / Rap / R&B,Drums,1994
All I Need,Streetlife,Hip-Hop / Rap / R&B,Drums,1994
Delinquents Never Pray (Amen 2),DJ Delinquent,Hip-Hop / Rap / R&B,Drums,2009
Clan in Da Front,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,1993
Ear Damage,DJ Delinquent,Hip-Hop / Rap / R&B,Drums,2010
All Gone,Fraughman,Electronic / Dance,Drums,2000
What They All Say,Kyo Itachi,Hip-Hop / Rap / R&B,Drums,2018
What They All Say,Krondon,Hip-Hop / Rap / R&B,Drums,2018
J.B.'s Revenge,Joe Blakk,Hip-Hop / Rap / R&B,Drums,1994
Various Muthafuckas,J-Bad,Hip-Hop / Rap / R&B,Drums,1993
Step in the Wrong Direction (Remix),NoDōz,Hip-Hop / Rap / R&B,Drums,2013
The Agenda,Long Ova Due,Hip-Hop / Rap / R&B,Drums,1993
BOT,Chuck D,Hip-Hop / Rap / R&B,Drums,2018
BOT,Jahi,Hip-Hop / Rap / R&B,Drums,2018
Turn It Out,RM,Hip-Hop / Rap / R&B,Drums,1993
Mehr Schein Als Sein,Fettes Brot,Spoken Word,Drums,1998
Kompass,Arturs Skutelis,Hip-Hop / Rap / R&B,Multiple Elements,2011
