Full Title,Artist,Genre,Instrument,Year
It Takes Two,Rob Base & DJ E-Z Rock,Hip-Hop / Rap / R&B,Multiple Elements,1988
Ain't No Fun (If the Homies Can't Have None),Snoop Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Nate Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Kurupt,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Warren G,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ash Rockin,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,1996
So Appalled,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Swizz Beatz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,CyHi the Prynce,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,RZA,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Gosh,Jamie xx,Electronic / Dance,Multiple Elements,2015
Murder in My Mind,Kordhell,Electronic / Dance,Vocals / Lyrics,2022
Lost in the World,Kanye West,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Bon Iver,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Alicia Keys,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Charlie Wilson,Hip-Hop / Rap / R&B,Drums,2010
CHURCH GIRL,Beyoncé,Hip-Hop / Rap / R&B,Vocals / Lyrics,2022
Freestyler,Bomfunk MC's,Electronic / Dance,Drums,1999
You Already Know,Fergie,Hip-Hop / Rap / R&B,Multiple Elements,2017
You Already Know,Nicki Minaj,Hip-Hop / Rap / R&B,Multiple Elements,2017
Nobody to Love,Sigma,Electronic / Dance,Multiple Elements,2014
Call Ticketron,Run the Jewels,Hip-Hop / Rap / R&B,Multiple Elements,2016
Dance With the Devil,Immortal Technique,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Musician,Porter Robinson,Electronic / Dance,Vocals / Lyrics,2021
Optimism Over Despair,Konx-Om-Pax,Electronic / Dance,Vocals / Lyrics,2019
Like I Do,David Guetta,Electronic / Dance,Vocals / Lyrics,2018
Like I Do,Martin Garrix,Electronic / Dance,Vocals / Lyrics,2018
Like I Do,Brooks,Electronic / Dance,Vocals / Lyrics,2018
It Takes Two,Rob Base & DJ E-Z Rock,Hip-Hop / Rap / R&B,Multiple Elements,1988
Ain't No Fun (If the Homies Can't Have None),Snoop Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Nate Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Kurupt,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ain't No Fun (If the Homies Can't Have None),Warren G,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Ash Rockin,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,1996
So Appalled,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Swizz Beatz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,CyHi the Prynce,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
So Appalled,RZA,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Gosh,Jamie xx,Electronic / Dance,Multiple Elements,2015
Murder in My Mind,Kordhell,Electronic / Dance,Vocals / Lyrics,2022
Lost in the World,Kanye West,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Bon Iver,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Alicia Keys,Hip-Hop / Rap / R&B,Drums,2010
Lost in the World,Charlie Wilson,Hip-Hop / Rap / R&B,Drums,2010
CHURCH GIRL,Beyoncé,Hip-Hop / Rap / R&B,Vocals / Lyrics,2022
Freestyler,Bomfunk MC's,Electronic / Dance,Drums,1999
You Already Know,Fergie,Hip-Hop / Rap / R&B,Multiple Elements,2017
You Already Know,Nicki Minaj,Hip-Hop / Rap / R&B,Multiple Elements,2017
Nobody to Love,Sigma,Electronic / Dance,Multiple Elements,2014
Call Ticketron,Run the Jewels,Hip-Hop / Rap / R&B,Multiple Elements,2016
Dance With the Devil,Immortal Technique,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Musician,Porter Robinson,Electronic / Dance,Vocals / Lyrics,2021
Optimism Over Despair,Konx-Om-Pax,Electronic / Dance,Vocals / Lyrics,2019
Like I Do,David Guetta,Electronic / Dance,Vocals / Lyrics,2018
Like I Do,Martin Garrix,Electronic / Dance,Vocals / Lyrics,2018
Like I Do,Brooks,Electronic / Dance,Vocals / Lyrics,2018
Hugs and Kisses,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Belated Valentine's Day,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Hand in Hand,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Your Irradiant Smile,Dj Bamberino,Electronic / Dance,Drums,2021
Better Together,Dj Bamberino,Electronic / Dance,Drums,2021
Check Out the Floor (Summer Breeze) (Mach 3 Extended),Justine Simmons,Electronic / Dance,Vocals / Lyrics,2001
Check Out the Floor (Summer Breeze) (Mach 3 Extended),Run,Electronic / Dance,Vocals / Lyrics,2001
6,High Life,Electronic / Dance,Multiple Elements,2022
Youthman in the Ghetto,Duburban,Electronic / Dance,Drums,2018
Galope,μ-Ziq,Electronic / Dance,Drums,2022
