Party and Bullshit,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Multiple Elements,1993
Geek Down,J Dilla,Hip-Hop / Rap / R&B,Sound Effect / Other,2006
Ain't No Half-Steppin',Big Daddy Kane,Hip-Hop / Rap / R&B,Hook / Riff,1988
Return of the Mack,Mark Morrison,Hip-Hop / Rap / R&B,Multiple Elements,1996
Yessir!,MF DOOM,Hip-Hop / Rap / R&B,Multiple Elements,2009
Yessir!,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,2009
Thun,Nas,Hip-Hop / Rap / R&B,Hook / Riff,2022
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Hook / Riff,1989
Let's Ride,Q-Tip,Hip-Hop / Rap / R&B,Hook / Riff,1999
Only Wanna Give It to You,Elle Varner,Hip-Hop / Rap / R&B,Hook / Riff,2011
Only Wanna Give It to You,J. Cole,Hip-Hop / Rap / R&B,Hook / Riff,2011
Night of the Living Baseheads,Public Enemy,Hip-Hop / Rap / R&B,Hook / Riff,1988
Young Jesus,Logic,Hip-Hop / Rap / R&B,Multiple Elements,2015
Young Jesus,Big Lenbo,Hip-Hop / Rap / R&B,Multiple Elements,2015
Strictly 4 My N.I.G.G.A.Z.,2Pac,Hip-Hop / Rap / R&B,Multiple Elements,1993
Fuck Compton,Tim Dog,Hip-Hop / Rap / R&B,Hook / Riff,1991
Who I Am,Pusha T,Hip-Hop / Rap / R&B,Multiple Elements,2013
Who I Am,2 Chainz,Hip-Hop / Rap / R&B,Multiple Elements,2013
Who I Am,Big Sean,Hip-Hop / Rap / R&B,Multiple Elements,2013
Realms of Junior M.A.F.I.A,Junior M.A.F.I.A.,Hip-Hop / Rap / R&B,Multiple Elements,1995
R.I.P.,Prodigy,Hip-Hop / Rap / R&B,Multiple Elements,2013
R.I.P.,The Alchemist,Hip-Hop / Rap / R&B,Multiple Elements,2013
R.I.P.,Havoc,Hip-Hop / Rap / R&B,Multiple Elements,2013
R.I.P.,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,2013
Party and Bullshit,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Multiple Elements,1993
Geek Down,J Dilla,Hip-Hop / Rap / R&B,Sound Effect / Other,2006
Ain't No Half-Steppin',Big Daddy Kane,Hip-Hop / Rap / R&B,Hook / Riff,1988
Return of the Mack,Mark Morrison,Hip-Hop / Rap / R&B,Multiple Elements,1996
Yessir!,MF DOOM,Hip-Hop / Rap / R&B,Multiple Elements,2009
Yessir!,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,2009
Thun,Nas,Hip-Hop / Rap / R&B,Hook / Riff,2022
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Hook / Riff,1989
Let's Ride,Q-Tip,Hip-Hop / Rap / R&B,Hook / Riff,1999
