Passin' Me By,The Pharcyde,Hip-Hop / Rap / R&B,Drums,by The Pharcyde (1992)
Poison,The Prodigy,Electronic / Dance,Drums,by The Prodigy (1994)
Clubbed to Death (Kurayamino Variation),Rob Dougan,Electronic / Dance,Drums,by Rob Dougan (1995)
Give Up the Goods (Just Step),Mobb Deep,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mobb Deep feat. Big Noyd (1995)
Give Up the Goods (Just Step),Big Noyd,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mobb Deep feat. Big Noyd (1995)
Take It Personal,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr (1992)
Put It On,Big L,Hip-Hop / Rap / R&B,Drums,by Big L feat. Kid Capri (1994)
Put It On,Kid Capri,Hip-Hop / Rap / R&B,Drums,by Big L feat. Kid Capri (1994)
Who Got Da Props,Black Moon,Hip-Hop / Rap / R&B,Drums,by Black Moon (1993)
Coolie High,Camp Lo,Hip-Hop / Rap / R&B,Drums,by Camp Lo (1996)
Butterfly,Crazy Town,Rock / Pop,Drums,by Crazy Town (1999)
Cure for the Itch,Linkin Park,Rock / Pop,Drums,by Linkin Park (2000)
I Want You,Common,Hip-Hop / Rap / R&B,Drums,by Common feat. will.i.am (2007)
I Want You,will.i.am,Hip-Hop / Rap / R&B,Drums,by Common feat. will.i.am (2007)
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Drums,by Stezo (1989)
Funky Child,Lords of the Underground,Hip-Hop / Rap / R&B,Drums,by Lords of the Underground (1993)
Hippa to Da Hoppa,Ol' Dirty Bastard,Hip-Hop / Rap / R&B,Drums,by Ol' Dirty Bastard (1995)
Stereo Hearts,Gym Class Heroes,Rock / Pop,Drums,by Gym Class Heroes feat. Adam Levine (2011)
Stereo Hearts,Adam Levine,Rock / Pop,Drums,by Gym Class Heroes feat. Adam Levine (2011)
"Remember Me (Original 12"")",Blue Boy,Electronic / Dance,Drums,by Blue Boy (1997)
Passin' Me By,The Pharcyde,Hip-Hop / Rap / R&B,Drums,by The Pharcyde (1992)
Poison,The Prodigy,Electronic / Dance,Drums,by The Prodigy (1994)
Clubbed to Death (Kurayamino Variation),Rob Dougan,Electronic / Dance,Drums,by Rob Dougan (1995)
Give Up the Goods (Just Step),Mobb Deep,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mobb Deep feat. Big Noyd (1995)
Give Up the Goods (Just Step),Big Noyd,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mobb Deep feat. Big Noyd (1995)
Take It Personal,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr (1992)
Put It On,Big L,Hip-Hop / Rap / R&B,Drums,by Big L feat. Kid Capri (1994)
Put It On,Kid Capri,Hip-Hop / Rap / R&B,Drums,by Big L feat. Kid Capri (1994)
Who Got Da Props,Black Moon,Hip-Hop / Rap / R&B,Drums,by Black Moon (1993)
Coolie High,Camp Lo,Hip-Hop / Rap / R&B,Drums,by Camp Lo (1996)
Butterfly,Crazy Town,Rock / Pop,Drums,by Crazy Town (1999)
Cure for the Itch,Linkin Park,Rock / Pop,Drums,by Linkin Park (2000)
I Want You,Common,Hip-Hop / Rap / R&B,Drums,by Common feat. will.i.am (2007)
I Want You,will.i.am,Hip-Hop / Rap / R&B,Drums,by Common feat. will.i.am (2007)
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Drums,by Stezo (1989)
Funky Child,Lords of the Underground,Hip-Hop / Rap / R&B,Drums,by Lords of the Underground (1993)
Hippa to Da Hoppa,Ol' Dirty Bastard,Hip-Hop / Rap / R&B,Drums,by Ol' Dirty Bastard (1995)
Stereo Hearts,Gym Class Heroes,Rock / Pop,Drums,by Gym Class Heroes feat. Adam Levine (2011)
Stereo Hearts,Adam Levine,Rock / Pop,Drums,by Gym Class Heroes feat. Adam Levine (2011)
"Remember Me (Original 12"")",Blue Boy,Electronic / Dance,Drums,by Blue Boy (1997)
Ufos über Dortmund,Der Wolf,Hip-Hop / Rap / R&B,Drums,by Der Wolf (1998)
Un Momento De Vida,Akelarre,Hip-Hop / Rap / R&B,Drums,by Akelarre (2009)
Boogie Man,Da Homlez,Hip-Hop / Rap / R&B,Drums,by Da Homlez (1995)
Sonido Del Micrófono,Droopy G,Hip-Hop / Rap / R&B,Drums,by Droopy G (1998)
White Girls Wearing CDG Cons,Penisland,Electronic / Dance,Drums,by Penisland (2021)
The Fly Sacrifice,The Militia (2),Hip-Hop / Rap / R&B,Drums,by The Militia (2) feat. WeatherPROOF (2012)
The Fly Sacrifice,WeatherPROOF,Hip-Hop / Rap / R&B,Drums,by The Militia (2) feat. WeatherPROOF (2012)
I Need Money,Da Champ,Hip-Hop / Rap / R&B,Drums,by Da Champ (1998)
Guaranteed Rec,TriFe!,Hip-Hop / Rap / R&B,Drums,by TriFe! (1995)
Look Inside,The Channel Surfers,Rock / Pop,Drums,by The Channel Surfers (1999)
Presentacion Preliminar,Vicky MC,Hip-Hop / Rap / R&B,Drums,by Vicky MC feat. 4Dp (2005)
Presentacion Preliminar,4Dp,Hip-Hop / Rap / R&B,Drums,by Vicky MC feat. 4Dp (2005)
Dry,Punta Rosa,Hip-Hop / Rap / R&B,Drums,by Punta Rosa (2015)
Уличная Псина,Paha D,Hip-Hop / Rap / R&B,Drums,by Paha D (2012)
Die Hard Maniac,DOBERMAN INC,Hip-Hop / Rap / R&B,Drums,by DOBERMAN INC (2006)
Can't Take No More,Jam & DKC,Hip-Hop / Rap / R&B,Drums,by Jam & DKC (1996)
Take Yo Ass Home,M1dlet,Electronic / Dance,Drums,by M1dlet (2013)
Stashouse,Homicide (2),Hip-Hop / Rap / R&B,Drums,by Homicide (2) (1993)
