Apache,Sugarhill Gang,Hip-Hop / Rap / R&B,Multiple Elements,by Sugarhill Gang (1981)
Made You Look,Nas,Hip-Hop / Rap / R&B,Multiple Elements,by Nas (2003)
That's My Bitch,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z and Kanye West (2011)
That's My Bitch,Kanye West,Hip-Hop / Rap / R&B,Drums,by Jay-Z and Kanye West (2011)
Heliosphan,Aphex Twin,Electronic / Dance,Drums,by Aphex Twin (1992)
100 Miles and Running,Logic,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
100 Miles and Running,Wale,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
100 Miles and Running,John Lindahl,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
Xtal,Aphex Twin,Electronic / Dance,Drums,by Aphex Twin (1992)
Break Dance - Electric Boogie,West Street Mob,Hip-Hop / Rap / R&B,Multiple Elements,by West Street Mob (1983)
The Adventures of Grandmaster Flash on the Wheels of Steel,Grandmaster Flash,Hip-Hop / Rap / R&B,Drums,by Grandmaster Flash and The Furious Five (1981)
The Adventures of Grandmaster Flash on the Wheels of Steel,The Furious Five,Hip-Hop / Rap / R&B,Drums,by Grandmaster Flash and The Furious Five (1981)
Hip Hop Is Dead,Nas,Hip-Hop / Rap / R&B,Drums,by Nas feat. will.i.am (2006)
Hip Hop Is Dead,will.i.am,Hip-Hop / Rap / R&B,Drums,by Nas feat. will.i.am (2006)
A Bit Patchy,Switch,Electronic / Dance,Multiple Elements,by Switch (2005)
Machete,Moby,Electronic / Dance,Drums,by Moby (1999)
Turn This Mutha Out,MC Hammer,Hip-Hop / Rap / R&B,Drums,by MC Hammer (1988)
The World Is Mine,Samm Henshaw,Hip-Hop / Rap / R&B,Multiple Elements,by Samm Henshaw (2019)
Inner City Life,Goldie,Electronic / Dance,Drums,by Goldie feat. Diane Charlemagne (1994)
Inner City Life,Diane Charlemagne,Electronic / Dance,Drums,by Goldie feat. Diane Charlemagne (1994)
Know How,Young MC,Hip-Hop / Rap / R&B,Drums,by Young MC (1989)
Thought @ Work,The Roots,Hip-Hop / Rap / R&B,Drums,by The Roots (2002)
Apache,Sugarhill Gang,Hip-Hop / Rap / R&B,Multiple Elements,by Sugarhill Gang (1981)
Made You Look,Nas,Hip-Hop / Rap / R&B,Multiple Elements,by Nas (2003)
That's My Bitch,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z and Kanye West (2011)
That's My Bitch,Kanye West,Hip-Hop / Rap / R&B,Drums,by Jay-Z and Kanye West (2011)
Heliosphan,Aphex Twin,Electronic / Dance,Drums,by Aphex Twin (1992)
100 Miles and Running,Logic,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
100 Miles and Running,Wale,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
100 Miles and Running,John Lindahl,Hip-Hop / Rap / R&B,Drums,by Logic feat. Wale and John Lindahl (2018)
Xtal,Aphex Twin,Electronic / Dance,Drums,by Aphex Twin (1992)
Break Dance - Electric Boogie,West Street Mob,Hip-Hop / Rap / R&B,Multiple Elements,by West Street Mob (1983)
The Adventures of Grandmaster Flash on the Wheels of Steel,Grandmaster Flash,Hip-Hop / Rap / R&B,Drums,by Grandmaster Flash and The Furious Five (1981)
The Adventures of Grandmaster Flash on the Wheels of Steel,The Furious Five,Hip-Hop / Rap / R&B,Drums,by Grandmaster Flash and The Furious Five (1981)
Hip Hop Is Dead,Nas,Hip-Hop / Rap / R&B,Drums,by Nas feat. will.i.am (2006)
Hip Hop Is Dead,will.i.am,Hip-Hop / Rap / R&B,Drums,by Nas feat. will.i.am (2006)
A Bit Patchy,Switch,Electronic / Dance,Multiple Elements,by Switch (2005)
Machete,Moby,Electronic / Dance,Drums,by Moby (1999)
Turn This Mutha Out,MC Hammer,Hip-Hop / Rap / R&B,Drums,by MC Hammer (1988)
The World Is Mine,Samm Henshaw,Hip-Hop / Rap / R&B,Multiple Elements,by Samm Henshaw (2019)
Inner City Life,Goldie,Electronic / Dance,Drums,by Goldie feat. Diane Charlemagne (1994)
Inner City Life,Diane Charlemagne,Electronic / Dance,Drums,by Goldie feat. Diane Charlemagne (1994)
Know How,Young MC,Hip-Hop / Rap / R&B,Drums,by Young MC (1989)
Thought @ Work,The Roots,Hip-Hop / Rap / R&B,Drums,by The Roots (2002)
Party People,3 the Hard Way,Hip-Hop / Rap / R&B,Drums,by 3 the Hard Way (2003)
Blow,Fuzzbox Inc,Other,Drums,by Fuzzbox Inc (2010)
Harlem World Flavour,DJ Crystl,Hip-Hop / Rap / R&B,Drums,by DJ Crystl (1995)
Lion Awakes,Aeon Four,Electronic / Dance,Drums,by Aeon Four (2020)
Uno Dos,Professor Boom,Electronic / Dance,Drums,by Professor Boom (1998)
Runaway,Ripclaw,Electronic / Dance,Drums,by Ripclaw (2005)
The Dream,Naughty Naughty,Electronic / Dance,Drums,by Naughty Naughty (1993)
Tekken Step (Heihachi Mishima Mix),Барбитура,Electronic / Dance,Drums,by Барбитура (1999)
Mario Gets Into Them,Ethnic Nations,Electronic / Dance,Drums,by Ethnic Nations (1993)
Amnesia,F.X.,Electronic / Dance,Drums,by F.X. (2013)
It's the Way Ya Like It,Top Secret (Hip Hop),Hip-Hop / Rap / R&B,Drums,by Top Secret (Hip Hop) (1993)
Off Topic,K-Chaos,Electronic / Dance,Drums,by K-Chaos (2018)
Stuck in the Middle,K-Gee,Hip-Hop / Rap / R&B,Drums,by K-Gee feat. Michelle Escoffery (2002)
Stuck in the Middle,Michelle Escoffery,Hip-Hop / Rap / R&B,Drums,by K-Gee feat. Michelle Escoffery (2002)
I Know You Well (If You Want It Mix),Shack,Rock / Pop,Drums,by Shack (1990)
Vertigo,Icons,Electronic / Dance,Drums,by Icons (1996)
Wotwedo,Skandal,Electronic / Dance,Drums,by Skandal (1998)
Rub a Dub Style,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2014)
GST Separate,Fiesta Soundsystem,Electronic / Dance,Drums,by Fiesta Soundsystem (2020)
Early Reflections,Law (Drum and Bass),Electronic / Dance,Drums,by Law (Drum and Bass) and Wheeler (Drum and Bass) (2020)
Early Reflections,Wheeler (Drum and Bass),Electronic / Dance,Drums,by Law (Drum and Bass) and Wheeler (Drum and Bass) (2020)
Secret Weapon,Acid Lab,Electronic / Dance,Drums,by Acid Lab (2020)
Mental Distortion,Head Pressure,Electronic / Dance,Drums,by Head Pressure (1992)
Jungle Fever,Hard & Pure,Electronic / Dance,Drums,by Hard & Pure (1993)
Another Weekend,4 Hero,Electronic / Dance,Drums,by 4 Hero (1991)
Planète Interdite,Krell,Electronic / Dance,Multiple Elements,by Krell (1996)
Rock the Discotex,Discofrisco & DJ Inferno,Electronic / Dance,Drums,by Discofrisco & DJ Inferno (1995)
Infected,Machine Head (2),Electronic / Dance,Drums,by Machine Head (2) (1992)
Life on Earth,Rregula (Drum & Bass),Electronic / Dance,Drums,by Rregula (Drum & Bass) and Dementia (Drum & Bass) (2009)
Life on Earth,Dementia (Drum & Bass),Electronic / Dance,Drums,by Rregula (Drum & Bass) and Dementia (Drum & Bass) (2009)
Lost in Music,Icons,Electronic / Dance,Drums,by Icons (1996)
The Problem,Lavery,Electronic / Dance,Drums,by Lavery (2017)
Hyper,DJ Devine & Essence,Electronic / Dance,Drums,by DJ Devine & Essence (1994)
Fall Down,DJ Massive,Electronic / Dance,Drums,by DJ Massive (1993)
Battle Stations,Drumskull,Electronic / Dance,Drums,by Drumskull (2020)
Believe,Whizzkick,Electronic / Dance,Drums,by Whizzkick (2008)
Do You Wanna Dance,DJ Gizmo,Electronic / Dance,Drums,by DJ Gizmo and DJ Delirium (1995)
Do You Wanna Dance,DJ Delirium,Electronic / Dance,Drums,by DJ Gizmo and DJ Delirium (1995)
The Dragon,John Rolodex,Electronic / Dance,Drums,by John Rolodex (2002)
D.B.L. Theme,DBL,Electronic / Dance,Drums,by DBL (1992)
Slow Down,Yosh,Electronic / Dance,Drums,by Yosh (2020)
Way of Life,New Vision (2),Electronic / Dance,Drums,by New Vision (2) (1994)
The Love for the Oldskool,Msymiakos,Electronic / Dance,Drums,by Msymiakos (2015)
In My Soul,Internal Affairs,Electronic / Dance,Drums,by Internal Affairs (1993)
UK74R1825020,Aleksi Perälä,Electronic / Dance,Drums,by Aleksi Perälä (2018)
Bella,Tribal House Crew,Electronic / Dance,Drums,by Tribal House Crew feat. Charlie D (2019)
Bella,Charlie D,Electronic / Dance,Drums,by Tribal House Crew feat. Charlie D (2019)
Untitled (A1),Mind Therapy,Electronic / Dance,Drums,by Mind Therapy (1994)
The Vision,Rescale,Electronic / Dance,Drums,by Rescale (1997)
Dare,Mystical,Electronic / Dance,Drums,by Mystical (1993)
Detour,Law (Drum and Bass),Electronic / Dance,Drums,by Law (Drum and Bass) and Wheeler (Drum and Bass) (2015)
Detour,Wheeler (Drum and Bass),Electronic / Dance,Drums,by Law (Drum and Bass) and Wheeler (Drum and Bass) (2015)
Soot Fm,Pitman,Hip-Hop / Rap / R&B,Drums,by Pitman (2003)
Dreadnox,Dokta Venom,Electronic / Dance,Drums,by Dokta Venom (2020)
Hardcore Junglism,DJ Massive,Electronic / Dance,Drums,by DJ Massive (1993)
Spellbound,Nookie,Electronic / Dance,Drums,by Nookie (1992)
Globex Corp Vol. 3 B2 (Phineus II Remix),Dwarde,Electronic / Dance,Drums,"by Dwarde, Gand and Tim Reaper (2019)"
Globex Corp Vol. 3 B2 (Phineus II Remix),Gand,Electronic / Dance,Drums,"by Dwarde, Gand and Tim Reaper (2019)"
Globex Corp Vol. 3 B2 (Phineus II Remix),Tim Reaper,Electronic / Dance,Drums,"by Dwarde, Gand and Tim Reaper (2019)"
Run From the Feeling,SPL,Electronic / Dance,Drums,by SPL (2009)
Make My Body Move (Remix),Addiction (Vicious Pumpin' Plastic Records),Electronic / Dance,Drums,by Addiction (Vicious Pumpin' Plastic Records) (1992)
Skeletones,Orange Dust,Electronic / Dance,Drums,by Orange Dust (2005)
Rolling Waves,Nebula,Electronic / Dance,Drums,by Nebula (2017)
Astrakhan,The Bowling Green,Electronic / Dance,Drums,by The Bowling Green (1998)
Yo Chuck,Hardhouse,Electronic / Dance,Drums,by Hardhouse (1990)
No Space,Lavery,Electronic / Dance,Drums,by Lavery (2020)
Mindgames,System X,Electronic / Dance,Drums,by System X (1994)
Doubtful Being,Riffz,Electronic / Dance,Drums,by Riffz (2020)
Leo 9,Klute,Electronic / Dance,Drums,by Klute (1996)
Nebulous,Skin Teeth,Electronic / Dance,Drums,by Skin Teeth (2019)
Ferric,Wardown,Electronic / Dance,Drums,by Wardown (2020)
Temples,Arcane (Drum & Bass),Electronic / Dance,Drums,by Arcane (Drum & Bass) (2020)
Frankie Gunns,Gremlinz,Electronic / Dance,Drums,by Gremlinz (2009)
End of Time,Lavery,Electronic / Dance,Drums,by Lavery (2019)
Beat Goes On,DJ Kid Stretch,Hip-Hop / Rap / R&B,Drums,by DJ Kid Stretch (2008)
Breaks Selection,Seba,Electronic / Dance,Drums,by Seba (2008)
Bigga Times,Darqwan,Electronic / Dance,Drums,by Darqwan (2006)
The Depths,John B,Electronic / Dance,Drums,by John B (2021)
Biohazard,Dazzle-T,Electronic / Dance,Drums,by Dazzle-T feat. Quicky (1997)
Biohazard,Quicky,Electronic / Dance,Drums,by Dazzle-T feat. Quicky (1997)
