Paid in Full,Eric B. & Rakim,Hip-Hop / Rap / R&B,Drums,by Eric B. & Rakim (1987)
Hey Young World,Slick Rick,Hip-Hop / Rap / R&B,Multiple Elements,by Slick Rick (1988)
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Drums,by P.M. Dawn (1991)
Girl You Know It's True,Milli Vanilli,Rock / Pop,Drums,by Milli Vanilli (1988)
Rival Dealer,Burial,Electronic / Dance,Drums,by Burial (2013)
Run's House,Run-DMC,Hip-Hop / Rap / R&B,Hook / Riff,by Run-DMC (1988)
Unbelievable,EMF,Rock / Pop,Drums,by EMF (1990)
Come Undone,Duran Duran,Rock / Pop,Drums,by Duran Duran (1993)
Jack the Ripper,LL Cool J,Hip-Hop / Rap / R&B,Multiple Elements,by LL Cool J (1987)
Girls Around the World,Lloyd,Hip-Hop / Rap / R&B,Drums,by Lloyd feat. Lil Wayne (2008)
Girls Around the World,Lil Wayne,Hip-Hop / Rap / R&B,Drums,by Lloyd feat. Lil Wayne (2008)
Ladyflash,The Go! Team,Rock / Pop,Hook / Riff,by The Go! Team (2004)
Bass & Key Duet,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,by J Dilla (2005)
One for the Treble (Fresh),Davy DMX,Hip-Hop / Rap / R&B,Sound Effect / Other,by Davy DMX (1984)
Scarface,Ghetto Boys,Hip-Hop / Rap / R&B,Drums,by Ghetto Boys (1989)
Baby Don't Forget My Number,Milli Vanilli,Rock / Pop,Drums,by Milli Vanilli (1988)
Step Off,Grandmaster Melle Mel,Hip-Hop / Rap / R&B,Hook / Riff,by Grandmaster Melle Mel and The Furious Five (1984)
Step Off,The Furious Five,Hip-Hop / Rap / R&B,Hook / Riff,by Grandmaster Melle Mel and The Furious Five (1984)
Paid in Full,Eric B. & Rakim,Hip-Hop / Rap / R&B,Drums,by Eric B. & Rakim (1987)
Hey Young World,Slick Rick,Hip-Hop / Rap / R&B,Multiple Elements,by Slick Rick (1988)
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Drums,by P.M. Dawn (1991)
Girl You Know It's True,Milli Vanilli,Rock / Pop,Drums,by Milli Vanilli (1988)
Rival Dealer,Burial,Electronic / Dance,Drums,by Burial (2013)
Run's House,Run-DMC,Hip-Hop / Rap / R&B,Hook / Riff,by Run-DMC (1988)
Unbelievable,EMF,Rock / Pop,Drums,by EMF (1990)
Come Undone,Duran Duran,Rock / Pop,Drums,by Duran Duran (1993)
Jack the Ripper,LL Cool J,Hip-Hop / Rap / R&B,Multiple Elements,by LL Cool J (1987)
Girls Around the World,Lloyd,Hip-Hop / Rap / R&B,Drums,by Lloyd feat. Lil Wayne (2008)
Girls Around the World,Lil Wayne,Hip-Hop / Rap / R&B,Drums,by Lloyd feat. Lil Wayne (2008)
Ladyflash,The Go! Team,Rock / Pop,Hook / Riff,by The Go! Team (2004)
Bass & Key Duet,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,by J Dilla (2005)
One for the Treble (Fresh),Davy DMX,Hip-Hop / Rap / R&B,Sound Effect / Other,by Davy DMX (1984)
Scarface,Ghetto Boys,Hip-Hop / Rap / R&B,Drums,by Ghetto Boys (1989)
