Everything I Am,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. DJ Premier (2007)
Everything I Am,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. DJ Premier (2007)
Bass (How Low Can You Go),Simon Harris,Electronic / Dance,Vocals / Lyrics,by Simon Harris (1988)
How Low,Ludacris,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ludacris (2009)
I'm Back,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eminem (2000)
Here We Go Again!,Portrait,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Portrait (1992)
Guess Who's Back,Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rakim (1997)
Total Confusion (Confusion Mix),"A Homeboy, a Hippie & a Funki Dredd",Electronic / Dance,Vocals / Lyrics,"by A Homeboy, a Hippie & a Funki Dredd (1990)"
Concrete Jungle (1999),Bob Marley,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Concrete Jungle (1999),The Wailers,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Concrete Jungle (1999),Rakim,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Much More,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul feat. Yummy Bingham (2003)
Much More,Yummy Bingham,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul feat. Yummy Bingham (2003)
Showdown,Pendulum,Electronic / Dance,Vocals / Lyrics,by Pendulum (2008)
Safe 2 Say (The Incredible),Fat Joe,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Fat Joe (2005)
Undisputed,Prince,Rock / Pop,Vocals / Lyrics,by Prince feat. Chuck D (1999)
Undisputed,Chuck D,Rock / Pop,Vocals / Lyrics,by Prince feat. Chuck D (1999)
Plug Tunin',De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul (1989)
Black Steel in the Hour of Chaos,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Public Enemy (1988)
Crossover,EPMD,Hip-Hop / Rap / R&B,Vocals / Lyrics,by EPMD (1992)
Egg Man,Beastie Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beastie Boys (1989)
Everything I Am,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. DJ Premier (2007)
Everything I Am,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. DJ Premier (2007)
Bass (How Low Can You Go),Simon Harris,Electronic / Dance,Vocals / Lyrics,by Simon Harris (1988)
How Low,Ludacris,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ludacris (2009)
I'm Back,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eminem (2000)
Here We Go Again!,Portrait,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Portrait (1992)
Guess Who's Back,Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rakim (1997)
Total Confusion (Confusion Mix),"A Homeboy, a Hippie & a Funki Dredd",Electronic / Dance,Vocals / Lyrics,"by A Homeboy, a Hippie & a Funki Dredd (1990)"
Concrete Jungle (1999),Bob Marley,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Concrete Jungle (1999),The Wailers,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Concrete Jungle (1999),Rakim,Reggae / Dub,Vocals / Lyrics,by Bob Marley and The Wailers feat. Rakim (1999)
Much More,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul feat. Yummy Bingham (2003)
Much More,Yummy Bingham,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul feat. Yummy Bingham (2003)
Showdown,Pendulum,Electronic / Dance,Vocals / Lyrics,by Pendulum (2008)
Safe 2 Say (The Incredible),Fat Joe,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Fat Joe (2005)
Undisputed,Prince,Rock / Pop,Vocals / Lyrics,by Prince feat. Chuck D (1999)
Undisputed,Chuck D,Rock / Pop,Vocals / Lyrics,by Prince feat. Chuck D (1999)
Plug Tunin',De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul (1989)
Black Steel in the Hour of Chaos,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Public Enemy (1988)
Crossover,EPMD,Hip-Hop / Rap / R&B,Vocals / Lyrics,by EPMD (1992)
Egg Man,Beastie Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beastie Boys (1989)
Get Ready 4 Action,Hommer,Electronic / Dance,Vocals / Lyrics,by Hommer (2012)
Bits and Pieces (Return to the Classics),Kevin Sweeney,Rock / Pop,Vocals / Lyrics,by Kevin Sweeney (2004)
