Thrift Shop,Macklemore,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Macklemore and Ryan Lewis feat. Wanz (2012)
Thrift Shop,Ryan Lewis,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Macklemore and Ryan Lewis feat. Wanz (2012)
Thrift Shop,Wanz,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Macklemore and Ryan Lewis feat. Wanz (2012)
Paid in Full,Eric B. & Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eric B. & Rakim (1987)
Right Here,Justin Bieber,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Justin Bieber feat. Drake (2012)
Right Here,Drake,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Justin Bieber feat. Drake (2012)
Rockit,Herbie Hancock,Electronic / Dance,Vocals / Lyrics,by Herbie Hancock (1983)
So Far...,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eminem (2013)
Finally Moving,Pretty Lights,Electronic / Dance,Vocals / Lyrics,by Pretty Lights (2006)
I'm a Slave 4 U,Britney Spears,Rock / Pop,Vocals / Lyrics,by Britney Spears (2001)
Yo Perreo Sola,Bad Bunny,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Bad Bunny and Nesi (2020)
Yo Perreo Sola,Nesi,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Bad Bunny and Nesi (2020)
Hey Young World,Slick Rick,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Slick Rick (1988)
P.S.K. - What Does It Mean?,Schoolly D,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Schoolly D (1985)
Rhythm Rock Rapp,Daniel Sofer,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Daniel Sofer feat. The Unknown DJ and Dr. Dre (1984)
Rhythm Rock Rapp,The Unknown DJ,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Daniel Sofer feat. The Unknown DJ and Dr. Dre (1984)
Rhythm Rock Rapp,Dr. Dre,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Daniel Sofer feat. The Unknown DJ and Dr. Dre (1984)
Lamborghini,Trenchcoat,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Trenchcoat (1987)
Cure for the Itch,Linkin Park,Rock / Pop,Vocals / Lyrics,by Linkin Park (2000)
Catchin' the Vibe,Quasimoto,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Quasimoto (2013)
Pump Up the Volume,M|A|R|R|S,Electronic / Dance,Vocals / Lyrics,by M|A|R|R|S (1987)
Yeah Right,Vince Staples,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Vince Staples (2017)
Thrift Shop,Macklemore,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Macklemore and Ryan Lewis feat. Wanz (2012)
Thrift Shop,Ryan Lewis,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Macklemore and Ryan Lewis feat. Wanz (2012)
