web-scraper-order,web-scraper-start-url,page,Full Title,Artist,Genre,Instrument,Year
"1682403596-8116","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Hypnotize","The Notorious B.I.G.","Hip-Hop / Rap / R&B","Vocals / Lyrics","by The Notorious B.I.G. (1997)"
"1682403596-8117","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Party","Beyoncé","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Beyoncé feat. André 3000 (2011)"
"1682403596-8118","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Party","André 3000","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Beyoncé feat. André 3000 (2011)"
"1682403596-8119","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","We Can't Stop","Miley Cyrus","Rock / Pop","Vocals / Lyrics","by Miley Cyrus (2013)"
"1682403596-8120","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Auditorium","Mos Def","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Mos Def feat. Slick Rick (2009)"
"1682403596-8121","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Auditorium","Slick Rick","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Mos Def feat. Slick Rick (2009)"
"1682403596-8122","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Kanye West","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"1682403596-8123","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Common","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"1682403596-8124","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Pusha T","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"1682403596-8125","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Big Sean","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"1682403596-8126","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Kid Cudi","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"1682403596-8127","https://www.whosampled.com/Doug-E.-Fresh/La-Di-Da-Di/sampled/","","Good Friday","Charlie Wilson","Hip-Hop / Rap / R&B","Vocals / Lyrics","by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
