Clique,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
Clique,Big Sean,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
Clique,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
3005,Childish Gambino,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Childish Gambino (2013)
"Live Fast, Die Young",Rick Ross,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rick Ross feat. Kanye West (2010)
"Live Fast, Die Young",Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rick Ross feat. Kanye West (2010)
Summertime,DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Drums,by DJ Jazzy Jeff & the Fresh Prince (1991)
Runaway (Video Version),Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. Pusha T (2010)
Runaway (Video Version),Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. Pusha T (2010)
Hip Hop Hooray,Naughty by Nature,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Naughty by Nature (1992)
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Pusha T and Kanye West (2012)
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Pusha T and Kanye West (2012)
Push the Feeling On,Nightcrawlers,Electronic / Dance,Drums,by Nightcrawlers (1992)
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ghostface Killah (2000)
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Drums,by Eric B. feat. Rakim (1986)
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Drums,by Eric B. feat. Rakim (1986)
The Fresh Prince of Bel-Air (Outro),DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Sound Effect / Other,by DJ Jazzy Jeff & the Fresh Prince (1992)
Sadeness,Enigma,Electronic / Dance,Drums,by Enigma (1990)
Fuck Tha Police,N.W.A,Hip-Hop / Rap / R&B,Drums,by N.W.A (1988)
Nicety,Michel'le,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Michel'le feat. Dr. Dre (1989)
Nicety,Dr. Dre,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Michel'le feat. Dr. Dre (1989)
We Get High,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic (2012)
Gotta Get Mine,MC Breed,Hip-Hop / Rap / R&B,Vocals / Lyrics,by MC Breed feat. 2Pac (1993)
Gotta Get Mine,2Pac,Hip-Hop / Rap / R&B,Vocals / Lyrics,by MC Breed feat. 2Pac (1993)
Clique,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
Clique,Big Sean,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
Clique,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Big Sean and Jay-Z (2012)"
3005,Childish Gambino,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Childish Gambino (2013)
"Live Fast, Die Young",Rick Ross,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rick Ross feat. Kanye West (2010)
"Live Fast, Die Young",Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rick Ross feat. Kanye West (2010)
Summertime,DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Drums,by DJ Jazzy Jeff & the Fresh Prince (1991)
Runaway (Video Version),Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. Pusha T (2010)
Runaway (Video Version),Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kanye West feat. Pusha T (2010)
Hip Hop Hooray,Naughty by Nature,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Naughty by Nature (1992)
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Pusha T and Kanye West (2012)
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Pusha T and Kanye West (2012)
Push the Feeling On,Nightcrawlers,Electronic / Dance,Drums,by Nightcrawlers (1992)
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ghostface Killah (2000)
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Drums,by Eric B. feat. Rakim (1986)
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Drums,by Eric B. feat. Rakim (1986)
The Fresh Prince of Bel-Air (Outro),DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Sound Effect / Other,by DJ Jazzy Jeff & the Fresh Prince (1992)
Sadeness,Enigma,Electronic / Dance,Drums,by Enigma (1990)
Fuck Tha Police,N.W.A,Hip-Hop / Rap / R&B,Drums,by N.W.A (1988)
Nicety,Michel'le,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Michel'le feat. Dr. Dre (1989)
Nicety,Dr. Dre,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Michel'le feat. Dr. Dre (1989)
We Get High,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic (2012)
Gotta Get Mine,MC Breed,Hip-Hop / Rap / R&B,Vocals / Lyrics,by MC Breed feat. 2Pac (1993)
Gotta Get Mine,2Pac,Hip-Hop / Rap / R&B,Vocals / Lyrics,by MC Breed feat. 2Pac (1993)
Get Off That (Poison),The Wades,Hip-Hop / Rap / R&B,Drums,by The Wades (1993)
Come Into My Love Life,Charlie Wilson,Hip-Hop / Rap / R&B,Drums,by Charlie Wilson (1992)
Prisoner,Blue (UK Duo),Electronic / Dance,Drums,by Blue (UK Duo) (1995)
Bring Dat Bote,Universal Motion Dancers,Soundtrack / Library,Drums,by Universal Motion Dancers and Claudine Barretto (1994)
Bring Dat Bote,Claudine Barretto,Soundtrack / Library,Drums,by Universal Motion Dancers and Claudine Barretto (1994)
Why (Extended),Jamtrx,Rock / Pop,Drums,by Jamtrx (1995)
Temptation Talk (Soft Landing on the Moon Version),Pizzicato Five,Rock / Pop,Drums,by Pizzicato Five (1990)
Tiki - Liki,Tapiri,Hip-Hop / Rap / R&B,Hook / Riff,by Tapiri (1993)
