Fools Gold,The Stone Roses,Rock / Pop,Drums,by The Stone Roses (1989)
Frozen,Madonna,Rock / Pop,Drums,by Madonna (1998)
Raw,Big Daddy Kane,Hip-Hop / Rap / R&B,Multiple Elements,by Big Daddy Kane (1987)
Wannabe,Spice Girls,Rock / Pop,Drums,by Spice Girls (1996)
Lane Boy,Twenty One Pilots,Rock / Pop,Drums,by Twenty One Pilots (2015)
Everybody Everybody,Black Box,Electronic / Dance,Drums,by Black Box feat. Martha Wash (1990)
Everybody Everybody,Martha Wash,Electronic / Dance,Drums,by Black Box feat. Martha Wash (1990)
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Drums,by M|A|R|R|S (1987)
What to Do,Thomas Bangalter,Electronic / Dance,Drums,by Thomas Bangalter (1995)
Good Vibrations,Marky Mark and the Funky Bunch,Hip-Hop / Rap / R&B,Drums,by Marky Mark and the Funky Bunch feat. Loleatta Holloway (1991)
Good Vibrations,Loleatta Holloway,Hip-Hop / Rap / R&B,Drums,by Marky Mark and the Funky Bunch feat. Loleatta Holloway (1991)
Halcyon,Orbital,Electronic / Dance,Drums,by Orbital (1992)
Charly (Alley Cat Mix),The Prodigy,Electronic / Dance,Drums,by The Prodigy (1991)
Sehnsucht,Rammstein,Rock / Pop,Drums,by Rammstein (1997)
PAPAT4 (Pineal Mix),Aphex Twin,Electronic / Dance,Drums,by Aphex Twin (2014)
Sweet Harmony,Liquid,Electronic / Dance,Drums,by Liquid (1992)
Radio Babylon,Meat Beat Manifesto,Electronic / Dance,Drums,by Meat Beat Manifesto (1990)
I'm Too Sexy,Right Said Fred,Rock / Pop,Drums,by Right Said Fred (1991)
Fools Gold,The Stone Roses,Rock / Pop,Drums,by The Stone Roses (1989)
Frozen,Madonna,Rock / Pop,Drums,by Madonna (1998)
Raw,Big Daddy Kane,Hip-Hop / Rap / R&B,Multiple Elements,by Big Daddy Kane (1987)
Wannabe,Spice Girls,Rock / Pop,Drums,by Spice Girls (1996)
Lane Boy,Twenty One Pilots,Rock / Pop,Drums,by Twenty One Pilots (2015)
Everybody Everybody,Black Box,Electronic / Dance,Drums,by Black Box feat. Martha Wash (1990)
Everybody Everybody,Martha Wash,Electronic / Dance,Drums,by Black Box feat. Martha Wash (1990)
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Drums,by M|A|R|R|S (1987)
What to Do,Thomas Bangalter,Electronic / Dance,Drums,by Thomas Bangalter (1995)
Good Vibrations,Marky Mark and the Funky Bunch,Hip-Hop / Rap / R&B,Drums,by Marky Mark and the Funky Bunch feat. Loleatta Holloway (1991)
Good Vibrations,Loleatta Holloway,Hip-Hop / Rap / R&B,Drums,by Marky Mark and the Funky Bunch feat. Loleatta Holloway (1991)
Halcyon,Orbital,Electronic / Dance,Drums,by Orbital (1992)
