Wet Dreamz,J. Cole,Hip-Hop / Rap / R&B,Drums,by J. Cole (2014)
Unbelievable,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Drums,by The Notorious B.I.G. (1994)
Top Billin',Audio Two,Hip-Hop / Rap / R&B,Drums,by Audio Two (1987)
The Message,Nas,Hip-Hop / Rap / R&B,Drums,by Nas (1996)
I Can,Nas,Hip-Hop / Rap / R&B,Drums,by Nas (2002)
I Get Around,2Pac,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
I Get Around,Shock G,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
I Get Around,Money-B,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
Ring Ring Ring (Ha Ha Hey),De La Soul,Hip-Hop / Rap / R&B,Drums,by De La Soul (1991)
Around the Way Girl,LL Cool J,Hip-Hop / Rap / R&B,Drums,by LL Cool J (1990)
The Chronic (Intro),Dr. Dre,Hip-Hop / Rap / R&B,Drums,by Dr. Dre feat. Snoop Dogg (1992)
The Chronic (Intro),Snoop Dogg,Hip-Hop / Rap / R&B,Drums,by Dr. Dre feat. Snoop Dogg (1992)
My House,Flo Rida,Hip-Hop / Rap / R&B,Drums,by Flo Rida (2015)
Rebirth of Slick (Cool Like Dat),Digable Planets,Hip-Hop / Rap / R&B,Drums,by Digable Planets (1992)
Jump,Kris Kross,Hip-Hop / Rap / R&B,Drums,by Kris Kross (1992)
That's the Way Love Goes,Janet Jackson,Hip-Hop / Rap / R&B,Drums,by Janet Jackson (1993)
The Bridge,MC Shan,Hip-Hop / Rap / R&B,Drums,by MC Shan (1986)
Fakin Jax,INI,Hip-Hop / Rap / R&B,Drums,by INI feat. Pete Rock (1996)
Fakin Jax,Pete Rock,Hip-Hop / Rap / R&B,Drums,by INI feat. Pete Rock (1996)
Pour Out a Little Liquor,Thug Life,Hip-Hop / Rap / R&B,Drums,by Thug Life (1994)
Wet Dreamz,J. Cole,Hip-Hop / Rap / R&B,Drums,by J. Cole (2014)
Unbelievable,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Drums,by The Notorious B.I.G. (1994)
Top Billin',Audio Two,Hip-Hop / Rap / R&B,Drums,by Audio Two (1987)
The Message,Nas,Hip-Hop / Rap / R&B,Drums,by Nas (1996)
I Can,Nas,Hip-Hop / Rap / R&B,Drums,by Nas (2002)
I Get Around,2Pac,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
I Get Around,Shock G,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
I Get Around,Money-B,Hip-Hop / Rap / R&B,Drums,by 2Pac feat. Shock G and Money-B (1993)
