The Story of O.J.,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z (2017)
Come Clean,Jeru the Damaja,Hip-Hop / Rap / R&B,Drums,by Jeru the Damaja (1993)
Owner of a Lonely Heart,Yes,Rock / Pop,Multiple Elements,by Yes (1983)
The New Style,Beastie Boys,Hip-Hop / Rap / R&B,Hook / Riff,by Beastie Boys (1986)
Beat Box,Art of Noise,Electronic / Dance,Multiple Elements,by Art of Noise (1983)
Growin' Up in the Hood,Compton's Most Wanted,Hip-Hop / Rap / R&B,Drums,by Compton's Most Wanted (1991)
Girl You Know It's True,Milli Vanilli,Rock / Pop,Sound Effect / Other,by Milli Vanilli (1988)
The Full Retard,El-P,Hip-Hop / Rap / R&B,Sound Effect / Other,by El-P (2012)
AJ Scratch,Kurtis Blow,Hip-Hop / Rap / R&B,Sound Effect / Other,by Kurtis Blow (1984)
Let's Talk About Sex,Salt-N-Pepa,Hip-Hop / Rap / R&B,Sound Effect / Other,by Salt-N-Pepa (1990)
Lick the Balls,Slick Rick,Hip-Hop / Rap / R&B,Sound Effect / Other,by Slick Rick (1988)
The Floor (Raw With Bass),Johnny Gill,Hip-Hop / Rap / R&B,Sound Effect / Other,by Johnny Gill (1993)
Deathwish I,Sid & B-Tonn,Hip-Hop / Rap / R&B,Sound Effect / Other,by Sid & B-Tonn (1990)
Welcome to the Terrordome,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1989)
Megablast,Public Enemy,Hip-Hop / Rap / R&B,Sound Effect / Other,by Public Enemy (1987)
Come See Me,112,Hip-Hop / Rap / R&B,Hook / Riff,by 112 feat. Mr. Cheeks (1996)
Come See Me,Mr. Cheeks,Hip-Hop / Rap / R&B,Hook / Riff,by 112 feat. Mr. Cheeks (1996)
The Story of O.J.,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z (2017)
Come Clean,Jeru the Damaja,Hip-Hop / Rap / R&B,Drums,by Jeru the Damaja (1993)
Owner of a Lonely Heart,Yes,Rock / Pop,Multiple Elements,by Yes (1983)
The New Style,Beastie Boys,Hip-Hop / Rap / R&B,Hook / Riff,by Beastie Boys (1986)
Beat Box,Art of Noise,Electronic / Dance,Multiple Elements,by Art of Noise (1983)
Growin' Up in the Hood,Compton's Most Wanted,Hip-Hop / Rap / R&B,Drums,by Compton's Most Wanted (1991)
Girl You Know It's True,Milli Vanilli,Rock / Pop,Sound Effect / Other,by Milli Vanilli (1988)
The Full Retard,El-P,Hip-Hop / Rap / R&B,Sound Effect / Other,by El-P (2012)
AJ Scratch,Kurtis Blow,Hip-Hop / Rap / R&B,Sound Effect / Other,by Kurtis Blow (1984)
Let's Talk About Sex,Salt-N-Pepa,Hip-Hop / Rap / R&B,Sound Effect / Other,by Salt-N-Pepa (1990)
Lick the Balls,Slick Rick,Hip-Hop / Rap / R&B,Sound Effect / Other,by Slick Rick (1988)
The Floor (Raw With Bass),Johnny Gill,Hip-Hop / Rap / R&B,Sound Effect / Other,by Johnny Gill (1993)
Deathwish I,Sid & B-Tonn,Hip-Hop / Rap / R&B,Sound Effect / Other,by Sid & B-Tonn (1990)
Welcome to the Terrordome,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1989)
Megablast,Public Enemy,Hip-Hop / Rap / R&B,Sound Effect / Other,by Public Enemy (1987)
Come See Me,112,Hip-Hop / Rap / R&B,Hook / Riff,by 112 feat. Mr. Cheeks (1996)
Come See Me,Mr. Cheeks,Hip-Hop / Rap / R&B,Hook / Riff,by 112 feat. Mr. Cheeks (1996)
Tryin' to Stop Ya,Taalam,Hip-Hop / Rap / R&B,Drums,by Taalam (1992)
Side A,Butchwax,Hip-Hop / Rap / R&B,Multiple Elements,by Butchwax (1999)
Words of an Attitude,Sons of Soul,Hip-Hop / Rap / R&B,Sound Effect / Other,by Sons of Soul (1991)
River Niger,Gappa G & Hyper Hypa,Electronic / Dance,Drums,by Gappa G & Hyper Hypa (1994)
The Barrington,Unknown Artist (Ruff Kut!),Electronic / Dance,Drums,by Unknown Artist (Ruff Kut!) (1992)
This Is How We Swing,Natives of the New World,Hip-Hop / Rap / R&B,Drums,by Natives of the New World (1992)
My Brother's Keeper,PMC (2),Hip-Hop / Rap / R&B,Hook / Riff,"by PMC (2) feat. Brown Bomber, Money Mogul and S.U.N. (1998)"
My Brother's Keeper,Brown Bomber,Hip-Hop / Rap / R&B,Hook / Riff,"by PMC (2) feat. Brown Bomber, Money Mogul and S.U.N. (1998)"
My Brother's Keeper,Money Mogul,Hip-Hop / Rap / R&B,Hook / Riff,"by PMC (2) feat. Brown Bomber, Money Mogul and S.U.N. (1998)"
My Brother's Keeper,S.U.N.,Hip-Hop / Rap / R&B,Hook / Riff,"by PMC (2) feat. Brown Bomber, Money Mogul and S.U.N. (1998)"
Hop Off the Bandwagon,Da Grip,Hip-Hop / Rap / R&B,Multiple Elements,by Da Grip (1993)
Stunning With a Mic,2 Shades of Black,Hip-Hop / Rap / R&B,Drums,by 2 Shades of Black (1993)
Course of Action,Scratch Perverts,Other,Multiple Elements,by Scratch Perverts (1998)
Running So Hard,Sophia,Electronic / Dance,Sound Effect / Other,by Sophia (1992)
