Hypnotize,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The Notorious B.I.G. (1997)
Party,Beyoncé,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beyoncé feat. André 3000 (2011)
Party,André 3000,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beyoncé feat. André 3000 (2011)
We Can't Stop,Miley Cyrus,Rock / Pop,Vocals / Lyrics,by Miley Cyrus (2013)
Auditorium,Mos Def,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mos Def feat. Slick Rick (2009)
Auditorium,Slick Rick,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mos Def feat. Slick Rick (2009)
Good Friday,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
Good Friday,Common,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
Good Friday,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
Good Friday,Big Sean,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
Good Friday,Kid Cudi,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
Good Friday,Charlie Wilson,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson (2010)"
"Hold It Now, Hit It",Beastie Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beastie Boys (1986)
We Like to Party!,Vengaboys,Electronic / Dance,Vocals / Lyrics,by Vengaboys (1998)
O.P.P.,Naughty by Nature,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Naughty by Nature (1991)
I Wanna Sex You Up,Color Me Badd,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Color Me Badd (1991)
Here Comes the Hotstepper,Ini Kamoze,Reggae / Dub,Vocals / Lyrics,by Ini Kamoze (1994)
Millionaire,Kelis,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kelis feat. André 3000 (2004)
Millionaire,André 3000,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kelis feat. André 3000 (2004)
Showtime,Spit Syndicate,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Spit Syndicate feat. Solo (2010)
Showtime,Solo,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Spit Syndicate feat. Solo (2010)
Fried Noodles,Pink Guy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Pink Guy (2016)
Rock DJ,Robbie Williams,Rock / Pop,Vocals / Lyrics,by Robbie Williams (2000)
Runaway Love,Ludacris,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ludacris feat. Mary J. Blige (2006)
Runaway Love,Mary J. Blige,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ludacris feat. Mary J. Blige (2006)
Discombobulated,Eminem,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eminem (2020)
Hypnotize,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The Notorious B.I.G. (1997)
Party,Beyoncé,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beyoncé feat. André 3000 (2011)
Party,André 3000,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beyoncé feat. André 3000 (2011)
We Can't Stop,Miley Cyrus,Rock / Pop,Vocals / Lyrics,by Miley Cyrus (2013)
Auditorium,Mos Def,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Mos Def feat. Slick Rick (2009)
