Deep Cover,Dr. Dre,Hip-Hop / Rap / R&B,Drums,by Dr. Dre and Snoop Dogg (1992)
Deep Cover,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,by Dr. Dre and Snoop Dogg (1992)
Temptations,2Pac,Hip-Hop / Rap / R&B,Drums,by 2Pac (1995)
Sound of Da Police,KRS-One,Hip-Hop / Rap / R&B,Drums,by KRS-One (1993)
The Humpty Dance,Digital Underground,Hip-Hop / Rap / R&B,Drums,by Digital Underground (1989)
Eazy-Duz-It,Eazy-E,Hip-Hop / Rap / R&B,Hook / Riff,by Eazy-E (1988)
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Public Enemy (1989)
Eye Know,De La Soul,Hip-Hop / Rap / R&B,Drums,by De La Soul (1989)
Mr. Wendal,Arrested Development,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Arrested Development (1992)
They Don't Care About Us (Dallas Austin Main Mix),Michael Jackson,Hip-Hop / Rap / R&B,Hook / Riff,by Michael Jackson (1996)
Freak Like Me,Adina Howard,Hip-Hop / Rap / R&B,Drums,by Adina Howard (1995)
Getto Jam,Domino,Hip-Hop / Rap / R&B,Multiple Elements,by Domino (1993)
Jazz (We've Got) (Re-Recording),A Tribe Called Quest,Hip-Hop / Rap / R&B,Hook / Riff,by A Tribe Called Quest (1991)
Can't Truss It,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1991)
Thank U,Alanis Morissette,Rock / Pop,Drums,by Alanis Morissette (1998)
I'm That Type of Nigga,The Pharcyde,Hip-Hop / Rap / R&B,Drums,by The Pharcyde (1992)
Hey Hey Hey Heyyyy,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,by J Dilla (2005)
Deep Cover,Dr. Dre,Hip-Hop / Rap / R&B,Drums,by Dr. Dre and Snoop Dogg (1992)
Deep Cover,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,by Dr. Dre and Snoop Dogg (1992)
Temptations,2Pac,Hip-Hop / Rap / R&B,Drums,by 2Pac (1995)
Sound of Da Police,KRS-One,Hip-Hop / Rap / R&B,Drums,by KRS-One (1993)
The Humpty Dance,Digital Underground,Hip-Hop / Rap / R&B,Drums,by Digital Underground (1989)
Eazy-Duz-It,Eazy-E,Hip-Hop / Rap / R&B,Hook / Riff,by Eazy-E (1988)
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Public Enemy (1989)
Eye Know,De La Soul,Hip-Hop / Rap / R&B,Drums,by De La Soul (1989)
Mr. Wendal,Arrested Development,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Arrested Development (1992)
They Don't Care About Us (Dallas Austin Main Mix),Michael Jackson,Hip-Hop / Rap / R&B,Hook / Riff,by Michael Jackson (1996)
Freak Like Me,Adina Howard,Hip-Hop / Rap / R&B,Drums,by Adina Howard (1995)
Getto Jam,Domino,Hip-Hop / Rap / R&B,Multiple Elements,by Domino (1993)
Jazz (We've Got) (Re-Recording),A Tribe Called Quest,Hip-Hop / Rap / R&B,Hook / Riff,by A Tribe Called Quest (1991)
Can't Truss It,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1991)
Thank U,Alanis Morissette,Rock / Pop,Drums,by Alanis Morissette (1998)
I'm That Type of Nigga,The Pharcyde,Hip-Hop / Rap / R&B,Drums,by The Pharcyde (1992)
Hey Hey Hey Heyyyy,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,by J Dilla (2005)
School Days,Cuties in Affect,Hip-Hop / Rap / R&B,Drums,by Cuties in Affect (1993)
You a Bad Boy,Junior Demus,Reggae / Dub,Drums,by Junior Demus (1993)
I'm Not Candy,TY Wizah,Hip-Hop / Rap / R&B,Multiple Elements,by TY Wizah (1993)
Jõulud,Cool D,Hip-Hop / Rap / R&B,Drums,by Cool D (1995)
Jibberish,Bama & the Family,World / Latin,Vocals / Lyrics,by Bama & the Family (2009)
America's Living in a War Zone,Gamilah Shabazz,Hip-Hop / Rap / R&B,Drums,by Gamilah Shabazz (1992)
Tudo Azul,Lino Krizz,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Lino Krizz (2009)
Children of Night,Perry Farrell,Rock / Pop,Drums,by Perry Farrell and Exene (2000)
Children of Night,Exene,Rock / Pop,Drums,by Perry Farrell and Exene (2000)
Bop Scuchie,Reverend Baddo,Reggae / Dub,Drums,by Reverend Baddo (1993)
Let It Smoke (Remix),J-Bad,Hip-Hop / Rap / R&B,Drums,by J-Bad (1993)
F*ck W*rk,Undaworld,Hip-Hop / Rap / R&B,Drums,by Undaworld (1993)
Gotta Love a Playa Mass Ave Mix),Fly Chase,Hip-Hop / Rap / R&B,Drums,by Fly Chase (1996)
Mulah $$$,Da Rezawrektaz!,Hip-Hop / Rap / R&B,Drums,by Da Rezawrektaz! (1995)
Hoods From Tha Woods,Northern Exposure,Hip-Hop / Rap / R&B,Drums,by Northern Exposure (1994)
Splittin Wigz,Madd Syco,Hip-Hop / Rap / R&B,Drums,by Madd Syco (1995)
Lil Dude's Addicted,Lil' Dude and NTD,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Lil' Dude and NTD (1992)
Illegal Activity,B-Chill,Hip-Hop / Rap / R&B,Hook / Riff,by B-Chill (1991)
Various Muthafuckas,J-Bad,Hip-Hop / Rap / R&B,Multiple Elements,by J-Bad (1993)
Maak Je Dromen Waar,Osdorp Posse,Hip-Hop / Rap / R&B,Drums,by Osdorp Posse (2003)
Act Like You Know,Flavor Rap Productions,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Act Like You Know,MC Rome,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Act Like You Know,Jocko,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Grill Session,Moving Target,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Moving Target (1992)
Dry Spell,Al Dirty,Hip-Hop / Rap / R&B,Hook / Riff,by Al Dirty (2005)
Let It Smoke,J-Bad,Hip-Hop / Rap / R&B,Vocals / Lyrics,by J-Bad (1993)
Surnuna Sündinud,Cool D,Hip-Hop / Rap / R&B,Multiple Elements,by Cool D (1995)
LA A.K.A Vietnam,Prophesy,Hip-Hop / Rap / R&B,Multiple Elements,by Prophesy and Flow-Etic (1992)
LA A.K.A Vietnam,Flow-Etic,Hip-Hop / Rap / R&B,Multiple Elements,by Prophesy and Flow-Etic (1992)
Too Many Girls,Billy Dee M.C.,Hip-Hop / Rap / R&B,Multiple Elements,by Billy Dee M.C. (1989)
Cause Your Rhymes Don't Flow and Your Beats Don't Pump,Kinderzimmer Productions,Hip-Hop / Rap / R&B,Hook / Riff,by Kinderzimmer Productions (1996)
Rebel in You,The Brother/hood Nation,Hip-Hop / Rap / R&B,Drums,by The Brother/hood Nation (1992)
Living on a Lie,Tribal Ink,Rock / Pop,Drums,by Tribal Ink (2003)
In the Place to Be,Rasan,Hip-Hop / Rap / R&B,Drums,by Rasan (1992)
Undaworld,Unda World,Hip-Hop / Rap / R&B,Drums,by Unda World (1993)
Red Wagon (Street Mix),Poison Ladd S.L.R.,Hip-Hop / Rap / R&B,Multiple Elements,by Poison Ladd S.L.R. (2010)
How Much Ghetto Can You Take,Too Much Trouble,Hip-Hop / Rap / R&B,Multiple Elements,by Too Much Trouble (1993)
Stompin' Committee,Ali Dee,Hip-Hop / Rap / R&B,Drums,by Ali Dee (1993)
Blow Out Da Flame,Supa Hoe,Hip-Hop / Rap / R&B,Hook / Riff,by Supa Hoe (1995)
Raised Like a Pitbull,AW1,Hip-Hop / Rap / R&B,Multiple Elements,by AW1 (1991)
One 2 Da Bootlegga,Da Hoodzmen,Hip-Hop / Rap / R&B,Multiple Elements,by Da Hoodzmen (1993)
Skinz Ain't What They Used to Be,Devious (9),Hip-Hop / Rap / R&B,Drums,by Devious (9) (1993)
Blackout,Villain,Hip-Hop / Rap / R&B,Drums,by Villain (1994)
Silent Rage (Remix),Ill State Assassins,Hip-Hop / Rap / R&B,Multiple Elements,by Ill State Assassins (1993)
I Wonna Hit the Joint,N.O.T.S.,Hip-Hop / Rap / R&B,Drums,by N.O.T.S. (1994)
You Fucked Up When You Slammed My Motha,The Click,Hip-Hop / Rap / R&B,Multiple Elements,by The Click (1993)
Warpath,Courageous Chief,Hip-Hop / Rap / R&B,Hook / Riff,by Courageous Chief (1991)
Can't Take No More,Jam & DKC,Hip-Hop / Rap / R&B,Drums,by Jam & DKC (1996)
Undaworld,Undaworld,Hip-Hop / Rap / R&B,Drums,by Undaworld (1993)
In the Box (Front Stop Mix),Pure Sinister,Hip-Hop / Rap / R&B,Hook / Riff,by Pure Sinister (1992)
Lyve!!!,Mixmaster D,Hip-Hop / Rap / R&B,Drums,by Mixmaster D feat. Flipsyde (2) (1993)
Lyve!!!,Flipsyde (2),Hip-Hop / Rap / R&B,Drums,by Mixmaster D feat. Flipsyde (2) (1993)
Chumps in a Slump,Illa-Dapted,Hip-Hop / Rap / R&B,Drums,by Illa-Dapted (1994)
Advertisement,King Tee,Hip-Hop / Rap / R&B,Drums,by King Tee (1994)
Don't Try to Step to This,Brothers in Charge,Hip-Hop / Rap / R&B,Multiple Elements,by Brothers in Charge (1993)
Take Care Ya Bizness (Remix),Lez Moné,Hip-Hop / Rap / R&B,Drums,by Lez Moné (1994)
