Bring Da Ruckus,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,by Wu-Tang Clan (1993)
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Drums,by Pusha T and Kanye West (2012)
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Drums,by Pusha T and Kanye West (2012)
O.P.P.,Naughty by Nature,Hip-Hop / Rap / R&B,Drums,by Naughty by Nature (1991)
Ego Trippin',Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,by Ultramagnetic MC's (1986)
Don't Believe the Hype,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1988)
You Be Killin' 'Em,Fabolous,Hip-Hop / Rap / R&B,Multiple Elements,by Fabolous (2010)
DWYCK,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr feat. Nice & Smooth (1992)
DWYCK,Nice & Smooth,Hip-Hop / Rap / R&B,Drums,by Gang Starr feat. Nice & Smooth (1992)
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Drums,by Ghostface Killah (2000)
My Life,50 Cent,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
My Life,Eminem,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
My Life,Adam Levine,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
Code of the Streets,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr (1994)
The Champ (Original Version),Ghostface Killah,Hip-Hop / Rap / R&B,Drums,by Ghostface Killah (2006)
Black Balloons Reprise,Flying Lotus,Hip-Hop / Rap / R&B,Drums,by Flying Lotus feat. Denzel Curry (2019)
Black Balloons Reprise,Denzel Curry,Hip-Hop / Rap / R&B,Drums,by Flying Lotus feat. Denzel Curry (2019)
Knock the Hustle,Cozz,Hip-Hop / Rap / R&B,Drums,by Cozz (2014)
All I Need,Method Man,Hip-Hop / Rap / R&B,Drums,by Method Man feat. Streetlife (1994)
All I Need,Streetlife,Hip-Hop / Rap / R&B,Drums,by Method Man feat. Streetlife (1994)
Delinquents Never Pray (Amen 2),DJ Delinquent,Hip-Hop / Rap / R&B,Drums,by DJ Delinquent (2009)
Clan in Da Front,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,by Wu-Tang Clan (1993)
Bring Da Ruckus,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,by Wu-Tang Clan (1993)
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Drums,by Pusha T and Kanye West (2012)
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Drums,by Pusha T and Kanye West (2012)
O.P.P.,Naughty by Nature,Hip-Hop / Rap / R&B,Drums,by Naughty by Nature (1991)
Ego Trippin',Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,by Ultramagnetic MC's (1986)
Don't Believe the Hype,Public Enemy,Hip-Hop / Rap / R&B,Drums,by Public Enemy (1988)
You Be Killin' 'Em,Fabolous,Hip-Hop / Rap / R&B,Multiple Elements,by Fabolous (2010)
DWYCK,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr feat. Nice & Smooth (1992)
DWYCK,Nice & Smooth,Hip-Hop / Rap / R&B,Drums,by Gang Starr feat. Nice & Smooth (1992)
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Drums,by Ghostface Killah (2000)
My Life,50 Cent,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
My Life,Eminem,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
My Life,Adam Levine,Hip-Hop / Rap / R&B,Drums,by 50 Cent feat. Eminem and Adam Levine (2012)
Code of the Streets,Gang Starr,Hip-Hop / Rap / R&B,Drums,by Gang Starr (1994)
The Champ (Original Version),Ghostface Killah,Hip-Hop / Rap / R&B,Drums,by Ghostface Killah (2006)
Black Balloons Reprise,Flying Lotus,Hip-Hop / Rap / R&B,Drums,by Flying Lotus feat. Denzel Curry (2019)
Black Balloons Reprise,Denzel Curry,Hip-Hop / Rap / R&B,Drums,by Flying Lotus feat. Denzel Curry (2019)
Knock the Hustle,Cozz,Hip-Hop / Rap / R&B,Drums,by Cozz (2014)
All I Need,Method Man,Hip-Hop / Rap / R&B,Drums,by Method Man feat. Streetlife (1994)
All I Need,Streetlife,Hip-Hop / Rap / R&B,Drums,by Method Man feat. Streetlife (1994)
Delinquents Never Pray (Amen 2),DJ Delinquent,Hip-Hop / Rap / R&B,Drums,by DJ Delinquent (2009)
Clan in Da Front,Wu-Tang Clan,Hip-Hop / Rap / R&B,Drums,by Wu-Tang Clan (1993)
Ear Damage,DJ Delinquent,Hip-Hop / Rap / R&B,Drums,by DJ Delinquent (2010)
All Gone,Fraughman,Electronic / Dance,Drums,by Fraughman (2000)
What They All Say,Kyo Itachi,Hip-Hop / Rap / R&B,Drums,by Kyo Itachi feat. Krondon (2018)
What They All Say,Krondon,Hip-Hop / Rap / R&B,Drums,by Kyo Itachi feat. Krondon (2018)
J.B.'s Revenge,Joe Blakk,Hip-Hop / Rap / R&B,Drums,by Joe Blakk (1994)
Various Muthafuckas,J-Bad,Hip-Hop / Rap / R&B,Drums,by J-Bad (1993)
Step in the Wrong Direction (Remix),NoDōz,Hip-Hop / Rap / R&B,Drums,by NoDōz (2013)
The Agenda,Long Ova Due,Hip-Hop / Rap / R&B,Drums,by Long Ova Due (1993)
BOT,Chuck D,Hip-Hop / Rap / R&B,Drums,by Chuck D and Jahi (2018)
BOT,Jahi,Hip-Hop / Rap / R&B,Drums,by Chuck D and Jahi (2018)
Turn It Out,RM,Hip-Hop / Rap / R&B,Drums,by RM (1993)
Mehr Schein Als Sein,Fettes Brot,Spoken Word,Drums,by Fettes Brot (1998)
Kompass,Arturs Skutelis,Hip-Hop / Rap / R&B,Multiple Elements,by Arturs Skutelis (2011)
Wizard of Large,Derrick Dee,Hip-Hop / Rap / R&B,Drums,by Derrick Dee (1995)
Following Me,Wolverine,Hip-Hop / Rap / R&B,Drums,by Wolverine (2007)
Pimpin 101,Kilo,Hip-Hop / Rap / R&B,Drums,by Kilo (1993)
Heartcore,Too Strong,Hip-Hop / Rap / R&B,Drums,by Too Strong (2009)
De La Costa Al Valle,Perros Callejeros,Hip-Hop / Rap / R&B,Drums,by Perros Callejeros (2005)
Step in the Wrong Direction (Hypnotic),NoDōz,Hip-Hop / Rap / R&B,Drums,by NoDōz (1992)
6:AM,Brain Damage,Hip-Hop / Rap / R&B,Drums,by Brain Damage (1990)
I Don't Belong,Fraughman,Electronic / Dance,Drums,by Fraughman (2003)
Let It Smoke,J-Bad,Hip-Hop / Rap / R&B,Drums,by J-Bad (1993)
1200 Technics,P Dap,Hip-Hop / Rap / R&B,Drums,by P Dap (1997)
Da' Clipz Go On,Ruff Draf,Hip-Hop / Rap / R&B,Drums,by Ruff Draf (1994)
Do or Die,Gee Rock & Tha C.N.D. Coalition,Hip-Hop / Rap / R&B,Drums,by Gee Rock & Tha C.N.D. Coalition (1993)
King of Tomorrow,Doddodo,Hip-Hop / Rap / R&B,Hook / Riff,by Doddodo (2006)
I'm the Man,Cooly Live,Hip-Hop / Rap / R&B,Drums,by Cooly Live (1992)
Going Badd Fast,Jazzie Redd,Hip-Hop / Rap / R&B,Drums,by Jazzie Redd (1995)
Shortkut to Disk,Invisibl Skratch Piklz,Hip-Hop / Rap / R&B,Multiple Elements,by Invisibl Skratch Piklz (2000)
I Gotz Da Phunk,M.C. Gee Wiz,Hip-Hop / Rap / R&B,Drums,by M.C. Gee Wiz (1996)
2 Philadelphie a Paris,Emmigrands,Hip-Hop / Rap / R&B,Drums,by Emmigrands (1996)
Har Gunga (Underground Mix),Achanak,Hip-Hop / Rap / R&B,Drums,by Achanak feat. Double Impact (British Rapper) (1992)
Har Gunga (Underground Mix),Double Impact (British Rapper),Hip-Hop / Rap / R&B,Drums,by Achanak feat. Double Impact (British Rapper) (1992)
Runnin Amok,Def Wish Cast,Hip-Hop / Rap / R&B,Drums,by Def Wish Cast (1993)
U an I U.N.I.T.E.,A.D.,Hip-Hop / Rap / R&B,Drums,by A.D. (1995)
"No Future Ring, No Future Wife",E-Play Smooth,Hip-Hop / Rap / R&B,Drums,by E-Play Smooth (1993)
Gangsta Rave Girl,DJ Delinquent,Hip-Hop / Rap / R&B,Drums,by DJ Delinquent (2009)
Not Emcee'n,Dooley-O,Hip-Hop / Rap / R&B,Drums,by Dooley-O and Lic Shot (2006)
Not Emcee'n,Lic Shot,Hip-Hop / Rap / R&B,Drums,by Dooley-O and Lic Shot (2006)
Unration-AL,Art of Origin,Hip-Hop / Rap / R&B,Drums,by Art of Origin (1993)
Down With Reality,Zig Zag,Hip-Hop / Rap / R&B,Drums,by Zig Zag (1994)
Ombre,Sunshine,Hip-Hop / Rap / R&B,Drums,by Sunshine (1996)
On & On,Yall So Stupid,Hip-Hop / Rap / R&B,Drums,by Yall So Stupid (1993)
No More Games,Kid Power Posse,Hip-Hop / Rap / R&B,Drums,by Kid Power Posse (1993)
Love Me Right,Blu Cab,Hip-Hop / Rap / R&B,Drums,by Blu Cab (1996)
Daddy's Comin Home Wit Da Loot,B.F.T.B.,Hip-Hop / Rap / R&B,Drums,by B.F.T.B. (1993)
Northside,Ruffnexet,Hip-Hop / Rap / R&B,Drums,by Ruffnexet (1994)
Da Shoota,Tabb Doe,Hip-Hop / Rap / R&B,Multiple Elements,by Tabb Doe (1995)
Klutch Da Nutz,E-Play Smooth,Hip-Hop / Rap / R&B,Drums,by E-Play Smooth (1993)
Go Off,M. Doc,Hip-Hop / Rap / R&B,Drums,by M. Doc (1991)
Wegotrippin,Silent Majority (2),Hip-Hop / Rap / R&B,Drums,by Silent Majority (2) (1994)
Da Boom,Parental Advisory,Hip-Hop / Rap / R&B,Drums,by Parental Advisory (1993)
The Breaks,Ripp,Hip-Hop / Rap / R&B,Drums,by Ripp (2015)
Take Your Time,RM,Hip-Hop / Rap / R&B,Drums,by RM (1993)
Rebel-Arte,JHT,Hip-Hop / Rap / R&B,Drums,by JHT (2006)
Knock It Off (Extended Mix),Ace Dog,Hip-Hop / Rap / R&B,Drums,by Ace Dog (1994)
Die Dunkelsequenz,WestBam,Electronic / Dance,Drums,by WestBam (1997)
Somethin' to Drink a 40-2,E-Play Smooth,Hip-Hop / Rap / R&B,Drums,by E-Play Smooth (1992)
No Peace,Natives in Black,Hip-Hop / Rap / R&B,Drums,by Natives in Black (1994)
Side A,Butchwax,Hip-Hop / Rap / R&B,Sound Effect / Other,by Butchwax (1999)
Put Our Thing Down,Rhythm Radicals,Hip-Hop / Rap / R&B,Drums,by Rhythm Radicals (1992)
Do It Att Will,Att Will,Hip-Hop / Rap / R&B,Drums,by Att Will (1993)
"The Ox Tail, the Burger & Chic",Resident Alien,Hip-Hop / Rap / R&B,Drums,by Resident Alien (1991)
Dring Dring Quoi?,Sens Unik,Hip-Hop / Rap / R&B,Drums,by Sens Unik (1992)
Energy,Syco,Hip-Hop / Rap / R&B,Drums,by Syco (1993)
Those Hoes Don't Know We the Brothers (Pay Mix),Brothers 4 the Struggle,Hip-Hop / Rap / R&B,Drums,by Brothers 4 the Struggle (1994)
Rez-n-8,8-Bza,Hip-Hop / Rap / R&B,Drums,by 8-Bza feat. Ink Rezin and DJ Bob E (2013)
Rez-n-8,Ink Rezin,Hip-Hop / Rap / R&B,Drums,by 8-Bza feat. Ink Rezin and DJ Bob E (2013)
Rez-n-8,DJ Bob E,Hip-Hop / Rap / R&B,Drums,by 8-Bza feat. Ink Rezin and DJ Bob E (2013)
Dirty Money,Life Afta Death,Hip-Hop / Rap / R&B,Drums,by Life Afta Death (1993)
Marga Breaks a Leg,Katch 22,Hip-Hop / Rap / R&B,Drums,by Katch 22 (1993)
On the Real Tip,Hansom Harm,Hip-Hop / Rap / R&B,Multiple Elements,by Hansom Harm (1993)
County Blues (Rikers Mix),Jewel-T,Hip-Hop / Rap / R&B,Drums,by Jewel-T (1992)
Ease Back,Rumble Town,Hip-Hop / Rap / R&B,Drums,"by Rumble Town, Black Anthem and Thorobredz (1993)"
Ease Back,Black Anthem,Hip-Hop / Rap / R&B,Drums,"by Rumble Town, Black Anthem and Thorobredz (1993)"
Ease Back,Thorobredz,Hip-Hop / Rap / R&B,Drums,"by Rumble Town, Black Anthem and Thorobredz (1993)"
Rock Dis Land,The Maniac,Hip-Hop / Rap / R&B,Drums,by The Maniac (1991)
Collette Da Pet,Brothers Uv Da Blakmarket,Hip-Hop / Rap / R&B,Drums,by Brothers Uv Da Blakmarket (1992)
You Got Me Cryin',The Boys,Hip-Hop / Rap / R&B,Drums,by The Boys (1992)
Madd Skills & Unpaid Bills,Northern Exposure,Hip-Hop / Rap / R&B,Drums,by Northern Exposure (1994)
Hard (Short),Wreckx-N-Effect,Hip-Hop / Rap / R&B,Drums,by Wreckx-N-Effect (1992)
Who Freaked Who,Apache,Hip-Hop / Rap / R&B,Drums,by Apache feat. Nikki D (1993)
Who Freaked Who,Nikki D,Hip-Hop / Rap / R&B,Drums,by Apache feat. Nikki D (1993)
Don't Smile at Me,Ruff & Rugged,Hip-Hop / Rap / R&B,Drums,by Ruff & Rugged (1992)
Kremenko,Sunshine,Hip-Hop / Rap / R&B,Drums,by Sunshine (1996)
Give the People,MC Freeze,Hip-Hop / Rap / R&B,Drums,by MC Freeze (1992)
Can You Kick the Flavor,Flavor Rap Productions,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Can You Kick the Flavor,MC Rome,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Can You Kick the Flavor,Jocko,Hip-Hop / Rap / R&B,Multiple Elements,"by Flavor Rap Productions, MC Rome and Jocko (1992)"
Niggaz Come Alive for 95' (It's On),Militant Mind State,Hip-Hop / Rap / R&B,Drums,by Militant Mind State (1995)
Flex the Flavour,Flexforce,Hip-Hop / Rap / R&B,Drums,by Flexforce (1993)
...From the Crypt,DJ Sensei,Electronic / Dance,Drums,by DJ Sensei (1996)
Bloody Fetus,The K-Otic Family,Hip-Hop / Rap / R&B,Drums,by The K-Otic Family (1995)
Mr. Trick Daddy,Lyric Lords,Hip-Hop / Rap / R&B,Drums,by Lyric Lords (1993)
Deaf,Liberal Shimmering,Hip-Hop / Rap / R&B,Drums,by Liberal Shimmering (2016)
