Peter Piper,Run-DMC,Hip-Hop / Rap / R&B,Multiple Elements,by Run-DMC (1986)
Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,by N.W.A (1988)
Max B,A$AP Rocky,Hip-Hop / Rap / R&B,Drums,by A$AP Rocky feat. Joe Fox (2015)
Max B,Joe Fox,Hip-Hop / Rap / R&B,Drums,by A$AP Rocky feat. Joe Fox (2015)
"Hold It Now, Hit It",Beastie Boys,Hip-Hop / Rap / R&B,Drums,by Beastie Boys (1986)
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Hook / Riff,by P.M. Dawn (1991)
A Day Wit the Homiez,1st Down,Hip-Hop / Rap / R&B,Multiple Elements,by 1st Down (1995)
The Things That You Do (Bad Boy Remix),Gina Thompson,Hip-Hop / Rap / R&B,Drums,by Gina Thompson feat. Missy Elliott (1996)
The Things That You Do (Bad Boy Remix),Missy Elliott,Hip-Hop / Rap / R&B,Drums,by Gina Thompson feat. Missy Elliott (1996)
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Hook / Riff,by Mantronix (1988)
Dig a Hole,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z feat. Sterling Simms (2008)
Dig a Hole,Sterling Simms,Hip-Hop / Rap / R&B,Drums,by Jay-Z feat. Sterling Simms (2008)
Flowers,Ghostface Killah,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Method Man,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Superb,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
I Smile,Kirk Franklin,Gospel,Drums,by Kirk Franklin (2011)
Dig Your Own Hole,The Chemical Brothers,Electronic / Dance,Drums,by The Chemical Brothers (1997)
Rock the Bells,Boys Noize,Electronic / Dance,Drums,by Boys Noize (2016)
Step in the Name of Love (Remix),R. Kelly,Hip-Hop / Rap / R&B,Drums,by R. Kelly (2003)
Nuttin' but Love,Heavy D & the Boyz,Hip-Hop / Rap / R&B,Drums,by Heavy D & the Boyz (1994)
When Will They Shoot?,Ice Cube,Hip-Hop / Rap / R&B,Hook / Riff,by Ice Cube (1992)
Peter Piper,Run-DMC,Hip-Hop / Rap / R&B,Multiple Elements,by Run-DMC (1986)
Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,by N.W.A (1988)
Max B,A$AP Rocky,Hip-Hop / Rap / R&B,Drums,by A$AP Rocky feat. Joe Fox (2015)
Max B,Joe Fox,Hip-Hop / Rap / R&B,Drums,by A$AP Rocky feat. Joe Fox (2015)
"Hold It Now, Hit It",Beastie Boys,Hip-Hop / Rap / R&B,Drums,by Beastie Boys (1986)
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Hook / Riff,by P.M. Dawn (1991)
A Day Wit the Homiez,1st Down,Hip-Hop / Rap / R&B,Multiple Elements,by 1st Down (1995)
The Things That You Do (Bad Boy Remix),Gina Thompson,Hip-Hop / Rap / R&B,Drums,by Gina Thompson feat. Missy Elliott (1996)
The Things That You Do (Bad Boy Remix),Missy Elliott,Hip-Hop / Rap / R&B,Drums,by Gina Thompson feat. Missy Elliott (1996)
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Hook / Riff,by Mantronix (1988)
Dig a Hole,Jay-Z,Hip-Hop / Rap / R&B,Drums,by Jay-Z feat. Sterling Simms (2008)
Dig a Hole,Sterling Simms,Hip-Hop / Rap / R&B,Drums,by Jay-Z feat. Sterling Simms (2008)
Flowers,Ghostface Killah,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Method Man,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
Flowers,Superb,Hip-Hop / Rap / R&B,Multiple Elements,"by Ghostface Killah feat. Raekwon, Method Man and Superb (2001)"
I Smile,Kirk Franklin,Gospel,Drums,by Kirk Franklin (2011)
Dig Your Own Hole,The Chemical Brothers,Electronic / Dance,Drums,by The Chemical Brothers (1997)
Rock the Bells,Boys Noize,Electronic / Dance,Drums,by Boys Noize (2016)
Step in the Name of Love (Remix),R. Kelly,Hip-Hop / Rap / R&B,Drums,by R. Kelly (2003)
Nuttin' but Love,Heavy D & the Boyz,Hip-Hop / Rap / R&B,Drums,by Heavy D & the Boyz (1994)
When Will They Shoot?,Ice Cube,Hip-Hop / Rap / R&B,Hook / Riff,by Ice Cube (1992)
Got Away Smooth,TRE-8,Hip-Hop / Rap / R&B,Drums,by TRE-8 (1995)
Corncob Pipe,Birth Through Knowledge,Rock / Pop,Hook / Riff,by Birth Through Knowledge (1998)
Don King,Crimeside,Hip-Hop / Rap / R&B,Sound Effect / Other,by Crimeside (2000)
Side A,Butchwax,Hip-Hop / Rap / R&B,Drums,by Butchwax (1999)
Clean It Up,Letaz of Def,Hip-Hop / Rap / R&B,Drums,by Letaz of Def (1992)
Dick Got Sic,1-5ive Posse,Hip-Hop / Rap / R&B,Sound Effect / Other,by 1-5ive Posse (1992)
No Bizness in Show Bizness,Juice With Soul,Hip-Hop / Rap / R&B,Multiple Elements,by Juice With Soul (1993)
Back to the Old School,DJ Stylewarz,Hip-Hop / Rap / R&B,Multiple Elements,by DJ Stylewarz (1993)
Grab Da Mike,Total Effect,Hip-Hop / Rap / R&B,Drums,by Total Effect (1992)
Make It Sound Like This,Simply Mac-N,Hip-Hop / Rap / R&B,Hook / Riff,by Simply Mac-N (1993)
Apartheid,DJ Defi J,Hip-Hop / Rap / R&B,Multiple Elements,by DJ Defi J (1990)
Free Flow,Just-Ice,Hip-Hop / Rap / R&B,Drums,by Just-Ice (1998)
1980-Who?,Dirty Water,Hip-Hop / Rap / R&B,Multiple Elements,by Dirty Water (2012)
I Rock Well,Lorrie Van Putten,Hip-Hop / Rap / R&B,Drums,by Lorrie Van Putten (1988)
Hunchback of Bedroom Desk,Sgt. Talby,Electronic / Dance,Drums,by Sgt. Talby (2022)
Let the Steel Wheels Roll,The Boys From the Bottom,Hip-Hop / Rap / R&B,Hook / Riff,by The Boys From the Bottom (1992)
On a Mission,MC Renegade,Hip-Hop / Rap / R&B,Hook / Riff,by MC Renegade (1989)
Ya Me Quieren Apagar,Mister Biggie,Other,Multiple Elements,by Mister Biggie (1996)
U Gettin' Ill Too Much,MC Twist & the Def Squad,Hip-Hop / Rap / R&B,Multiple Elements,by MC Twist & the Def Squad (1989)
Tumalon at Sumayaw,Mastaplann,Hip-Hop / Rap / R&B,Drums,by Mastaplann (1993)
Kinda Funky,Poetic Menace,Hip-Hop / Rap / R&B,Multiple Elements,by Poetic Menace (1992)
Situation Critical,Jus Def,Hip-Hop / Rap / R&B,Hook / Riff,"by Jus Def, X-Town Posse and The Original X (1990)"
Situation Critical,X-Town Posse,Hip-Hop / Rap / R&B,Hook / Riff,"by Jus Def, X-Town Posse and The Original X (1990)"
Situation Critical,The Original X,Hip-Hop / Rap / R&B,Hook / Riff,"by Jus Def, X-Town Posse and The Original X (1990)"
I Want Action,Kam (80's Rapper),Hip-Hop / Rap / R&B,Drums,by Kam (80's Rapper) (1988)
Back in the Days,DJ Laz,Hip-Hop / Rap / R&B,Hook / Riff,by DJ Laz (1991)
Never Go to Death,LSD (German Hip-Hop),Hip-Hop / Rap / R&B,Drums,by LSD (German Hip-Hop) (1991)
The New School,The Youngen,Hip-Hop / Rap / R&B,Drums,by The Youngen (1991)
Real Deal (Holyfield),Success - N - Effect,Hip-Hop / Rap / R&B,Multiple Elements,by Success - N - Effect (1991)
Dortmund Silo,Too Strong,Hip-Hop / Rap / R&B,Multiple Elements,by Too Strong (1993)
Gara Dura,F.C.E.,Hip-Hop / Rap / R&B,Sound Effect / Other,by F.C.E. (1992)
Back Off Me,Hooded Figures,Hip-Hop / Rap / R&B,Multiple Elements,by Hooded Figures (1997)
Takin Shorts Is a No-No,Mahony,Hip-Hop / Rap / R&B,Hook / Riff,by Mahony and Chainsaw Massacre (1991)
Takin Shorts Is a No-No,Chainsaw Massacre,Hip-Hop / Rap / R&B,Hook / Riff,by Mahony and Chainsaw Massacre (1991)
Quick Way Out,WC and the Maad Circle,Hip-Hop / Rap / R&B,Drums,by WC and the Maad Circle (1992)
How We Gonna Act,Royal Flush (Rap Group),Hip-Hop / Rap / R&B,Hook / Riff,by Royal Flush (Rap Group) (1991)
If You Wanna Sex Me Up,T.C.F.,Hip-Hop / Rap / R&B,Drums,by T.C.F. (1991)
