Step Into a World (Rapture's Delight),KRS-One,Hip-Hop / Rap / R&B,Hook / Riff,by KRS-One (1997)
Nikes,Frank Ocean,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Frank Ocean (2016)
Slam,Onyx,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Onyx (1993)
Soul Food,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic (2014)
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Multiple Elements,by Eric B. feat. Rakim (1986)
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Multiple Elements,by Eric B. feat. Rakim (1986)
Here Comes the Hotstepper,Ini Kamoze,Reggae / Dub,Vocals / Lyrics,by Ini Kamoze (1994)
Friday,Ice Cube,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ice Cube (1995)
Chief Rocka,Lords of the Underground,Hip-Hop / Rap / R&B,Hook / Riff,by Lords of the Underground (1993)
Black SpiderMan,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic feat. Damian Lemar Hudson (2017)
Black SpiderMan,Damian Lemar Hudson,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic feat. Damian Lemar Hudson (2017)
Turn Me Up,Ab-Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ab-Soul feat. Kendrick Lamar (2010)
Turn Me Up,Kendrick Lamar,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ab-Soul feat. Kendrick Lamar (2010)
Stir Fry,Migos,Hip-Hop / Rap / R&B,Hook / Riff,by Migos (2017)
The Dreamer,Anderson .Paak,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
The Dreamer,Talib Kweli,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
The Dreamer,Timan Family Choir,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
Lesson 4,DJ Shadow,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Shadow (1991)
Lookin Ass Nigga,Nicki Minaj,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Nicki Minaj (2014)
FWU,PARTYNEXTDOOR,Hip-Hop / Rap / R&B,Multiple Elements,by PARTYNEXTDOOR (2014)
Keepin' the Faith,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul (1991)
Step Into a World (Rapture's Delight),KRS-One,Hip-Hop / Rap / R&B,Hook / Riff,by KRS-One (1997)
Nikes,Frank Ocean,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Frank Ocean (2016)
Slam,Onyx,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Onyx (1993)
Soul Food,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic (2014)
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Multiple Elements,by Eric B. feat. Rakim (1986)
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Multiple Elements,by Eric B. feat. Rakim (1986)
Here Comes the Hotstepper,Ini Kamoze,Reggae / Dub,Vocals / Lyrics,by Ini Kamoze (1994)
Friday,Ice Cube,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ice Cube (1995)
Chief Rocka,Lords of the Underground,Hip-Hop / Rap / R&B,Hook / Riff,by Lords of the Underground (1993)
Black SpiderMan,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic feat. Damian Lemar Hudson (2017)
Black SpiderMan,Damian Lemar Hudson,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Logic feat. Damian Lemar Hudson (2017)
Turn Me Up,Ab-Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ab-Soul feat. Kendrick Lamar (2010)
Turn Me Up,Kendrick Lamar,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Ab-Soul feat. Kendrick Lamar (2010)
Stir Fry,Migos,Hip-Hop / Rap / R&B,Hook / Riff,by Migos (2017)
The Dreamer,Anderson .Paak,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
The Dreamer,Talib Kweli,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
The Dreamer,Timan Family Choir,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Anderson .Paak feat. Talib Kweli and Timan Family Choir (2016)
Lesson 4,DJ Shadow,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Shadow (1991)
Lookin Ass Nigga,Nicki Minaj,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Nicki Minaj (2014)
FWU,PARTYNEXTDOOR,Hip-Hop / Rap / R&B,Multiple Elements,by PARTYNEXTDOOR (2014)
Keepin' the Faith,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,by De La Soul (1991)
Premier League,Cywil,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Cywil feat. TMK Piekielny and Skorek (2016)
Premier League,TMK Piekielny,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Cywil feat. TMK Piekielny and Skorek (2016)
Premier League,Skorek,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Cywil feat. TMK Piekielny and Skorek (2016)
Betail,Grems,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Grems (2018)
Krotka Opowiesc O Slowie,Siódmy,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Siódmy and Dj Olin (2011)
Krotka Opowiesc O Slowie,Dj Olin,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Siódmy and Dj Olin (2011)
Alliance Technics,DJ Daddy K,Hip-Hop / Rap / R&B,Multiple Elements,by DJ Daddy K feat. Cut Killer (1996)
Alliance Technics,Cut Killer,Hip-Hop / Rap / R&B,Multiple Elements,by DJ Daddy K feat. Cut Killer (1996)
Intro (La Force Du Coté Obscur),Cut Killer,Hip-Hop / Rap / R&B,Multiple Elements,by Cut Killer (1994)
