Full Title,Artist,Genre,Instrument,Year
It Takes Two,Rob Base & DJ E-Z Rock,Hip-Hop / Rap / R&B,Multiple Elements,by Rob Base & DJ E-Z Rock (1988)
Ain't No Fun (If the Homies Can't Have None),Snoop Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Snoop Dogg feat. Nate Dogg, Kurupt and Warren G (1993)"
Ain't No Fun (If the Homies Can't Have None),Nate Dogg,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Snoop Dogg feat. Nate Dogg, Kurupt and Warren G (1993)"
Ain't No Fun (If the Homies Can't Have None),Kurupt,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Snoop Dogg feat. Nate Dogg, Kurupt and Warren G (1993)"
Ain't No Fun (If the Homies Can't Have None),Warren G,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Snoop Dogg feat. Nate Dogg, Kurupt and Warren G (1993)"
Ash Rockin,J Dilla,Hip-Hop / Rap / R&B,Multiple Elements,by J Dilla (1996)
So Appalled,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
So Appalled,Swizz Beatz,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
So Appalled,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
So Appalled,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
So Appalled,CyHi the Prynce,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
So Appalled,RZA,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA (2010)"
Gosh,Jamie xx,Electronic / Dance,Multiple Elements,by Jamie xx (2015)
Murder in My Mind,Kordhell,Electronic / Dance,Vocals / Lyrics,by Kordhell (2022)
Lost in the World,Kanye West,Hip-Hop / Rap / R&B,Drums,"by Kanye West feat. Bon Iver, Alicia Keys and Charlie Wilson (2010)"
Lost in the World,Bon Iver,Hip-Hop / Rap / R&B,Drums,"by Kanye West feat. Bon Iver, Alicia Keys and Charlie Wilson (2010)"
Lost in the World,Alicia Keys,Hip-Hop / Rap / R&B,Drums,"by Kanye West feat. Bon Iver, Alicia Keys and Charlie Wilson (2010)"
Lost in the World,Charlie Wilson,Hip-Hop / Rap / R&B,Drums,"by Kanye West feat. Bon Iver, Alicia Keys and Charlie Wilson (2010)"
CHURCH GIRL,Beyoncé,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Beyoncé (2022)
Freestyler,Bomfunk MC's,Electronic / Dance,Drums,by Bomfunk MC's (1999)
You Already Know,Fergie,Hip-Hop / Rap / R&B,Multiple Elements,by Fergie feat. Nicki Minaj (2017)
You Already Know,Nicki Minaj,Hip-Hop / Rap / R&B,Multiple Elements,by Fergie feat. Nicki Minaj (2017)
Nobody to Love,Sigma,Electronic / Dance,Multiple Elements,by Sigma (2014)
Call Ticketron,Run the Jewels,Hip-Hop / Rap / R&B,Multiple Elements,by Run the Jewels (2016)
Dance With the Devil,Immortal Technique,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Immortal Technique (2001)
Musician,Porter Robinson,Electronic / Dance,Vocals / Lyrics,by Porter Robinson (2021)
Optimism Over Despair,Konx-Om-Pax,Electronic / Dance,Vocals / Lyrics,by Konx-Om-Pax (2019)
