Party and Bullshit,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Multiple Elements,by The Notorious B.I.G. (1993)
Geek Down,J Dilla,Hip-Hop / Rap / R&B,Sound Effect / Other,by J Dilla (2006)
Ain't No Half-Steppin',Big Daddy Kane,Hip-Hop / Rap / R&B,Hook / Riff,by Big Daddy Kane (1988)
Return of the Mack,Mark Morrison,Hip-Hop / Rap / R&B,Multiple Elements,by Mark Morrison (1996)
Yessir!,MF DOOM,Hip-Hop / Rap / R&B,Multiple Elements,by MF DOOM feat. Raekwon (2009)
Yessir!,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,by MF DOOM feat. Raekwon (2009)
Thun,Nas,Hip-Hop / Rap / R&B,Hook / Riff,by Nas (2022)
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Hook / Riff,by Stezo (1989)
Let's Ride,Q-Tip,Hip-Hop / Rap / R&B,Hook / Riff,by Q-Tip (1999)
Only Wanna Give It to You,Elle Varner,Hip-Hop / Rap / R&B,Hook / Riff,by Elle Varner feat. J. Cole (2011)
Only Wanna Give It to You,J. Cole,Hip-Hop / Rap / R&B,Hook / Riff,by Elle Varner feat. J. Cole (2011)
Night of the Living Baseheads,Public Enemy,Hip-Hop / Rap / R&B,Hook / Riff,by Public Enemy (1988)
Young Jesus,Logic,Hip-Hop / Rap / R&B,Multiple Elements,by Logic feat. Big Lenbo (2015)
Young Jesus,Big Lenbo,Hip-Hop / Rap / R&B,Multiple Elements,by Logic feat. Big Lenbo (2015)
Strictly 4 My N.I.G.G.A.Z.,2Pac,Hip-Hop / Rap / R&B,Multiple Elements,by 2Pac (1993)
Fuck Compton,Tim Dog,Hip-Hop / Rap / R&B,Hook / Riff,by Tim Dog (1991)
Who I Am,Pusha T,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Who I Am,2 Chainz,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Who I Am,Big Sean,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Realms of Junior M.A.F.I.A,Junior M.A.F.I.A.,Hip-Hop / Rap / R&B,Multiple Elements,by Junior M.A.F.I.A. (1995)
R.I.P.,Prodigy,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,The Alchemist,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,Havoc,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
Party and Bullshit,The Notorious B.I.G.,Hip-Hop / Rap / R&B,Multiple Elements,by The Notorious B.I.G. (1993)
Geek Down,J Dilla,Hip-Hop / Rap / R&B,Sound Effect / Other,by J Dilla (2006)
Ain't No Half-Steppin',Big Daddy Kane,Hip-Hop / Rap / R&B,Hook / Riff,by Big Daddy Kane (1988)
Return of the Mack,Mark Morrison,Hip-Hop / Rap / R&B,Multiple Elements,by Mark Morrison (1996)
Yessir!,MF DOOM,Hip-Hop / Rap / R&B,Multiple Elements,by MF DOOM feat. Raekwon (2009)
Yessir!,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,by MF DOOM feat. Raekwon (2009)
Thun,Nas,Hip-Hop / Rap / R&B,Hook / Riff,by Nas (2022)
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Hook / Riff,by Stezo (1989)
Let's Ride,Q-Tip,Hip-Hop / Rap / R&B,Hook / Riff,by Q-Tip (1999)
Only Wanna Give It to You,Elle Varner,Hip-Hop / Rap / R&B,Hook / Riff,by Elle Varner feat. J. Cole (2011)
Only Wanna Give It to You,J. Cole,Hip-Hop / Rap / R&B,Hook / Riff,by Elle Varner feat. J. Cole (2011)
Night of the Living Baseheads,Public Enemy,Hip-Hop / Rap / R&B,Hook / Riff,by Public Enemy (1988)
Young Jesus,Logic,Hip-Hop / Rap / R&B,Multiple Elements,by Logic feat. Big Lenbo (2015)
Young Jesus,Big Lenbo,Hip-Hop / Rap / R&B,Multiple Elements,by Logic feat. Big Lenbo (2015)
Strictly 4 My N.I.G.G.A.Z.,2Pac,Hip-Hop / Rap / R&B,Multiple Elements,by 2Pac (1993)
Fuck Compton,Tim Dog,Hip-Hop / Rap / R&B,Hook / Riff,by Tim Dog (1991)
Who I Am,Pusha T,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Who I Am,2 Chainz,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Who I Am,Big Sean,Hip-Hop / Rap / R&B,Multiple Elements,by Pusha T feat. 2 Chainz and Big Sean (2013)
Realms of Junior M.A.F.I.A,Junior M.A.F.I.A.,Hip-Hop / Rap / R&B,Multiple Elements,by Junior M.A.F.I.A. (1995)
R.I.P.,Prodigy,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,The Alchemist,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,Havoc,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
R.I.P.,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,by Prodigy and The Alchemist feat. Havoc and Raekwon (2013)
I Got a Thing for You,12 Gauge,Hip-Hop / Rap / R&B,Multiple Elements,by 12 Gauge (1994)
Keep My Name Out Ya Mouth,Kool Daddy Fresh,Hip-Hop / Rap / R&B,Multiple Elements,by Kool Daddy Fresh (1997)
R U Conscious,MC Eric,Hip-Hop / Rap / R&B,Hook / Riff,by MC Eric (1991)
Zone Alone,Sam Sever,Hip-Hop / Rap / R&B,Hook / Riff,by Sam Sever (1996)
Bonus Track,Mc DJ,Electronic / Dance,Multiple Elements,by Mc DJ (2005)
Ogre,Michihiro Nakamura,Electronic / Dance,Sound Effect / Other,by Michihiro Nakamura and Naoki Hayami (1997)
Ogre,Naoki Hayami,Electronic / Dance,Sound Effect / Other,by Michihiro Nakamura and Naoki Hayami (1997)
Ric & Tully,Smoke DZA,Hip-Hop / Rap / R&B,Hook / Riff,by Smoke DZA feat. The Kid Daytona (2013)
Ric & Tully,The Kid Daytona,Hip-Hop / Rap / R&B,Hook / Riff,by Smoke DZA feat. The Kid Daytona (2013)
Trouble Maker,Assassins,Hip-Hop / Rap / R&B,Hook / Riff,by Assassins (1995)
Mama Said,II Much Chaus,Hip-Hop / Rap / R&B,Hook / Riff,by II Much Chaus (1992)
A.U.S.T.,Def Wish Cast,Hip-Hop / Rap / R&B,Hook / Riff,by Def Wish Cast (1993)
N All Dat,Freshco & Miz,Hip-Hop / Rap / R&B,Multiple Elements,by Freshco & Miz (2007)
Explosions,Misfits of Madness,Hip-Hop / Rap / R&B,Hook / Riff,by Misfits of Madness (1994)
On the Real Tip,Hansom Harm,Hip-Hop / Rap / R&B,Hook / Riff,by Hansom Harm (1993)
I'm the Man!!,Fly Chase,Hip-Hop / Rap / R&B,Hook / Riff,by Fly Chase (1993)
John Gotti (Philly Blunt Remix),Sean Price,Hip-Hop / Rap / R&B,Sound Effect / Other,"by Sean Price and Small Professor feat. Curly Castro, Reef the Lost Cauze and Zilla Rocca (2019)"
John Gotti (Philly Blunt Remix),Small Professor,Hip-Hop / Rap / R&B,Sound Effect / Other,"by Sean Price and Small Professor feat. Curly Castro, Reef the Lost Cauze and Zilla Rocca (2019)"
John Gotti (Philly Blunt Remix),Curly Castro,Hip-Hop / Rap / R&B,Sound Effect / Other,"by Sean Price and Small Professor feat. Curly Castro, Reef the Lost Cauze and Zilla Rocca (2019)"
John Gotti (Philly Blunt Remix),Reef the Lost Cauze,Hip-Hop / Rap / R&B,Sound Effect / Other,"by Sean Price and Small Professor feat. Curly Castro, Reef the Lost Cauze and Zilla Rocca (2019)"
John Gotti (Philly Blunt Remix),Zilla Rocca,Hip-Hop / Rap / R&B,Sound Effect / Other,"by Sean Price and Small Professor feat. Curly Castro, Reef the Lost Cauze and Zilla Rocca (2019)"
What U See,Akseann,Hip-Hop / Rap / R&B,Sound Effect / Other,by Akseann (1998)
Long Red - Bonus Beat Part 2,Ice One,Hip-Hop / Rap / R&B,Sound Effect / Other,by Ice One (1995)
It's Like That Y'all,Doctor Dré,Hip-Hop / Rap / R&B,Multiple Elements,by Doctor Dré and Ed Lover (1994)
It's Like That Y'all,Ed Lover,Hip-Hop / Rap / R&B,Multiple Elements,by Doctor Dré and Ed Lover (1994)
Des Gens Souffrent,Mellowman,Hip-Hop / Rap / R&B,Hook / Riff,by Mellowman (1998)
No Feedback,Courageous Chief,Hip-Hop / Rap / R&B,Multiple Elements,by Courageous Chief (1991)
Intro (La Force Du Coté Obscur),Cut Killer,Hip-Hop / Rap / R&B,Multiple Elements,by Cut Killer (1994)
Trigganometry,Bad Breed,Hip-Hop / Rap / R&B,Multiple Elements,by Bad Breed (2021)
Woke With Nothin',Solid'N'Mind,Hip-Hop / Rap / R&B,Hook / Riff,by Solid'N'Mind feat. MC Whirlwind D and Johnny F (1991)
Woke With Nothin',MC Whirlwind D,Hip-Hop / Rap / R&B,Hook / Riff,by Solid'N'Mind feat. MC Whirlwind D and Johnny F (1991)
Woke With Nothin',Johnny F,Hip-Hop / Rap / R&B,Hook / Riff,by Solid'N'Mind feat. MC Whirlwind D and Johnny F (1991)
Out of the Ordinary,The Brother/hood Nation,Hip-Hop / Rap / R&B,Hook / Riff,by The Brother/hood Nation (1992)
Turn It Out,RM,Hip-Hop / Rap / R&B,Hook / Riff,by RM (1993)
Crashin' the System,The Brotherhood,Hip-Hop / Rap / R&B,Hook / Riff,by The Brotherhood (1994)
Hot Summer Days,Anttex & the Clik,Hip-Hop / Rap / R&B,Hook / Riff,by Anttex & the Clik (1991)
Demes Shuffle,Allstar Fresh,Hip-Hop / Rap / R&B,Hook / Riff,by Allstar Fresh and M.C. Demes (1989)
Demes Shuffle,M.C. Demes,Hip-Hop / Rap / R&B,Hook / Riff,by Allstar Fresh and M.C. Demes (1989)
Get Loose,Sir Clank,Hip-Hop / Rap / R&B,Hook / Riff,by Sir Clank (1991)
Come Get 'Em (Remix),Faede,Hip-Hop / Rap / R&B,Hook / Riff,by Faede (1995)
Rejection,The First Sons,Hip-Hop / Rap / R&B,Hook / Riff,by The First Sons (1992)
Moon (Volatizer's Sunny Side Up Mix),Arck,Hip-Hop / Rap / R&B,Hook / Riff,by Arck (2020)
Act Like Ya Know,Natives in Black,Hip-Hop / Rap / R&B,Hook / Riff,by Natives in Black (1994)
Bad Boy in the Comfort Zone,DJ Massive,Electronic / Dance,Hook / Riff,by DJ Massive (1993)
The Flow,Triple 6,Hip-Hop / Rap / R&B,Hook / Riff,by Triple 6 (1992)
Various Muthafuckas,J-Bad,Hip-Hop / Rap / R&B,Hook / Riff,by J-Bad (1993)
No Elevation,E.X.D.,Hip-Hop / Rap / R&B,Multiple Elements,by E.X.D. (1993)
The Hoodie,Home Team,Hip-Hop / Rap / R&B,Hook / Riff,by Home Team (1992)
Who M,Syco,Hip-Hop / Rap / R&B,Hook / Riff,by Syco (1993)
On the Real Tip,Crazy Rak,Hip-Hop / Rap / R&B,Hook / Riff,by Crazy Rak (1993)
Exorcism in Blood,Prophesy,Hip-Hop / Rap / R&B,Multiple Elements,by Prophesy and Flow-Etic (1992)
Exorcism in Blood,Flow-Etic,Hip-Hop / Rap / R&B,Multiple Elements,by Prophesy and Flow-Etic (1992)
Intro (What Up Cuzzz!),N.O.T.S.,Hip-Hop / Rap / R&B,Hook / Riff,by N.O.T.S. (1992)
We Rock the Mic,Daelover,Hip-Hop / Rap / R&B,Hook / Riff,by Daelover (1990)
What You See,Turbo B,Hip-Hop / Rap / R&B,Hook / Riff,by Turbo B (1993)
Is That the Way?,Mind,Electronic / Dance,Multiple Elements,by Mind (1992)
Disco Biskit,Epitome of Hype,Electronic / Dance,Sound Effect / Other,by Epitome of Hype (1991)
Backstabbas,Ruff -N- Rugged,Hip-Hop / Rap / R&B,Hook / Riff,by Ruff -N- Rugged (1994)
Livin' Like a Gangsta,2nd Power,Hip-Hop / Rap / R&B,Sound Effect / Other,by 2nd Power (1991)
Some Ill Shit - Flip the Shit,Papa Chuk,Hip-Hop / Rap / R&B,Hook / Riff,by Papa Chuk (1994)
Don't Forget Where You Come From,Black Dynasty,Hip-Hop / Rap / R&B,Hook / Riff,by Black Dynasty (1993)
