Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Pigs,"Tyler, the Creator",Hip-Hop / Rap / R&B,Drums,2013
Scary Monsters and Nice Sprites (The Juggernaut Remix),Skrillex,Electronic / Dance,Drums,2011
Patrol,Homemade Weapons,Electronic / Dance,Drums,2019
Networth,Homemade Weapons,Electronic / Dance,Drums,2019
Informer,Snow,Hip-Hop / Rap / R&B,Drums,1992
Can't Knock the Hustle (Desired State Remix),Jay-Z,Electronic / Dance,Drums,1996
Futurama Theme,Christopher Tyng,Soundtrack / Library,Drums,1999
Mindfields,The Prodigy,Electronic / Dance,Drums,1997
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Drums,1988
Ease Yourself,The Collective (Drum and Bass),Electronic / Dance,Drums,1996
One Kiss (Oliver Heldens Remix),Calvin Harris,Electronic / Dance,Drums,2018
D'you Know What I Mean?,Oasis,Rock / Pop,Drums,1997
Sounds of Fustration,Lt. D'Amato,Electronic / Dance,Drums,1993
Jack Harlow Combo Meal,JPEGMAFIA,Hip-Hop / Rap / R&B,Drums,2023
Zatoichi,Denzel Curry,Hip-Hop / Rap / R&B,Drums,2022
Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Pigs,"Tyler, the Creator",Hip-Hop / Rap / R&B,Drums,2013
Scary Monsters and Nice Sprites (The Juggernaut Remix),Skrillex,Electronic / Dance,Drums,2011
Patrol,Homemade Weapons,Electronic / Dance,Drums,2019
Networth,Homemade Weapons,Electronic / Dance,Drums,2019
Informer,Snow,Hip-Hop / Rap / R&B,Drums,1992
Can't Knock the Hustle (Desired State Remix),Jay-Z,Electronic / Dance,Drums,1996
Futurama Theme,Christopher Tyng,Soundtrack / Library,Drums,1999
Mindfields,The Prodigy,Electronic / Dance,Drums,1997
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Drums,1988
Ease Yourself,The Collective (Drum and Bass),Electronic / Dance,Drums,1996
One Kiss (Oliver Heldens Remix),Calvin Harris,Electronic / Dance,Drums,2018
D'you Know What I Mean?,Oasis,Rock / Pop,Drums,1997
Sounds of Fustration,Lt. D'Amato,Electronic / Dance,Drums,1993
Jack Harlow Combo Meal,JPEGMAFIA,Hip-Hop / Rap / R&B,Drums,2023
Zatoichi,Denzel Curry,Hip-Hop / Rap / R&B,Drums,2022
Hot Steppa,Veak,Electronic / Dance,Drums,2019
Edge of Darkness,Veak,Electronic / Dance,Drums,2019
Horz,Dionysus,Electronic / Dance,Drums,2023
Stay (Kid Lib Remix),Demented Soul,Electronic / Dance,Drums,2018
Globex Corp Vol. 5 B1 (Dev/Null Remix),Dwarde,Electronic / Dance,Drums,2019
Globex Corp Vol. 3 A2,Dwarde,Electronic / Dance,Drums,2017
Globex Corp Vol. 8 A1,Dwarde,Electronic / Dance,Drums,2019
Medusa,F.X.,Electronic / Dance,Drums,2016
Untitled (A2),Tomba (2),Electronic / Dance,Drums,1994
Terrible Things,F.X.,Electronic / Dance,Drums,2013
The Time of the Demon,F.X.,Electronic / Dance,Drums,2018
Too Dark,F.X.,Electronic / Dance,Drums,2013
Mani-ack,Oracle,Electronic / Dance,Drums,2020
Ghetto Messiah,RMS,Electronic / Dance,Drums,2016
Reece Piece,Kartoon (Jungle),Electronic / Dance,Drums,2016
Barely Enough,RMS,Electronic / Dance,Drums,2016
RedSolidus,DJ Nest,Electronic / Dance,Drums,2020
BioExocist,DJ Nest,Electronic / Dance,Drums,2020
Show Me the Way,Demented Frequency,Electronic / Dance,Drums,2020
Back Tha Funk,Riffz,Electronic / Dance,Drums,2019
Weak Soundboy Suicide,Riffz,Electronic / Dance,Drums,2019
Fever '94,S.Kid,Electronic / Dance,Drums,2017
Seems It's Original VIP,Riffz,Electronic / Dance,Drums,2015
Not U,Riffz,Electronic / Dance,Drums,2019
Yes I Wanna,Riffz,Electronic / Dance,Drums,2019
Rising High,Coco Bryce,Electronic / Dance,Drums,2020
The Lost Knight,Threshold (2),Electronic / Dance,Drums,2020
The Love for the Oldskool,Msymiakos,Electronic / Dance,Drums,2015
Magnificent,DJ Vern,Electronic / Dance,Drums,1995
Squeeze,DJ Vern,Electronic / Dance,Drums,1995
UK74R1825020,Aleksi Perälä,Electronic / Dance,Drums,2018
UK74R1825040,Aleksi Perälä,Electronic / Dance,Drums,2018
Desecration Without Name,Dub One,Electronic / Dance,Drums,2018
Wizdom Outski,Stagga,Electronic / Dance,Drums,2020
Out of Body Experience,Msymiakos,Electronic / Dance,Drums,2020
Scarlet World,Cheryl Stelli,Electronic / Dance,Drums,2020
Ruthless Uncontrollable Funnyposting (Epic Fuck Mix),Lil Shitcore,Electronic / Dance,Drums,2021
Friday W/ Sonic,Cry From Memories,Electronic / Dance,Drums,2017
Never Forget the Best Moments of My Life,Cry From Memories,Electronic / Dance,Drums,2017
We Rewind,Yosh,Electronic / Dance,Drums,2020
Dancing on Air,The Jaffa Kid,Electronic / Dance,Drums,2020
Digitize,J-Raq,Electronic / Dance,Drums,1997
The Zone,Lavery,Electronic / Dance,Drums,2020
Rudebwoy Bass,Lavery,Electronic / Dance,Drums,2016
Mind Control,Lavery,Electronic / Dance,Drums,2017
Vanity,Drama1,Electronic / Dance,Drums,2020
Motion Sickness (Subway Robbery Mix),Persons Unknown,Electronic / Dance,Drums,2020
Move Out,DJ Skye,Electronic / Dance,Drums,2020
Hide,Madcap,Electronic / Dance,Drums,2020
Gettin High,DJ Skye,Electronic / Dance,Drums,2020
Danger,Riffz,Electronic / Dance,Drums,2019
2 Gether,Lemon D,Electronic / Dance,Drums,1993
Turn Away Skull Special Request (Tek 9 Remix),Manix,Electronic / Dance,Drums,1995
Test 1,Studio Pressure,Electronic / Dance,Drums,1993
Today Is Another Bombing (MIDI War VIP Remix),Coretex,Electronic / Dance,Drums,2022
Ice Sculptures,Nebula,Electronic / Dance,Drums,2009
The Pulse (Ruff Underground Mix),Lemon D,Electronic / Dance,Drums,1993
Bizarre,Higher Sense,Electronic / Dance,Drums,1995
外ギン Aviation (Natalie Autumn Hi Remix),Natalie Autumn,Electronic / Dance,Drums,2021
Model 62,DJ K.2.,Electronic / Dance,Drums,1995
X-Attack,D4,Electronic / Dance,Multiple Elements,1995
Fack Remix​.​.​. Official (Yes),Will Toledo Crying,Electronic / Dance,Drums,2022
VII,Swagmaster24,Electronic / Dance,Multiple Elements,2021
Liquid,Cheryl Stelli,Electronic / Dance,Drums,2021
Breaking Starlight,Starspire,Electronic / Dance,Drums,2020
Nunghnhgnn,Passenger of Shit,Electronic / Dance,Drums,2022
Shitrappoobreaks,Passenger of Shit,Electronic / Dance,Drums,2022
Punk Motherfuckers,Passenger of Shit,Electronic / Dance,Drums,2019
Rotting Ass Field (Remix),Passenger of Shit,Electronic / Dance,Drums,2012
Trendy Core #13,Passenger of Shit,Electronic / Dance,Drums,2007
Aussie Speedcore Pussy Flaps,Passenger of Shit,Electronic / Dance,Drums,2016
Dog Sperm,Passenger of Shit,Electronic / Dance,Drums,2007
Amputate My Wart Cock to Feed My Anus,Passenger of Shit,Electronic / Dance,Drums,2007
Kept Underground,Passenger of Shit,Electronic / Dance,Drums,2020
Turd Eye Awakening,Passenger of Shit,Electronic / Dance,Drums,2020
Into the Hole,Passenger of Shit,Electronic / Dance,Drums,2020
Rythm Process,Rev-P,Electronic / Dance,Drums,1994
Crazy Knowledge,Ramos,Electronic / Dance,Drums,1996
Love Pt 2,Passenger of Shit,Electronic / Dance,Drums,2012
Trendy Unicorn Dung,Passenger of Shit,Electronic / Dance,Drums,2012
Rotten Cock Meat,Passenger of Shit,Electronic / Dance,Drums,2012
Talking Shit,Passenger of Shit,Electronic / Dance,Drums,2019
Come Again,Hamilton,Electronic / Dance,Drums,2010
Prism,Djipe,Electronic / Dance,Drums,2021
God Meltdown,Djipe,Electronic / Dance,Drums,2021
No More Voices,Djipe,Electronic / Dance,Drums,2021
Desert Woman,Djipe,Electronic / Dance,Drums,2021
Trolling Myself,･​ﾟ​✧​(​=​✪ ᆺ ✪​=​) - ･​ﾟ​✧,Electronic / Dance,Drums,2022
Roughneck Internet Swag,Dj Bamberino,Electronic / Dance,Drums,2022
Babylon Bwest Fwiend,Dj Bamberino,Electronic / Dance,Multiple Elements,2022
False Nostalgia Shit Amenpunk,･​ﾟ​✧​(​=​✪ ᆺ ✪​=​) - ･​ﾟ​✧,Electronic / Dance,Drums,2022
Shit Smeared Cunt (Terrortime Intro),Passenger of Shit,Electronic / Dance,Drums,2012
Dum Track 7,Passenger of Shit,Electronic / Dance,Drums,2004
Dum Melody Intro,Passenger of Shit,Electronic / Dance,Drums,2004
Crush Ya Fucking Skulls With My Testicles,Passenger of Shit,Electronic / Dance,Drums,2016
Rapeyourfuckingskull,Shitting Whore,Electronic / Dance,Drums,2015
Necrophiliccock,Shitting Whore,Electronic / Dance,Drums,2015
Rock It Deadly,Passenger of Shit,Electronic / Dance,Drums,2019
Killa,Passenger of Shit,Electronic / Dance,Drums,2019
Never as Good as the First Time,Coco Bryce,Electronic / Dance,Drums,2016
The Choice,The Last Ronin,Electronic / Dance,Drums,2021
Other Worlds,Kloke,Electronic / Dance,Drums,2018
Blind to You,Veak,Electronic / Dance,Drums,2019
Xpresselevator2hell,DJ Vagas,Electronic / Dance,Drums,1997
Bad Load,Veak,Electronic / Dance,Drums,2019
K.O.,Simply Dread,Electronic / Dance,Drums,2021
Youthman in the Ghetto,Duburban,Electronic / Dance,Drums,2018
Bam Bam,Duburban,Electronic / Dance,Drums,2018
Love Letter,Polaris (Psy),Electronic / Dance,Drums,2021
Euphoria,DJ Nest,Electronic / Dance,Drums,2020
Butcher Shop,Duburban,Electronic / Dance,Drums,2018
Heavyweight Slice,Conrad Subs,Electronic / Dance,Drums,2020
Tear Up the Place,Stitch (Jungle),Electronic / Dance,Drums,2020
E.F.F.E.C.T,Duburban,Electronic / Dance,Drums,2020
Asgard,Shayper,Electronic / Dance,Drums,2020
