Passin' Me By,The Pharcyde,Hip-Hop / Rap / R&B,Drums,1992
Poison,The Prodigy,Electronic / Dance,Drums,1994
Clubbed to Death (Kurayamino Variation),Rob Dougan,Electronic / Dance,Drums,1995
Give Up the Goods (Just Step),Mobb Deep,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Give Up the Goods (Just Step),Big Noyd,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Take It Personal,Gang Starr,Hip-Hop / Rap / R&B,Drums,1992
Put It On,Big L,Hip-Hop / Rap / R&B,Drums,1994
Put It On,Kid Capri,Hip-Hop / Rap / R&B,Drums,1994
Who Got Da Props,Black Moon,Hip-Hop / Rap / R&B,Drums,1993
Coolie High,Camp Lo,Hip-Hop / Rap / R&B,Drums,1996
Butterfly,Crazy Town,Rock / Pop,Drums,1999
Cure for the Itch,Linkin Park,Rock / Pop,Drums,2000
I Want You,Common,Hip-Hop / Rap / R&B,Drums,2007
I Want You,will.i.am,Hip-Hop / Rap / R&B,Drums,2007
It's My Turn,Stezo,Hip-Hop / Rap / R&B,Drums,1989
Funky Child,Lords of the Underground,Hip-Hop / Rap / R&B,Drums,1993
Hippa to Da Hoppa,Ol' Dirty Bastard,Hip-Hop / Rap / R&B,Drums,1995
Stereo Hearts,Gym Class Heroes,Rock / Pop,Drums,2011
Stereo Hearts,Adam Levine,Rock / Pop,Drums,2011
"Remember Me (Original 12"")",Blue Boy,Electronic / Dance,Drums,1997
Passin' Me By,The Pharcyde,Hip-Hop / Rap / R&B,Drums,1992
Poison,The Prodigy,Electronic / Dance,Drums,1994
Clubbed to Death (Kurayamino Variation),Rob Dougan,Electronic / Dance,Drums,1995
Give Up the Goods (Just Step),Mobb Deep,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Give Up the Goods (Just Step),Big Noyd,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Take It Personal,Gang Starr,Hip-Hop / Rap / R&B,Drums,1992
Put It On,Big L,Hip-Hop / Rap / R&B,Drums,1994
