Let Me Ride,Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,Jewell,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,RC,Hip-Hop / Rap / R&B,Drums,1992
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Drums,1989
The Originators,Jaz,Hip-Hop / Rap / R&B,Drums,1990
The Originators,Jay-Z,Hip-Hop / Rap / R&B,Drums,1990
Rebel Without a Pause,Public Enemy,Hip-Hop / Rap / R&B,Drums,1987
Fuck Tha Police,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Mathematics,Mos Def,Hip-Hop / Rap / R&B,Vocals / Lyrics,1999
Powerpuff Girls Theme,James L. Venable,Soundtrack / Library,Drums,1998
Mama Said Knock You Out,LL Cool J,Hip-Hop / Rap / R&B,Drums,1990
Lovers Rock,TV Girl,Rock / Pop,Drums,2014
The Morning,Raekwon,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Common,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,2 Chainz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Kid Cudi,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,CyHi the Prynce,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,D'Banj,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Bring the Noise,Public Enemy,Hip-Hop / Rap / R&B,Drums,1987
Save Me,Nicki Minaj,Hip-Hop / Rap / R&B,Drums,2010
Premier's X-Ecution,X-Ecutioners,Hip-Hop / Rap / R&B,Vocals / Lyrics,2002
Premier's X-Ecution,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,2002
Freedom! '90,George Michael,Rock / Pop,Drums,1990
Scarlet Begonias,Sublime,Rock / Pop,Drums,1992
The Cool,Lupe Fiasco,Hip-Hop / Rap / R&B,Drums,2006
Let Me Ride,Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,Jewell,Hip-Hop / Rap / R&B,Drums,1992
Let Me Ride,RC,Hip-Hop / Rap / R&B,Drums,1992
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Drums,1989
The Originators,Jaz,Hip-Hop / Rap / R&B,Drums,1990
The Originators,Jay-Z,Hip-Hop / Rap / R&B,Drums,1990
Rebel Without a Pause,Public Enemy,Hip-Hop / Rap / R&B,Drums,1987
Fuck Tha Police,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Mathematics,Mos Def,Hip-Hop / Rap / R&B,Vocals / Lyrics,1999
Powerpuff Girls Theme,James L. Venable,Soundtrack / Library,Drums,1998
Mama Said Knock You Out,LL Cool J,Hip-Hop / Rap / R&B,Drums,1990
Lovers Rock,TV Girl,Rock / Pop,Drums,2014
The Morning,Raekwon,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Common,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,2 Chainz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,Kid Cudi,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,CyHi the Prynce,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
The Morning,D'Banj,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Bring the Noise,Public Enemy,Hip-Hop / Rap / R&B,Drums,1987
Save Me,Nicki Minaj,Hip-Hop / Rap / R&B,Drums,2010
Premier's X-Ecution,X-Ecutioners,Hip-Hop / Rap / R&B,Vocals / Lyrics,2002
Premier's X-Ecution,DJ Premier,Hip-Hop / Rap / R&B,Vocals / Lyrics,2002
Freedom! '90,George Michael,Rock / Pop,Drums,1990
Scarlet Begonias,Sublime,Rock / Pop,Drums,1992
The Cool,Lupe Fiasco,Hip-Hop / Rap / R&B,Drums,2006
Extendium 07,EXPERIVERSE 3024,Other,Drums,2020
Love the One You're With,Chris Tart,Rock / Pop,Drums,1999
Break It Down,Ya Kid K,Hip-Hop / Rap / R&B,Drums,1992
You Told Me Sex,Ya Kid K,Hip-Hop / Rap / R&B,Drums,1992
Need an Exit,Fraughman,Electronic / Dance,Drums,2005
Wurlitzer Jukebox,Hydroplane,Rock / Pop,Drums,1997
Dexter Morgan (Mr. Jack Mix),ButterKnife HairCuts,Hip-Hop / Rap / R&B,Drums,2019
Dexter Morgan (Mr. Jack Mix),Ruste Juxx,Hip-Hop / Rap / R&B,Drums,2019
Dexter Morgan (Mr. Jack Mix),V.A the M.A.N,Hip-Hop / Rap / R&B,Drums,2019
Dexter Morgan (Mr. Jack Mix),Rockness Monsta,Hip-Hop / Rap / R&B,Drums,2019
Fatigue,Thugwidow,Electronic / Dance,Drums,2020
You Wanted It All,Msymiakos,Electronic / Dance,Drums,2020
Space Cakes,Citadel of Kaos,Electronic / Dance,Drums,1992
Perfect Music,K.A.S.T.A. Squad,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Perfect Music,DJ Kut-O,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Perfect Music,DJ Twister,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Dom Hates This Track,Weyheyhey !!,Electronic / Dance,Drums,2012
Extendium 03,EXPERIVERSE 3024,Other,Drums,2021
Jammin to Tha Sound,Stuck to Your Lips,Electronic / Dance,Drums,1993
Persecution,Spanic,Electronic / Dance,Drums,1994
Energise,Unknown Artist (Withhold),Electronic / Dance,Drums,2020
Coordinated Love,Thugwidow,Electronic / Dance,Drums,2020
The Big One,Daddy Freddy,Hip-Hop / Rap / R&B,Drums,1995
"August 3, 2015: The Foreshadowing",Tapioca Thieves,Electronic / Dance,Drums,2018
Droppin' the Beats,Check 1-2 (Hip Hop),Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Champagne for the Boy (The Dingwalls Loop),Okay,Electronic / Dance,Drums,1989
Gettin' Reckless,King Bee,Hip-Hop / Rap / R&B,Drums,1990
I Am Chaka (Ghetto Mix),Poison Ladd S.L.R.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
I Am Chaka (Ghetto Mix),Beats in General,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Motherfuckinhardcore,Hockeymask,Hip-Hop / Rap / R&B,Drums,1996
6MinuteClusterF*ck,External Galaxy,Electronic / Dance,Drums,2022
Pride,The Posse NFX,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Club 69,Breite Seite,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Babyface Ragga,Bronx Massive,Electronic / Dance,Drums,1992
Sunshine,Red Ant,Electronic / Dance,Drums,1993
Sunshine,Ben Intellect,Electronic / Dance,Drums,1993
Fantasmi,AMNK,Hip-Hop / Rap / R&B,Drums,1993
Hoal,Ello Da Don,Hip-Hop / Rap / R&B,Drums,2013
Hoal,Macon Hamilton,Hip-Hop / Rap / R&B,Drums,2013
Hoal,Valencia Myrick,Hip-Hop / Rap / R&B,Drums,2013
Untitled,DJ Primecuts,Other,Vocals / Lyrics,1999
Dedication's What U Need (The Outro),Creative Habits,Hip-Hop / Rap / R&B,Multiple Elements,2001
Overview,Enea,Electronic / Dance,Drums,2021
Guerrillas in the Mist (Alternate Version),Paris,Hip-Hop / Rap / R&B,Drums,2004
"Miss Divine 12"" (Spellbound Mix)",Icehouse,Rock / Pop,Drums,1990
No Sellout,Tuff Crew,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Astral Hymn,Solar Twins,Electronic / Dance,Drums,1999
Isn't It Powerful?,Noyeahno,Electronic / Dance,Drums,2005
Puppet,Solar Twins,Electronic / Dance,Drums,1999
Ein Meter 92 Rap,Underground Source (UGS),Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Hear My Cry,Nite Owl,Hip-Hop / Rap / R&B,Multiple Elements,2016
"Miss Divine 12"" (Mystified Mix)",Icehouse,Rock / Pop,Drums,1990
Wizdom,E-Rock,Hip-Hop / Rap / R&B,Multiple Elements,1993
Chega,Gabriel O Pensador,Hip-Hop / Rap / R&B,Drums,2015
Witness,Silent Majority (2),Hip-Hop / Rap / R&B,Hook / Riff,1994
Beyond 2000 (Previously Unrealeased),The Kay LC,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Marked for Death,Madd Syco,Hip-Hop / Rap / R&B,Drums,1994
Everybody (Funky-Drummer-Mix),K2 (Eurodance Project),Electronic / Dance,Drums,1996
Robots,Giuann Shadai,Hip-Hop / Rap / R&B,Multiple Elements,2006
Get a Rope,The Plow,Hip-Hop / Rap / R&B,Drums,1994
Stuck Us With a Sucka,M.C. Rhythmless,Hip-Hop / Rap / R&B,Drums,2000
Let the Beat Flow,Bass Rhyme Posse,Hip-Hop / Rap / R&B,Drums,1991
Reality,New Class 'A',Electronic / Dance,Drums,1992
Yo Vivir (Disco House Club Mix),Abril,Rock / Pop,Drums,1998
Removing the Fetus,Passenger of Shit,Electronic / Dance,Drums,2019
Freedom,Citadel of Kaos,Electronic / Dance,Drums,1993
E-Z Man,Citadel of Kaos,Electronic / Dance,Drums,1992
Sweet Sex,E-Mense,Electronic / Dance,Drums,1992
Sugarliner,Demolition Squad,Electronic / Dance,Drums,1993
Vreme Radi Za Nas,Tapiri,Hip-Hop / Rap / R&B,Drums,1993
I Wanna Be a Hippy (Panama 2019 Mix),Tellurian,Electronic / Dance,Drums,2019
I Wanna Be a Hippy (Panama 2019 Mix),Technohead,Electronic / Dance,Drums,2019
12rambo,A.P.G. Crew,Hip-Hop / Rap / R&B,Drums,1989
Triggerlock,The Final Call,Hip-Hop / Rap / R&B,Drums,1993
Dark Malice '95,No Remorze,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Cali's All That (UK Mix),Def Jef,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Comme Toujours,Lemongrass,Electronic / Dance,Drums,1999
Gun Happy,Villain,Hip-Hop / Rap / R&B,Drums,1994
It Started,Shomari,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Soulblade,Raptile,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Soulblade,Roger Rekless,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Point 2 the Ceiling,Timelike,Electronic / Dance,Drums,1991
Autobiographie DÕun Soldat Sans Arme,Lord Ekomy Ndong,Hip-Hop / Rap / R&B,Drums,2020
Autobiographie DÕun Soldat Sans Arme,Sabrina Bibang,Hip-Hop / Rap / R&B,Drums,2020
Bass Light,Connection,Electronic / Dance,Drums,1992
Tribal Connections,DJ Crazee M,Electronic / Dance,Drums,1993
End of the Winter,Joakuim,Electronic / Dance,Drums,2021
Papˆ Non Farmi Male,AMNK,Hip-Hop / Rap / R&B,Drums,1993
Runnin' From the Police,Jerry Flynn,Hip-Hop / Rap / R&B,Drums,1992
Lyrics Dat's Raw,Volume 10,Hip-Hop / Rap / R&B,Drums,1993
Ascendance,Breezewax,Hip-Hop / Rap / R&B,Multiple Elements,2011
Move Out,DJ Skye,Electronic / Dance,Drums,2020
Lak Tunu Tunu (Remix),The New Pardesi Music Machine,Electronic / Dance,Drums,1990
Angry Man,Resonant Evil,Electronic / Dance,Drums,2003
XTC (Skin Teeth Remix),Pressa (Breakbeat),Electronic / Dance,Drums,2020
Scientist,A.N.M.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
"Achtung, Achtung (Remix)",Haindling,Rock / Pop,Drums,1992
Lion Awakes,Aeon Four,Electronic / Dance,Drums,2020
Sudden Impact,Pryme Suspect,Hip-Hop / Rap / R&B,Drums,1990
After-Eight,New Class 'A',Electronic / Dance,Drums,1992
I Got It All Sewed Up,The Fila Fresh Crew,Hip-Hop / Rap / R&B,Drums,1991
Knucklecurse,Subz,Electronic / Dance,Drums,2010
Knucklecurse,Slare,Electronic / Dance,Drums,2010
Center Stage on the Mike,Blackmale,Hip-Hop / Rap / R&B,Drums,1989
I Wanna Say What's Up,MC E-Rock,Hip-Hop / Rap / R&B,Drums,1991
Queen of Rap,Overweight Pooch,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Panagiotis Cover,Passenger of Shit,Electronic / Dance,Drums,2007
Equal to None,The Playgirls,Hip-Hop / Rap / R&B,Drums,1993
It's Emerging,Double Dipped,Electronic / Dance,Drums,1993
It's Emerging,Doctor G,Electronic / Dance,Drums,1993
Breaking Up,Dwarde,Electronic / Dance,Drums,2015
Ain't We Funky,O.G. Style (Group),Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
2 Much,B.O.X.,Hip-Hop / Rap / R&B,Drums,1991
Darling Buds of May (Party Supplies Remix),Viva Brother,Electronic / Dance,Drums,2011
Based Onna True Story,Jack Frost,Hip-Hop / Rap / R&B,Drums,1992
Comando Em A‹o Beat,Comando DMC,Hip-Hop / Rap / R&B,Drums,1995
Sto Volando Con Te,Cusato,Rock / Pop,Drums,1991
Sto Volando Con Te,Latte Miele,Rock / Pop,Drums,1991
Share the Funk,M-Team,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Reflections,Natural Instinct,Electronic / Dance,Drums,1992
Electric Soul,Icons,Electronic / Dance,Drums,1996
Back to Black,Marla Mar,Hip-Hop / Rap / R&B,Drums,1992
Back to Black,The Good 'N' Plenty Cru,Hip-Hop / Rap / R&B,Drums,1992
Kulture Shock,2 Tone Tuffy,Electronic / Dance,Drums,1991
Untitled (A1),Mind Therapy,Electronic / Dance,Drums,1994
Rebel at Heart,Mow,Electronic / Dance,Drums,2011
Rebel at Heart,Global,Electronic / Dance,Drums,2011
?? ?????? ?? ??????,??????? ?????,Hip-Hop / Rap / R&B,Drums,1995
Turn Away Skull,Manix,Electronic / Dance,Drums,1993
Hero of the Paper Boy,Aus,Electronic / Dance,Drums,2004
At the Zoo,Passenger of Shit,Electronic / Dance,Drums,2001
Christina,Gerardo,Hip-Hop / Rap / R&B,Hook / Riff,1991
President,A.N.M.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Digifunk,G&G Groove Factory,Electronic / Dance,Drums,2007
Endsong,Fraughman,Electronic / Dance,Drums,1999
Black Man's Thang,FM (2),Hip-Hop / Rap / R&B,Drums,1992
Comin' Off,Al B. Bad,Hip-Hop / Rap / R&B,Drums,1994
Comin' Off,Daddy Def,Hip-Hop / Rap / R&B,Drums,1994
Angel of Death,Insane Poetry,Hip-Hop / Rap / R&B,Drums,1992
I'm Rollin,Criminal Nation,Hip-Hop / Rap / R&B,Drums,1990
Nothing,The Good Girls,Hip-Hop / Rap / R&B,Hook / Riff,1992
Planet Earth,Epatomed,Hip-Hop / Rap / R&B,Drums,2001
Check Yourself,D-Nice,Hip-Hop / Rap / R&B,Drums,1991
Check Yourself,Too Short,Hip-Hop / Rap / R&B,Drums,1991
Warpath,Courageous Chief,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Situation Out of Hand,Cold Blood Terror,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
(She's Got) Skillz (Club Remix),All-4-One,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Rebel in You,The Brother/hood Nation,Hip-Hop / Rap / R&B,Multiple Elements,1992
You Wasn't Talkin' When I Was Walkin',Royal Flush (Rap Group),Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Cuff Me Up,By Any Means Necessary,Hip-Hop / Rap / R&B,Drums,1992
