Clique,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Clique,Big Sean,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Clique,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
3005,Childish Gambino,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
"Live Fast, Die Young",Rick Ross,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
"Live Fast, Die Young",Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Summertime,DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Drums,1991
Runaway (Video Version),Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Runaway (Video Version),Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Hip Hop Hooray,Naughty by Nature,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
New God Flow,Pusha T,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
New God Flow,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Push the Feeling On,Nightcrawlers,Electronic / Dance,Drums,1992
Mighty Healthy,Ghostface Killah,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Drums,1986
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Drums,1986
The Fresh Prince of Bel-Air (Outro),DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Sound Effect / Other,1992
Sadeness,Enigma,Electronic / Dance,Drums,1990
Fuck Tha Police,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Nicety,Michel'le,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Nicety,Dr. Dre,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
We Get High,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Gotta Get Mine,MC Breed,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Gotta Get Mine,2Pac,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Clique,Kanye West,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Clique,Big Sean,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Clique,Jay-Z,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
3005,Childish Gambino,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
"Live Fast, Die Young",Rick Ross,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
