Untitled (X Side),Sensate Focus,Easy Listening,Vocals / Lyrics,2012
Headshots (4r Da Locals),Isaiah Rashad,Hip-Hop / Rap / R&B,Vocals / Lyrics,2021
호르몬 전쟁 War of Hormone,BTS,Rock / Pop,Vocals / Lyrics,2014
Ah Yeah!,Will Sparks,Electronic / Dance,Vocals / Lyrics,2013
Mike Vick,Action Bronson,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Mike Vick,The Alchemist,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
One Eleven,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Vocals / Lyrics,1987
Check This Out,Hardhouse,Electronic / Dance,Vocals / Lyrics,1988
Crush on You (Knife Party Remix),Nero,Electronic / Dance,Vocals / Lyrics,2011
C'est Pas Du Rap...,Bigflo & Oli,Hip-Hop / Rap / R&B,Vocals / Lyrics,2015
Let Me See It,UGK,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Old School,DANGER DOOM,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
Old School,Talib Kweli,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
It's Like That (Jason's Battle Blaster),Run-DMC,Electronic / Dance,Vocals / Lyrics,1997
It's Like That (Jason's Battle Blaster),Jason Nevins,Electronic / Dance,Vocals / Lyrics,1997
Throw Your Set in the Air,Cypress Hill,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Body Movin',J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
People,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
Untitled (X Side),Sensate Focus,Easy Listening,Vocals / Lyrics,2012
Headshots (4r Da Locals),Isaiah Rashad,Hip-Hop / Rap / R&B,Vocals / Lyrics,2021
호르몬 전쟁 War of Hormone,BTS,Rock / Pop,Vocals / Lyrics,2014
Ah Yeah!,Will Sparks,Electronic / Dance,Vocals / Lyrics,2013
Mike Vick,Action Bronson,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Mike Vick,The Alchemist,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
One Eleven,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
Pump Up the Volume (UK Remix),M|A|R|R|S,Electronic / Dance,Vocals / Lyrics,1987
Check This Out,Hardhouse,Electronic / Dance,Vocals / Lyrics,1988
Crush on You (Knife Party Remix),Nero,Electronic / Dance,Vocals / Lyrics,2011
C'est Pas Du Rap...,Bigflo & Oli,Hip-Hop / Rap / R&B,Vocals / Lyrics,2015
Let Me See It,UGK,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Old School,DANGER DOOM,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
Old School,Talib Kweli,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
It's Like That (Jason's Battle Blaster),Run-DMC,Electronic / Dance,Vocals / Lyrics,1997
It's Like That (Jason's Battle Blaster),Jason Nevins,Electronic / Dance,Vocals / Lyrics,1997
Throw Your Set in the Air,Cypress Hill,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Body Movin',J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
People,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
Remember Your Old Steps,Sigma 7,Electronic / Dance,Vocals / Lyrics,2000
Alliance Technics,DJ Daddy K,Hip-Hop / Rap / R&B,Vocals / Lyrics,1996
Alliance Technics,Cut Killer,Hip-Hop / Rap / R&B,Vocals / Lyrics,1996
Sherry,RhythmX,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Sherry,Tate the Great,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Vida Y Muerte,Legua York,Hip-Hop / Rap / R&B,Vocals / Lyrics,2003
Panta Move,Max Tannone,Reggae / Dub,Vocals / Lyrics,2010
Qué Triste,Kodigo Norte,Hip-Hop / Rap / R&B,Vocals / Lyrics,2006
T.S.U.,Silk Tymes Leather,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Dedication's What U Need (The Outro),Creative Habits,Hip-Hop / Rap / R&B,Multiple Elements,2001
Disco Inferno (Adrian Michaels Remix),Gary Caos,Electronic / Dance,Vocals / Lyrics,2021
Viva México,Mano Armada,Hip-Hop / Rap / R&B,Vocals / Lyrics,2012
Dj Is Not a Jukebox,Warson,Electronic / Dance,Vocals / Lyrics,2012
I Want U,Shalamar,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Act Like Ya Know,Natives in Black,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
R U Conscious,MC Eric,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Konfesyon,Ab Salyann Tha God,Hip-Hop / Rap / R&B,Vocals / Lyrics,2021
Konfesyon,Lou Piensa,Hip-Hop / Rap / R&B,Vocals / Lyrics,2021
Konfesyon,DJ Dablyo,Hip-Hop / Rap / R&B,Vocals / Lyrics,2021
That's My Man,Raptile,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
That's My Man,Roger Rekless,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
That's My Man,DJ Mixwell,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
That's My Man,Illo 77,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
Dance,The Boys From the Bottom,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Ill Matador,Ill Mascaras,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
Politician,Clement Irie,Reggae / Dub,Vocals / Lyrics,1992
Ready,Unknown Prophets,Hip-Hop / Rap / R&B,Vocals / Lyrics,2001
I'd Rather Be With You,Jermaine Stewart,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Feuer,DCS,Hip-Hop / Rap / R&B,Vocals / Lyrics,1999
Well It'z On,Da Nite Nyrs,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
Well It'z On,Endoe,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
