Deep Cover,Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
Deep Cover,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
Temptations,2Pac,Hip-Hop / Rap / R&B,Drums,1995
Sound of Da Police,KRS-One,Hip-Hop / Rap / R&B,Drums,1993
The Humpty Dance,Digital Underground,Hip-Hop / Rap / R&B,Drums,1989
Eazy-Duz-It,Eazy-E,Hip-Hop / Rap / R&B,Hook / Riff,1988
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Eye Know,De La Soul,Hip-Hop / Rap / R&B,Drums,1989
Mr. Wendal,Arrested Development,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
They Don't Care About Us (Dallas Austin Main Mix),Michael Jackson,Hip-Hop / Rap / R&B,Hook / Riff,1996
Freak Like Me,Adina Howard,Hip-Hop / Rap / R&B,Drums,1995
Getto Jam,Domino,Hip-Hop / Rap / R&B,Multiple Elements,1993
Jazz (We've Got) (Re-Recording),A Tribe Called Quest,Hip-Hop / Rap / R&B,Hook / Riff,1991
Can't Truss It,Public Enemy,Hip-Hop / Rap / R&B,Drums,1991
Thank U,Alanis Morissette,Rock / Pop,Drums,1998
I'm That Type of Nigga,The Pharcyde,Hip-Hop / Rap / R&B,Drums,1992
Hey Hey Hey Heyyyy,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
Deep Cover,Dr. Dre,Hip-Hop / Rap / R&B,Drums,1992
Deep Cover,Snoop Dogg,Hip-Hop / Rap / R&B,Drums,1992
Temptations,2Pac,Hip-Hop / Rap / R&B,Drums,1995
Sound of Da Police,KRS-One,Hip-Hop / Rap / R&B,Drums,1993
The Humpty Dance,Digital Underground,Hip-Hop / Rap / R&B,Drums,1989
Eazy-Duz-It,Eazy-E,Hip-Hop / Rap / R&B,Hook / Riff,1988
Fight the Power,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Eye Know,De La Soul,Hip-Hop / Rap / R&B,Drums,1989
Mr. Wendal,Arrested Development,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
They Don't Care About Us (Dallas Austin Main Mix),Michael Jackson,Hip-Hop / Rap / R&B,Hook / Riff,1996
Freak Like Me,Adina Howard,Hip-Hop / Rap / R&B,Drums,1995
Getto Jam,Domino,Hip-Hop / Rap / R&B,Multiple Elements,1993
Jazz (We've Got) (Re-Recording),A Tribe Called Quest,Hip-Hop / Rap / R&B,Hook / Riff,1991
Can't Truss It,Public Enemy,Hip-Hop / Rap / R&B,Drums,1991
Thank U,Alanis Morissette,Rock / Pop,Drums,1998
I'm That Type of Nigga,The Pharcyde,Hip-Hop / Rap / R&B,Drums,1992
Hey Hey Hey Heyyyy,J Dilla,Hip-Hop / Rap / R&B,Vocals / Lyrics,2005
School Days,Cuties in Affect,Hip-Hop / Rap / R&B,Drums,1993
You a Bad Boy,Junior Demus,Reggae / Dub,Drums,1993
I'm Not Candy,TY Wizah,Hip-Hop / Rap / R&B,Multiple Elements,1993
Jõulud,Cool D,Hip-Hop / Rap / R&B,Drums,1995
Jibberish,Bama & the Family,World / Latin,Vocals / Lyrics,2009
America's Living in a War Zone,Gamilah Shabazz,Hip-Hop / Rap / R&B,Drums,1992
Tudo Azul,Lino Krizz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2009
Children of Night,Perry Farrell,Rock / Pop,Drums,2000
Children of Night,Exene,Rock / Pop,Drums,2000
Bop Scuchie,Reverend Baddo,Reggae / Dub,Drums,1993
Let It Smoke (Remix),J-Bad,Hip-Hop / Rap / R&B,Drums,1993
F*ck W*rk,Undaworld,Hip-Hop / Rap / R&B,Drums,1993
Gotta Love a Playa Mass Ave Mix),Fly Chase,Hip-Hop / Rap / R&B,Drums,1996
Mulah $$$,Da Rezawrektaz!,Hip-Hop / Rap / R&B,Drums,1995
Hoods From Tha Woods,Northern Exposure,Hip-Hop / Rap / R&B,Drums,1994
Splittin Wigz,Madd Syco,Hip-Hop / Rap / R&B,Drums,1995
Lil Dude's Addicted,Lil' Dude and NTD,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Illegal Activity,B-Chill,Hip-Hop / Rap / R&B,Hook / Riff,1991
Various Muthafuckas,J-Bad,Hip-Hop / Rap / R&B,Multiple Elements,1993
Maak Je Dromen Waar,Osdorp Posse,Hip-Hop / Rap / R&B,Drums,2003
Act Like You Know,Flavor Rap Productions,Hip-Hop / Rap / R&B,Multiple Elements,1992
Act Like You Know,MC Rome,Hip-Hop / Rap / R&B,Multiple Elements,1992
Act Like You Know,Jocko,Hip-Hop / Rap / R&B,Multiple Elements,1992
Grill Session,Moving Target,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Dry Spell,Al Dirty,Hip-Hop / Rap / R&B,Hook / Riff,2005
Let It Smoke,J-Bad,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Surnuna Sündinud,Cool D,Hip-Hop / Rap / R&B,Multiple Elements,1995
LA A.K.A Vietnam,Prophesy,Hip-Hop / Rap / R&B,Multiple Elements,1992
LA A.K.A Vietnam,Flow-Etic,Hip-Hop / Rap / R&B,Multiple Elements,1992
Too Many Girls,Billy Dee M.C.,Hip-Hop / Rap / R&B,Multiple Elements,1989
Cause Your Rhymes Don't Flow and Your Beats Don't Pump,Kinderzimmer Productions,Hip-Hop / Rap / R&B,Hook / Riff,1996
Rebel in You,The Brother/hood Nation,Hip-Hop / Rap / R&B,Drums,1992
Living on a Lie,Tribal Ink,Rock / Pop,Drums,2003
In the Place to Be,Rasan,Hip-Hop / Rap / R&B,Drums,1992
Undaworld,Unda World,Hip-Hop / Rap / R&B,Drums,1993
Red Wagon (Street Mix),Poison Ladd S.L.R.,Hip-Hop / Rap / R&B,Multiple Elements,2010
How Much Ghetto Can You Take,Too Much Trouble,Hip-Hop / Rap / R&B,Multiple Elements,1993
Stompin' Committee,Ali Dee,Hip-Hop / Rap / R&B,Drums,1993
Blow Out Da Flame,Supa Hoe,Hip-Hop / Rap / R&B,Hook / Riff,1995
Raised Like a Pitbull,AW1,Hip-Hop / Rap / R&B,Multiple Elements,1991
One 2 Da Bootlegga,Da Hoodzmen,Hip-Hop / Rap / R&B,Multiple Elements,1993
Skinz Ain't What They Used to Be,Devious (9),Hip-Hop / Rap / R&B,Drums,1993
Blackout,Villain,Hip-Hop / Rap / R&B,Drums,1994
Silent Rage (Remix),Ill State Assassins,Hip-Hop / Rap / R&B,Multiple Elements,1993
I Wonna Hit the Joint,N.O.T.S.,Hip-Hop / Rap / R&B,Drums,1994
You Fucked Up When You Slammed My Motha,The Click,Hip-Hop / Rap / R&B,Multiple Elements,1993
Warpath,Courageous Chief,Hip-Hop / Rap / R&B,Hook / Riff,1991
Can't Take No More,Jam & DKC,Hip-Hop / Rap / R&B,Drums,1996
Undaworld,Undaworld,Hip-Hop / Rap / R&B,Drums,1993
In the Box (Front Stop Mix),Pure Sinister,Hip-Hop / Rap / R&B,Hook / Riff,1992
Lyve!!!,Mixmaster D,Hip-Hop / Rap / R&B,Drums,1993
Lyve!!!,Flipsyde (2),Hip-Hop / Rap / R&B,Drums,1993
Chumps in a Slump,Illa-Dapted,Hip-Hop / Rap / R&B,Drums,1994
Advertisement,King Tee,Hip-Hop / Rap / R&B,Drums,1994
Don't Try to Step to This,Brothers in Charge,Hip-Hop / Rap / R&B,Multiple Elements,1993
Take Care Ya Bizness (Remix),Lez Moné,Hip-Hop / Rap / R&B,Drums,1994
Stylez of Uh Razzer,Halrazzers,Hip-Hop / Rap / R&B,Drums,1994
Freestyle,Cooly Live,Hip-Hop / Rap / R&B,Multiple Elements,1992
Place Aux Nouveaux Heros,Timide Et Sans Complexe,Hip-Hop / Rap / R&B,Drums,1993
Seu Futuro,Comando DMC,Hip-Hop / Rap / R&B,Drums,1995
What I Came 2 Do,MC Twist,Hip-Hop / Rap / R&B,Hook / Riff,1990
Let the Words Do the Talking,Real II Reel,Hip-Hop / Rap / R&B,Drums,1993
For My Mum,Katch 22,Hip-Hop / Rap / R&B,Drums,1993
Code Red,The K-Otic Family,Hip-Hop / Rap / R&B,Drums,1995
Earlin',K-Supreme,Hip-Hop / Rap / R&B,Drums,1994
Sky.,Purpan.,Hip-Hop / Rap / R&B,Multiple Elements,2017
Intro,Osdorp Posse,Hip-Hop / Rap / R&B,Drums,1992
Thank U,Captain Sky,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
"Easy Come, Easy Go (12"" Remix)",Joe Public,Hip-Hop / Rap / R&B,Drums,1994
I Got Tossed,Strugglin Souls,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
When I Enter His Mind,May-May Ali,Hip-Hop / Rap / R&B,Drums,1992
Put Your Ear in Da Flava,Kaotic Style,Hip-Hop / Rap / R&B,Drums,1994
Ripping Up the Industry (Re-Haul),Black Radical MKII,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Rue Caraman,Beigels Daisy Toasts,Jazz / Blues,Drums,1995
The Trip (Evil Needle),Alex Rosén,Hip-Hop / Rap / R&B,Drums,1999
Graffiti Rhymes,Home Team,Hip-Hop / Rap / R&B,Drums,1994
Posse Jam,Def Dames,Hip-Hop / Rap / R&B,Hook / Riff,1991
Masterful Orator,Bolaji,Hip-Hop / Rap / R&B,Multiple Elements,1989
Comin' Up,Deuce Mob (Ohio Duo),Hip-Hop / Rap / R&B,Drums,1993
Dog N' Me,Art N' Soul,Hip-Hop / Rap / R&B,Drums,1996
Rising Son,Sons of Sam,Hip-Hop / Rap / R&B,Multiple Elements,2010
On Your Ass,A.M. Dre,Hip-Hop / Rap / R&B,Drums,1994
Come Get 'Em (Remix),Faede,Hip-Hop / Rap / R&B,Drums,1995
Lost (Mixxmadness),Overdose,Hip-Hop / Rap / R&B,Drums,1994
The Funky Individual,3 Grand,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Hip-Hopcracy,D-Boy Rodriguez,Hip-Hop / Rap / R&B,Multiple Elements,1990
Hurt Me,Chop Shop,Hip-Hop / Rap / R&B,Drums,1996
Comin' Harder,Oaktown's 3-5-7,Hip-Hop / Rap / R&B,Hook / Riff,1991
Pig Skinnas 2,House of Krazees,Hip-Hop / Rap / R&B,Multiple Elements,1994
He Had a Dream,E.L-B.E,Hip-Hop / Rap / R&B,Drums,1994
Ieri Come Adesso Rmx,The Next Diffusion,Hip-Hop / Rap / R&B,Multiple Elements,2005
Ieri Come Adesso Rmx,Esa,Hip-Hop / Rap / R&B,Multiple Elements,2005
The Jewel,Def Rhythm Productions,Hip-Hop / Rap / R&B,Hook / Riff,1990
Real Wax for Your Ears,Kev-Wev,Hip-Hop / Rap / R&B,Multiple Elements,1989
Niks Te Maken (Blijdorp Posse Mix),Rotterdam Terror Corps,Electronic / Dance,Drums,1998
Noche Es-P-Cial,Siete-7 Black,Hip-Hop / Rap / R&B,Drums,1994
Gangster Original (Remix),Kid Power Posse,Hip-Hop / Rap / R&B,Drums,1993
"Come On, Just Do It",Platinum (2),Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Top of the Head,Prince Ikey C,Hip-Hop / Rap / R&B,Drums,1992
Hardcore,MC Zappa,Hip-Hop / Rap / R&B,Drums,2018
Deja Me Nacer,Gerardo,Hip-Hop / Rap / R&B,Drums,1992
Murder Capitol,Smoke (Rapper),Hip-Hop / Rap / R&B,Drums,1994
Funkadelico,Ice One,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Funkadelico,Julie P.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Funkadelico,Piotta,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Death of a Salesman,Money Boss Players,Hip-Hop / Rap / R&B,Drums,1994
Bring Dat Booty On,U Know Who,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Jackin for Transpo,Tweedy Bird Loc,Hip-Hop / Rap / R&B,Hook / Riff,1992
Act Like U Know,Black Is Black (2),Hip-Hop / Rap / R&B,Hook / Riff,1992
O Som,Posse Mente Zulu,Hip-Hop / Rap / R&B,Multiple Elements,1998
I Got Style,Trauma Center,Hip-Hop / Rap / R&B,Drums,2013
Closer to Your Love,Kaotic Stylin,Hip-Hop / Rap / R&B,Drums,1991
Luv 2 Bag Ya,Major Stress,Hip-Hop / Rap / R&B,Drums,1997
All Live,Micranots,Hip-Hop / Rap / R&B,Drums,1999
Rolling Samurai,M-Team,Hip-Hop / Rap / R&B,Hook / Riff,1989
Roughead,Monk & Canatella,Other,Drums,1996
This Is How We Roll (Enjoy the Ride),Marco Marinangeli,Hip-Hop / Rap / R&B,Multiple Elements,1999
This Is How We Roll (Enjoy the Ride),Darius Farrelly,Hip-Hop / Rap / R&B,Multiple Elements,1999
Gardez L'Écoute,Mellowman,Hip-Hop / Rap / R&B,Drums,1995
Best Little Whorehouse in Texas,Too Much Trouble,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Life at the BBQ,The Nutsons,Hip-Hop / Rap / R&B,Drums,2002
Life at the BBQ,Tony Infamous,Hip-Hop / Rap / R&B,Drums,2002
Swing Sump'n Ruff,Ruff -N- Rugged,Hip-Hop / Rap / R&B,Drums,1994
I'm Not a Pup,HQH Posse,Hip-Hop / Rap / R&B,Hook / Riff,1994
Black Men United,Shut Up and Dance,Hip-Hop / Rap / R&B,Multiple Elements,1995
Shelter,The Revolution,Hip-Hop / Rap / R&B,Drums,2009
Shelter,Norman Cook,Hip-Hop / Rap / R&B,Drums,2009
Shelter,Lateef the Truth Speaker,Hip-Hop / Rap / R&B,Drums,2009
Who's the Master?,Barsha,Hip-Hop / Rap / R&B,Hook / Riff,1990
Daddiez Home,Kwest Tha Madd Lad,Hip-Hop / Rap / R&B,Drums,1996
Let a Nigga Flow,Kaotic Style,Hip-Hop / Rap / R&B,Drums,1994
All Night Long,Shello,Hip-Hop / Rap / R&B,Drums,1994
Return of a Simple Song,X-Men (2),Electronic / Dance,Multiple Elements,1992
Get Right-Intro,A.M. Dre,Hip-Hop / Rap / R&B,Drums,1994
Do I Come Off,The Posse NFX,Hip-Hop / Rap / R&B,Multiple Elements,1991
Tie Goes to the Runner,Public Enemy,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
I Devistate,Desire & the Ville Posse,Hip-Hop / Rap / R&B,Vocals / Lyrics,1987
Lazy Woman,The Cenobites,Hip-Hop / Rap / R&B,Drums,2015
Because You Are So Funny,Ultramagnetic MC's,Hip-Hop / Rap / R&B,Drums,1998
Die Flucht,State of Departmentz,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Who's in Da House (Classic Extended Mix),Flip Da Scrip,Electronic / Dance,Multiple Elements,1994
Azataki,100°C,Rock / Pop,Drums,2004
You Can't Swing This (Radio Mix),Lyrical Prophecy,Hip-Hop / Rap / R&B,Multiple Elements,1990
Burning Bridges,Rukus (3),Hip-Hop / Rap / R&B,Drums,2015
We Got the Flavor,Kaotic Stylin,Hip-Hop / Rap / R&B,Multiple Elements,1992
