Peter Piper,Run-DMC,Hip-Hop / Rap / R&B,Multiple Elements,1986
Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Max B,A$AP Rocky,Hip-Hop / Rap / R&B,Drums,2015
Max B,Joe Fox,Hip-Hop / Rap / R&B,Drums,2015
"Hold It Now, Hit It",Beastie Boys,Hip-Hop / Rap / R&B,Drums,1986
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Hook / Riff,1991
A Day Wit the Homiez,1st Down,Hip-Hop / Rap / R&B,Multiple Elements,1995
The Things That You Do (Bad Boy Remix),Gina Thompson,Hip-Hop / Rap / R&B,Drums,1996
The Things That You Do (Bad Boy Remix),Missy Elliott,Hip-Hop / Rap / R&B,Drums,1996
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Hook / Riff,1988
Dig a Hole,Jay-Z,Hip-Hop / Rap / R&B,Drums,2008
Dig a Hole,Sterling Simms,Hip-Hop / Rap / R&B,Drums,2008
Flowers,Ghostface Killah,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Method Man,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Superb,Hip-Hop / Rap / R&B,Multiple Elements,2001
I Smile,Kirk Franklin,Gospel,Drums,2011
Dig Your Own Hole,The Chemical Brothers,Electronic / Dance,Drums,1997
Rock the Bells,Boys Noize,Electronic / Dance,Drums,2016
Step in the Name of Love (Remix),R. Kelly,Hip-Hop / Rap / R&B,Drums,2003
Nuttin' but Love,Heavy D & the Boyz,Hip-Hop / Rap / R&B,Drums,1994
When Will They Shoot?,Ice Cube,Hip-Hop / Rap / R&B,Hook / Riff,1992
Peter Piper,Run-DMC,Hip-Hop / Rap / R&B,Multiple Elements,1986
Straight Outta Compton,N.W.A,Hip-Hop / Rap / R&B,Drums,1988
Max B,A$AP Rocky,Hip-Hop / Rap / R&B,Drums,2015
Max B,Joe Fox,Hip-Hop / Rap / R&B,Drums,2015
"Hold It Now, Hit It",Beastie Boys,Hip-Hop / Rap / R&B,Drums,1986
Set Adrift on Memory Bliss,P.M. Dawn,Hip-Hop / Rap / R&B,Hook / Riff,1991
A Day Wit the Homiez,1st Down,Hip-Hop / Rap / R&B,Multiple Elements,1995
The Things That You Do (Bad Boy Remix),Gina Thompson,Hip-Hop / Rap / R&B,Drums,1996
The Things That You Do (Bad Boy Remix),Missy Elliott,Hip-Hop / Rap / R&B,Drums,1996
King of the Beats,Mantronix,Hip-Hop / Rap / R&B,Hook / Riff,1988
Dig a Hole,Jay-Z,Hip-Hop / Rap / R&B,Drums,2008
Dig a Hole,Sterling Simms,Hip-Hop / Rap / R&B,Drums,2008
Flowers,Ghostface Killah,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Raekwon,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Method Man,Hip-Hop / Rap / R&B,Multiple Elements,2001
Flowers,Superb,Hip-Hop / Rap / R&B,Multiple Elements,2001
I Smile,Kirk Franklin,Gospel,Drums,2011
Dig Your Own Hole,The Chemical Brothers,Electronic / Dance,Drums,1997
Rock the Bells,Boys Noize,Electronic / Dance,Drums,2016
Step in the Name of Love (Remix),R. Kelly,Hip-Hop / Rap / R&B,Drums,2003
Nuttin' but Love,Heavy D & the Boyz,Hip-Hop / Rap / R&B,Drums,1994
When Will They Shoot?,Ice Cube,Hip-Hop / Rap / R&B,Hook / Riff,1992
Got Away Smooth,TRE-8,Hip-Hop / Rap / R&B,Drums,1995
Corncob Pipe,Birth Through Knowledge,Rock / Pop,Hook / Riff,1998
Don King,Crimeside,Hip-Hop / Rap / R&B,Sound Effect / Other,2000
Side A,Butchwax,Hip-Hop / Rap / R&B,Drums,1999
Clean It Up,Letaz of Def,Hip-Hop / Rap / R&B,Drums,1992
Dick Got Sic,1-5ive Posse,Hip-Hop / Rap / R&B,Sound Effect / Other,1992
