Step Into a World (Rapture's Delight),KRS-One,Hip-Hop / Rap / R&B,Hook / Riff,1997
Nikes,Frank Ocean,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
Slam,Onyx,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Soul Food,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Multiple Elements,1986
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Multiple Elements,1986
Here Comes the Hotstepper,Ini Kamoze,Reggae / Dub,Vocals / Lyrics,1994
Friday,Ice Cube,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Chief Rocka,Lords of the Underground,Hip-Hop / Rap / R&B,Hook / Riff,1993
Black SpiderMan,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
Black SpiderMan,Damian Lemar Hudson,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
Turn Me Up,Ab-Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Turn Me Up,Kendrick Lamar,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Stir Fry,Migos,Hip-Hop / Rap / R&B,Hook / Riff,2017
The Dreamer,Anderson .Paak,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
The Dreamer,Talib Kweli,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
The Dreamer,Timan Family Choir,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
Lesson 4,DJ Shadow,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Lookin Ass Nigga,Nicki Minaj,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
FWU,PARTYNEXTDOOR,Hip-Hop / Rap / R&B,Multiple Elements,2014
Keepin' the Faith,De La Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Step Into a World (Rapture's Delight),KRS-One,Hip-Hop / Rap / R&B,Hook / Riff,1997
Nikes,Frank Ocean,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
Slam,Onyx,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Soul Food,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
Eric B. Is President (Original Mix),Eric B.,Hip-Hop / Rap / R&B,Multiple Elements,1986
Eric B. Is President (Original Mix),Rakim,Hip-Hop / Rap / R&B,Multiple Elements,1986
Here Comes the Hotstepper,Ini Kamoze,Reggae / Dub,Vocals / Lyrics,1994
Friday,Ice Cube,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Chief Rocka,Lords of the Underground,Hip-Hop / Rap / R&B,Hook / Riff,1993
Black SpiderMan,Logic,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
Black SpiderMan,Damian Lemar Hudson,Hip-Hop / Rap / R&B,Vocals / Lyrics,2017
